# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610030E20Rik	peak_793 (-872)
Pcdhb22	peak_444 (-3040)
Pcdhb3	peak_439 (-4329), peak_440 (+1235)
Pcdhb4	peak_440 (-5421)
Pcdhb5	peak_441 (+2260)
Pcdhb6	peak_441 (-11305)
Pcdhga11	peak_445 (-3106)
Pcgf5	peak_479 (+378)
Pcsk9	peak_671 (+519)
Pde11a	peak_520 (-150)
Pde1b	peak_343 (+138)
Pde2a	peak_883 (+1044)
Pdlim2	peak_297 (-15072)
Pdzd2	peak_308 (-145871)
Pdzrn3	peak_805 (+610)
Pear1	peak_585 (+439)
Peg12	peak_862 (+1073)
Peli3	peak_461 (-29)
Pfkfb3	peak_494 (-51522)
Pfkm	peak_337 (+377)
Pgk1	peak_1044 (+32722)
Pglyrp2	peak_393 (+5047)
Pglyrp3	peak_590 (+66320)
Pgm2l1	peak_881 (-48409)
Phactr2	peak_78 (+265)
Phactr3	peak_563 (-32880)
Phf24	peak_636 (+337)
Phldb2	peak_367 (+251)
Pi4k2b	peak_724 (+129)
Pigz	peak_360 (-44343)
Pik3ap1	peak_482 (+125)
Pik3ip1	peak_118 (+22701)
Pimreg	peak_152 (-46)
Pip5kl1	peak_503 (-125)
Piwil2	peak_298 (-204)
Pkd1l3	peak_958 (+177)
Pkdrej	peak_329 (-48)
Pkib	peak_97 (+231)
Pklr	peak_587 (+908)
Pla2g2c	peak_699 (+447)
Pla2g2d	peak_700 (+84200)
Pla2g5	peak_700 (+3547)
Pla2r1	peak_513 (+42)
Plac8	peak_742 (-6346)
Plagl1	peak_77 (+11)
Plcb1	peak_539 (+330)
Plcd1	peak_1022 (+5628)
Plcl2	peak_410 (-193)
Pld2	peak_150 (-199)
Plekha2	peak_918 (+81)
Plekhg4	peak_955 (+3778)
Pllp	peak_951 (+820)
Plpp4	peak_906 (-137)
Plppr3	peak_106 (-1482)
Plppr4	peak_606 (+963)
Plppr5	peak_607 (+431)
Pls1	peak_1012 (+174)
Plscr4	peak_1011 (+117)
Pm20d1	peak_46 (+271)
Pnldc1	peak_378 (+30012)
Pof1b	peak_1046 (+97014)
Pogk	peak_57 (+672)
Pom121l2	peak_229 (-5284)
Pon2	peak_766 (+176)
Pop7	peak_756 (+17221)
Pou2f2	peak_840 (-770)
Ppara	peak_328 (+45)
Pparg	peak_811 (-60895)
Ppm1k	peak_786 (+406)
Ppp1r12c	peak_831 (+30310)
Ppp1r3c	peak_480 (-477)
Prdm8	peak_738 (+4854)
Prickle2	peak_803 (+292), peak_802 (+225271)
Prkch	peak_199 (-788)
Prkcq	peak_493 (+333)
Prkg1	peak_474 (-313)
Prkg2	peak_740 (+269)
Prmt8	peak_823 (+1065)
Proc	peak_434 (+5807)
Prokr2	peak_536 (+420)
Prom1	peak_721 (+988)
Proser2	peak_492 (-921)
Prps1l3	peak_193 (-33349)
Prps2	peak_1067 (-740718)
Prrg3	peak_1032 (-315)
Prss12	peak_611 (-540)
Prss35	peak_1005 (-112)
Prss44	peak_1019 (+345)
Prtn3	peak_106 (-3498)
Prune2	peak_467 (-118)
Psen2	peak_63 (+2717)
Psmb8	peak_394 (+146)
Psmd8	peak_843 (-31154)
Ptchd3	peak_182 (+105)
Ptgs1	peak_506 (+791)
Ptpdc1	peak_246 (+232)
Ptpn18	peak_14 (-376)
Ptpn5	peak_857 (+213)
Ptprcap	peak_460 (+2038)
Ptpru	peak_690 (+964)
Ptprz1	peak_772 (+309)
Pttg1	peak_133 (-418)
Pus7l	peak_334 (-412)
Pwp1	peak_111 (-273218)
Pxdc1	peak_239 (+877)
Pygl	peak_197 (-118610), peak_196 (+869)
Pygo1	peak_997 (-31)
Pyroxd2	peak_484 (+257)
Qpct	peak_419 (+300)
Qrfpr	peak_568 (+135)
Rab14	peak_504 (-55976)
Rab32	peak_73 (+401)
Rab38	peak_873 (+88)
Rab3b	peak_673 (+830)
Rad50	peak_139 (+341)
Rai2	peak_1065 (+331)
Rap1gap2	peak_156 (+178)
Rapgefl1	peak_170 (+565)
Rasal3	peak_393 (-12391)
Rasef	peak_656 (-210)
Rasgef1a	peak_814 (-54689), peak_815 (+81)
Rasgef1c	peak_137 (-549)
Rasgrf1	peak_1008 (-481)
Rasl10b	peak_162 (+18347)
Rasl2-9	peak_833 (-190)
Rassf6	peak_732 (-70)
Rbm11	peak_369 (+538)
Rbm17	peak_494 (+49639)
Rbms1	peak_514 (-81104)
Rcan2	peak_405 (-139)
Rel	peak_124 (-316)
Reln	peak_710 (-457)
Rfx6	peak_94 (+392)
Rgag4	peak_1038 (+167)
Rgma	peak_865 (-350)
Rgs17	peak_71 (-25)
Rgs7	peak_61 (-248)
Rgs9	peak_175 (+153)
Rhbdl2	peak_683 (+21779)
Rhbdl3	peak_159 (+645)
Rhbg	peak_586 (+285)
Rhobtb3	peak_261 (+296)
Rhox13	peak_1027 (+391)
Ric3	peak_893 (+144)
Rimbp2	peak_754 (-133212)
Rims1	peak_12 (-362)
Rin3	peak_212 (-191)
Ripply3	peak_371 (+293)
Rln1	peak_472 (+216)
Rmdn1	peak_629 (-125)
Rnf144b	peak_245 (+71111)
Rnf146	peak_87 (-172354)
Rnf180	peak_275 (-1212)
Rnf217	peak_88 (+595)
Ror1	peak_665 (+1054)
Rorc	peak_592 (+526)
Ros1	peak_95 (+169971)
Rps6kb2	peak_460 (+6710)
Rs1	peak_1064 (-1910)
Rsl24d1	peak_998 (-9281)
Rsph3a	peak_375 (+389)
Rsph9	peak_406 (+218)
Rspo3	peak_87 (+1071)
Rsu1	peak_496 (+15)
Rtn1	peak_198 (+983)
Rufy4	peak_31 (-917)
Rxfp3	peak_307 (+1147)
S100a1	peak_589 (+401)
S100a13	peak_589 (-444)
Samd13	peak_624 (-239)
Scg3	peak_1000 (+368)
Schip1	peak_576 (+509771)
Scin	peak_190 (+801)
Scn3b	peak_977 (-141)
Sct	peak_910 (+846)
Scube2	peak_894 (+623)
Sdc3	peak_689 (-126)
Sdcbp2	peak_544 (+2990)
Sec14l5	peak_344 (-26)
Selenoi	peak_714 (+121)
Sema3c	peak_708 (+727)
Sema6b	peak_413 (-652)
Serac1	peak_374 (+74395)
Serf1	peak_271 (+324)
Sesn1	peak_91 (+75788)
Setmar	peak_807 (+199)
Sgcz	peak_923 (+872)
Sgip1	peak_668 (-545)
Sgk3	peak_3 (-35), peak_4 (+50499)
Sgms1	peak_475 (+241184)
Sgms2	peak_616 (-145371)
Sgo2b	peak_934 (-32)
Sh3gl3	peak_872 (+362)
Shisa6	peak_146 (-224)
Shisa7	peak_832 (+1043)
Sidt1	peak_364 (+372)
Six5	peak_836 (-7406)
Slc10a4	peak_726 (+102)
Slc13a5	peak_153 (+126)
Slc16a12	peak_478 (+14)
Slc16a2	peak_1041 (+252)
Slc18b1	peak_85 (+450)
Slc19a3	peak_37 (+41)
Slc22a3	peak_377 (+65)
Slc23a3	peak_33 (+9102)
Slc24a2	peak_658 (-1549)
Slc25a21	peak_193 (-36420)
Slc25a24	peak_603 (-372)
Slc25a31	peak_569 (-174)
Slc2a12	peak_84 (-372)
Slc35f3	peak_963 (-158973)
Slc36a4	peak_966 (+39)
Slc38a4	peak_336 (-4045), peak_335 (+3362)
Slc39a13	peak_524 (-7814)
Slc39a8	peak_619 (-9)
Slc41a2	peak_110 (+276)
Slc44a1	peak_646 (-274575)
Slc44a3	peak_608 (+597)
Slc45a2	peak_307 (+36123)
Slc5a2	peak_905 (-13123)
Slc6a11	peak_809 (-89074)
Slc6a17	peak_601 (+106)
Slc6a2	peak_949 (-445)
Slc6a20a	peak_1025 (-159)
Slc7a1	peak_761 (+135056)
Slc7a10	peak_847 (-310)
Slc7a2	peak_924 (-12357)
Slc7a4	peak_348 (+573)
Slc8a3	peak_203 (+846)
Slc9a3	peak_260 (-163)
Slco2a1	peak_1016 (-49)
Slco4c1	peak_42 (-528)
Slitrk5	peak_301 (+1274)
Smim10l2a	peak_1030 (+100)
Smim13	peak_243 (+109386)
Smoc1	peak_202 (-207)
Smpd1	peak_889 (-223)
Snai2	peak_347 (-129)
Snap91	peak_1006 (+135)
Sncb	peak_249 (+335)
Snph	peak_545 (-226), peak_544 (+56955)
Snrpf	peak_114 (-4644)
Snx31	peak_315 (+91)
Sorbs3	peak_297 (+15746)
Sost	peak_173 (+2837)
Sox30	peak_134 (+157)
Sp1	peak_340 (-34918)
Sp7	peak_340 (-5137)
Spdef	peak_388 (+43446)
Specc1	peak_143 (-71711)
Speer4b	peak_713 (+239951)
Speg	peak_35 (-4945), peak_36 (+490)
Spg20	peak_571 (+538)
Sphkap	peak_38 (+287)
Spi1	peak_524 (-17999)
Spin2c	peak_1061 (+129)
Sprn	peak_909 (+914)
Spsb4	peak_1013 (+874)
Sptb	peak_201 (+940)
Sptssb	peak_577 (-755)
Srd5a2	peak_417 (-495)
Ssh2	peak_158 (+537)
St6gal2	peak_412 (+712)
St8sia5	peak_454 (+15)
St8sia6	peak_497 (+1218)
Stat1	peak_22 (-5424)
Stat4	peak_22 (+105957)
Stau2	peak_8 (+606)
Stbd1	peak_735 (+202)
Stk10	peak_132 (+103)
Stk26	peak_1029 (+677)
Stox2	peak_929 (+1024)
Stpg2	peak_620 (-151)
Stra6l	peak_640 (-3860)
Stx11	peak_76 (-253)
Stx17	peak_644 (+199)
Stx2	peak_754 (+55340)
Susd3	peak_247 (+435)
Sv2b	peak_867 (+629)
Svep1	peak_651 (+333)
Sycp1	peak_598 (+232)
Syn2	peak_810 (+378)
Syne2	peak_200 (+1617)
Synj2	peak_373 (+405), peak_374 (+64066)
Synpo2	peak_610 (-317)
Syt10	peak_330 (-410)
Sytl2	peak_875 (-46251)
T	peak_376 (+90936)
Tac1	peak_767 (+538)
Tac4	peak_167 (-2178)
Tacr2	peak_101 (+295)
Tacr3	peak_618 (-590871)
Taf7l	peak_1048 (+922)
Taf9b	peak_1044 (+1336)
Tal2	peak_647 (-46)
Tank	peak_514 (-616044)
Tap2	peak_395 (+1966)
Tbc1d32	peak_96 (+127)
Tbc1d4	peak_300 (+694)
Tbc1d8b	peak_1052 (+25)
Tc2n	peak_210 (+274)
Tcaf1	peak_779 (+380)
Tcaf2	peak_778 (+373)
Tceal1	peak_1049 (+529)
Tcf20	peak_327 (+782)
Tcp11	peak_389 (+4844)
Tdrd7	peak_641 (+8444)
Tdrkh	peak_593 (-251)
Tes	peak_770 (+722)
Tescl	peak_838 (+426)
Tex101	peak_839 (+33422)
Tfpi2	peak_763 (+229)
Tfr2	peak_758 (+5022)
Tgfb1i1	peak_905 (+5575)
Tgm2	peak_555 (+538)
Thbd	peak_543 (+753)
Thbs4	peak_266 (+367)
Them4	peak_591 (-113)
Themis2	peak_692 (+422)
Thnsl2	peak_792 (+511)
Thsd1	peak_914 (+340)
Thy1	peak_979 (+915)
Tiam2	peak_372 (+543)
Ticam2	peak_447 (-271)
Timp4	peak_811 (-108966)
Tk2	peak_954 (+73)
Tlr12	peak_687 (+2071)
Tlr3	peak_927 (-34)
Tm6sf1	peak_870 (+365)
Tmed3	peak_1007 (+124)
Tmem114	peak_345 (+335)
Tmem131	peak_15 (+169651)
Tmem132e	peak_161 (-166)
Tmem144	peak_578 (-58)
Tmem147	peak_844 (+12133)
Tmem14a	peak_11 (+195)
Tmem154	peak_582 (-3234)
Tmem159	peak_899 (+571)
Tmem160	peak_834 (+21862)
Tmem215	peak_634 (+1245)
Tmem246	peak_645 (+516)
Tmem29	peak_1058 (+17565)
Tmem35a	peak_1047 (+998)
Tmem41a	peak_352 (+637)
Tmem44	peak_359 (-100)
Tmem45a	peak_368 (-260)
Tmem45b	peak_973 (+663)
Tmem53	peak_678 (-196)
Tmem74	peak_317 (+246)
Tmem74b	peak_546 (+320)
Tmem98	peak_160 (+301)
Tmod1	peak_641 (-65157), peak_642 (+856)
Tmprss7	peak_366 (+39616)
Tnfaip3	peak_82 (+623)
Tnfrsf11a	peak_43 (+860)
Tnfrsf21	peak_404 (+248691)
Tnfrsf8	peak_702 (+335)
Tnfsf11	peak_299 (+303)
Tns1	peak_31 (-215)
Tnxb	peak_399 (+1834)
Tor1aip1	peak_55 (-167403)
Tox3	peak_946 (-105)
Tram1l1	peak_612 (+418)
Tram2	peak_10 (+126111)
Trank1	peak_1020 (+14)
Trf	peak_1017 (+293)
Trh	peak_802 (-236234)
Trim17	peak_142 (-1367)
Trim34a	peak_887 (-74)
Trim45	peak_596 (-727)
Trim50	peak_755 (+144)
Trim72	peak_904 (+706)
Trim80	peak_179 (-4421)
Trim9	peak_197 (+1057)
Triqk	peak_628 (+478)
Trpa1	peak_7 (-368769), peak_6 (-396)
Trpc2	peak_884 (+11341)
Trpc4ap	peak_551 (+78424)
Trpc6	peak_965 (+93)
Trpd52l3	peak_473 (-55204)
Trpm6	peak_468 (-199)
Trpv2	peak_144 (+982)
Tsc22d3	peak_1055 (-64685)
Tshr	peak_207 (+167)
Tshz2	peak_560 (-243)
Tspan11	peak_824 (-2)
Tspan14	peak_287 (-13698)
Tspan2	peak_597 (+172)
Tspo2	peak_408 (-2645)
Tspyl2	peak_1059 (+5663)
Tspyl5	peak_312 (+187)
Ttc21b	peak_516 (+658)
Ttc22	peak_672 (+112)
Ttll3	peak_808 (-250)
Ttll9	peak_549 (+236)
Ttpa	peak_630 (-256)
Tuba8	peak_818 (+42)
Tubb4a	peak_414 (+248)
Uaca	peak_992 (-80091)
Ubash3b	peak_978 (+1109)
Ube2d2b	peak_746 (+135)
Ube2s	peak_832 (-31063)
Ube2u	peak_665 (-382004)
Ucp1	peak_943 (+739)
Ulk4	peak_1023 (-491)
Unc13b	peak_637 (-13257), peak_638 (+1502)
Unc5cl	peak_408 (-734)
Unc80	peak_29 (+45)
Usp39	peak_793 (-1278)
Uts2r	peak_181 (-3933)
Vangl2	peak_59 (-25586)
Vav3	peak_604 (+231)
Vax2	peak_794 (+2644)
Vcam1	peak_605 (-122104)
Vgll2	peak_95 (+2771)
Vill	peak_1022 (+35096)
Vim	peak_497 (+218894)
Vmn2r112	peak_382 (+73467)
Vmn2r57	peak_851 (-3698)
Vopp1	peak_787 (+64)
Vstm2l	peak_554 (+228)
Vwa2	peak_489 (-241)
Vwa5b2	peak_350 (+1182)
Vwce	peak_465 (+133)
Wdr60	peak_219 (+39)
Wdr93	peak_868 (+49559)
Wipf3	peak_785 (+486)
Wls	peak_626 (+1093)
Wnt2	peak_771 (-490)
Wnt2b	peak_599 (-241)
Wnt4	peak_697 (+513)
Xpot	peak_117 (-15586)
Zan	peak_756 (-8140)
Zap70	peak_15 (+8373)
Zc3h12d	peak_72 (+9)
Zfand4	peak_812 (+179)
Zfp184	peak_229 (+31124)
Zfp236	peak_456 (+138360)
Zfp248	peak_816 (+340)
Zfp287	peak_145 (-2757)
Zfp369	peak_254 (+73419)
Zfp455	peak_255 (+133)
Zfp456	peak_257 (+366)
Zfp458	peak_256 (+337)
Zfp488	peak_284 (+100)
Zfp54	peak_380 (+206)
Zfp558	peak_967 (-333)
Zfp619	peak_849 (-29916), peak_850 (+26891)
Zfp65	peak_258 (+559)
Zfp677	peak_379 (+50)
Zfp688	peak_903 (-22602)
Zfp689	peak_903 (+4522)
Zfp711	peak_1046 (+1111)
Zfp788	peak_852 (-752)
Zfp800	peak_773 (-136064)
Zfp804b	peak_705 (+66)
Zfp839	peak_217 (+5095)
Zfp931	peak_563 (-64044)
Zfp964	peak_938 (+268)
Zfp994	peak_381 (-115)
Zkscan16	peak_652 (+494)
Zkscan3	peak_226 (-4927)
Zkscan4	peak_228 (+198)
Zpbp	peak_121 (+193)
Zscan20	peak_687 (-6450)

