# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1190002N15Rik	peak_3590 (+145153)
Dhrs7	peak_815 (-29038), peak_814 (+36542)
Dhx15	peak_2749 (+217150)
Dhx35	peak_2061 (+551440)
Diaph2	peak_3790 (-346670), peak_3791 (-320822), peak_3792 (-136328), peak_3793 (+454244)
Diaph3	peak_1202 (+200563)
Dio1	peak_2590 (+13068)
Dio2	peak_835 (-102819), peak_834 (+656220)
Dip2a	peak_471 (-29597)
Dip2c	peak_897 (-42383)
Dirc2	peak_1424 (+87360)
Dkk1	peak_1828 (-111252), peak_1827 (-55670)
Dlg2	peak_3229 (+657192)
Dlg3	peak_3756 (+97598)
Dlgap1	peak_1659 (-274745), peak_1660 (-100961)
Dlgap2	peak_3291 (+100477)
Dlgap3	peak_2619 (+20853)
Dll1	peak_1558 (+7463)
Dmd	peak_3727 (-710267), peak_3728 (-293902), peak_3729 (+28304)
Dmrt2	peak_1822 (+198040)
Dmrta1	peak_2548 (-69391), peak_2549 (+104666), peak_2550 (+188116)
Dmrta2	peak_2594 (+125880)
Dnah2	peak_655 (+19532), peak_654 (+56806)
Dnah5	peak_1284 (+55831)
Dnah7a	peak_123 (+93142)
Dnah7c	peak_107 (+24436)
Dnajb5	peak_2438 (-11948)
Dnajb9	peak_767 (-20789), peak_766 (+281112), peak_765 (+461458), peak_764 (+479595)
Dnajc1	peak_1891 (-84194)
Dnajc5b	peak_2122 (-68268)
Dnase1	peak_1389 (-14216)
Dnm1l	peak_1400 (-40064)
Dnm3	peak_312 (-11752)
Dnmbp	peak_1841 (+10225)
Doc2b	peak_664 (-48008)
Dock1	peak_3269 (+7833)
Dock11	peak_3654 (-66396)
Dock3	peak_3611 (+97274), peak_3610 (+141990)
Dok6	peak_1795 (-148213)
Dopey2	peak_1537 (+42674)
Dpp10	peak_255 (+188379)
Dpy19l1	peak_3505 (+174814)
Dpyd	peak_2285 (+151552)
Drd1	peak_968 (+92341)
Dsc3	peak_1705 (+140001), peak_1704 (+447664)
Dscam	peak_1544 (+190464)
Dsel	peak_229 (-973640), peak_228 (-355874), peak_227 (+238773), peak_226 (+283609)
Dtnb	peak_714 (+53236)
Duox1	peak_2026 (+21498)
Dusp14	peak_669 (+19994)
Dusp27	peak_320 (+27159)
Dync1h1	peak_863 (+7978)
Dync2h1	peak_3475 (+119863)
Dynlt3	peak_3627 (+31029)
Dyrk1a	peak_1539 (+212821)
Dysf	peak_3064 (+31622)
Dzip3	peak_1449 (+31277)
E2f7	peak_522 (-117302), peak_523 (+15068)
ENSMUSG00000109903	peak_2689 (-35047), peak_2690 (+111662), peak_2691 (+247831)
ENSMUSG00000111448	peak_3520 (-28507)
Ear2	peak_1143 (-35044)
Eci2	peak_936 (-62658)
Edem1	peak_3095 (+125435), peak_3096 (+238534)
Edil3	peak_1037 (+335856)
Eepd1	peak_3507 (-61053), peak_3508 (+156816), peak_3509 (+276887)
Efcab1	peak_1397 (-91018)
Efcab6	peak_1370 (+86504)
Efhb	peak_1628 (+280089), peak_1627 (+346072), peak_1626 (+355359)
Efhd2	peak_2641 (+7568)
Efna5	peak_1647 (+488215), peak_1646 (+933280)
Efr3a	peak_1345 (-381020)
Egfem1	peak_2141 (+11900)
Egflam	peak_1252 (+31573), peak_1251 (+118723)
Egln3	peak_786 (+57015)
Eif2b2	peak_831 (-17720)
Eif3h	peak_1324 (+258113)
Elavl2	peak_2557 (-278488), peak_2556 (-264248), peak_2555 (+186480), peak_2554 (+397061)
Elavl4	peak_2596 (-35257), peak_2595 (+99586)
Elovl2	peak_946 (+15802)
Emc2	peak_1306 (+115733)
Emcn	peak_2307 (+101165)
Eml4	peak_1677 (-66027)
Eml6	peak_610 (-47683), peak_609 (+64647)
Enah	peak_338 (-45814)
Enkur	peak_1896 (-41440)
Enox1	peak_1185 (-34494), peak_1186 (+142886)
Enpp4	peak_1618 (-8868)
Enpp5	peak_1617 (-134056)
Entpd4	peak_1173 (+54176)
Entpd7	peak_1840 (+21753)
Ep300	peak_1363 (-30492)
Epb41l3	peak_1656 (+90822)
Epc1	peak_1693 (+9021)
Epha10	peak_2617 (+18875)
Epha3	peak_1475 (-139013), peak_1474 (-104507), peak_1473 (+136062), peak_1472 (+424728)
Epha5	peak_2814 (-336987), peak_2813 (+38543)
Epha6	peak_1470 (-764957), peak_1469 (-125530)
Epha7	peak_2411 (-351825), peak_2412 (-66148), peak_2413 (+938676)
Ephb1	peak_3600 (-69279)
Epm2a	peak_363 (+187993), peak_364 (+212134)
Eps8	peak_3135 (+27572)
Eps8l2	peak_3273 (+17814)
Eps8l3	peak_2274 (-8721)
Epx	peak_675 (+6689)
Eqtn	peak_2566 (+83154)
Erbb4	peak_151 (+483408), peak_150 (+509557), peak_149 (+518277), peak_148 (+638601), peak_147 (+702057)
Erbin	peak_1063 (-75635)
Ercc4	peak_1393 (-513244), peak_1394 (-178241), peak_1395 (-48305), peak_1396 (+72815)
Ereg	peak_2828 (-13112)
Eri1	peak_3321 (-10454)
Esd	peak_1182 (+51037)
Esp15	peak_1603 (+127910)
Esp24	peak_1602 (-147402)
Esp38	peak_1604 (-63785), peak_1605 (+39110)
Esp8	peak_1610 (-55681)
Esx1	peak_3799 (-10973)
Esyt1	peak_553 (+8847)
Etaa1	peak_584 (-343494), peak_583 (-244660), peak_582 (-98541), peak_581 (-10139), peak_580 (+286156)
Etl4	peak_1895 (-142883)
Etv1	peak_754 (-252531)
Eva1a	peak_3059 (+59008), peak_3060 (+171089)
Evc2	peak_2724 (+161026)
Evl	peak_858 (+18906)
Evx2	peak_1978 (+67234)
Exoc1	peak_2795 (-25008)
Exoc6b	peak_3065 (-15017)
Exog	peak_3619 (+38603)
Ext1	peak_1328 (-227993)
Eya1	peak_33 (+196843), peak_32 (+225057)
Eya4	peak_382 (-151049), peak_381 (-131163), peak_380 (-126021)
F11	peak_3339 (+82767)
F2r	peak_1046 (+34546)
F2rl3	peak_3396 (+83760), peak_3397 (+205906)
F9	peak_3690 (-149665), peak_3691 (+46456)
Faah	peak_2606 (+45500)
Faap24	peak_3194 (+24085)
Fabp5	peak_2098 (-16933)
Fabp7	peak_437 (-18637)
Fam102a	peak_1911 (-40064), peak_1912 (-10473)
Fam107b	peak_1872 (+128946)
Fam109a	peak_2892 (+30793)
Fam110b	peak_2342 (+175856)
Fam114a2	peak_643 (+172745)
Fam122a	peak_1819 (-25202)
Fam135a	peak_60 (+24329)
Fam135b	peak_1354 (+870371)
Fam13c	peak_458 (+66115)
Fam155a	peak_3287 (+412749)
Fam172a	peak_1010 (-279982), peak_1011 (-170719), peak_1012 (-139217), peak_1013 (+90592)
Fam173b	peak_1287 (+100936)
Fam174a	peak_191 (-74642)
Fam180a	peak_2999 (-69852)
Fam181b	peak_3232 (+76340)
Fam186b	peak_1384 (+10455)
Fam198b	peak_2230 (+134660), peak_2231 (+353443)
Fam19a3	peak_2269 (+62773)
Fam19a4	peak_3075 (+90879), peak_3074 (+138404), peak_3073 (+437426)
Fam210a	peak_1764 (+105037)
Fam228a	peak_717 (+19287)
Fam240b	peak_985 (-151465)
Fam43a	peak_1416 (+113071)
Fam49a	peak_727 (+205548)
Fam49b	peak_1342 (-125493)
Fam60a	peak_3150 (-75243)
Fam69c	peak_1786 (+9978)
Fam78b	peak_322 (-88936), peak_323 (-61591)
Fam81b	peak_1008 (-40937)
Fam84a	peak_729 (-569862), peak_728 (-242577)
Fam92a	peak_2363 (-295498), peak_2362 (-259103), peak_2361 (-231235), peak_2360 (-153896)
Fam98b	peak_2021 (-42723)
Fancb	peak_3828 (+108598)
Fancc	peak_983 (-5742)
Fancl	peak_598 (+40205), peak_599 (+81409)
Farsb	peak_167 (+75416)
Fasl	peak_310 (+61093)
Fastk	peak_2711 (+9992)
Fat1	peak_3338 (-346127)
Fat3	peak_3490 (-105712)
Fat4	peak_2155 (-124250)
Fbxl17	peak_1650 (-172153), peak_1649 (-111497), peak_1648 (+252776)
Fbxl7	peak_1283 (+213135)
Fbxo10	peak_2442 (+12855)
Fbxo33	peak_796 (-278769)
Fbxo4	peak_1243 (+59087)
Fbxo40	peak_1426 (+20234)
Fbxo47	peak_688 (-19516)
Fbxo8	peak_3352 (+276807)
Fbxw11	peak_612 (-39352)
Fbxw15	peak_3614 (-17408)
Fbxw7	peak_2242 (+371187)
Fcgbp	peak_3189 (+14210)
Fem1b	peak_3554 (+43873)
Fer1l6	peak_1334 (+104034)
Fermt2	peak_1146 (-28009)
Fez1	peak_3518 (+135328)
Fezf1	peak_2975 (-116706)
Fezf2	peak_1094 (-91102)
Fgf10	peak_1086 (+282171)
Fgf13	peak_3689 (-332169)
Fgf16	peak_3759 (-27561)
Fgf18	peak_613 (+120381)
Fhad1	peak_2642 (+9880)
Fhit	peak_1093 (+553555)
Fhl2	peak_94 (-62438)
Fibin	peak_2015 (-72864), peak_2014 (+16966)
Fign	peak_1961 (+292304)
Fignl2	peak_1387 (+61848)
Fli1	peak_3513 (+22149)
Flrt2	peak_837 (-837200), peak_838 (-444218), peak_839 (-351591), peak_840 (-106579), peak_841 (-74465), peak_842 (+818436)
Flrt3	peak_2039 (-869792), peak_2038 (-431707), peak_2037 (+131116)
Flt1	peak_2925 (+135991)
Fmo4	peak_313 (-6228)
Fmr1	peak_3705 (-338840)
Fndc3a	peak_1179 (-82997)
Fosl2	peak_2720 (-147343)
Foxg1	peak_776 (-957530), peak_777 (-372739), peak_778 (-325240), peak_779 (-189911)
Foxn4	peak_2877 (+62423)
Foxo1	peak_2176 (+123312), peak_2177 (+168970)
Foxo3	peak_410 (+25250)
Foxq1	peak_931 (-172796)
Fpr-rs3	peak_1573 (-14469)
Frem2	peak_2178 (-65054)
Frg1	peak_3333 (-855333), peak_3332 (-620865), peak_3331 (-96506)
Frk	peak_396 (+436949)
Frmd3	peak_2507 (+40557)
Fryl	peak_2789 (+87994)
Fscb	peak_807 (+565463), peak_806 (+782957)
Fshr	peak_1684 (-239897), peak_1683 (+46663)
Fsip2	peak_1985 (-54976), peak_1986 (+97957)
Fthl17a	peak_3730 (-703836), peak_3731 (+20082)
Fundc1	peak_3640 (+58538)
Fut8	peak_820 (-60562)
Fut9	peak_2409 (-258076)
Fzd1	peak_2662 (-185930)
Fzd10	peak_2908 (-64134)
Fzd5	peak_141 (-41988), peak_140 (-15896)
Fzd8	peak_1695 (-10564)
G2e3	peak_781 (-180049)
G6pd2	peak_2766 (-595848), peak_2767 (-30825), peak_2768 (+417900)
Gab2	peak_3235 (+65694)
Gabra2	peak_2781 (-223602)
Gabra3	peak_3712 (-29308), peak_3711 (+77701)
Gabrb1	peak_2785 (+131721)
Gabrg1	peak_2780 (+80076), peak_2779 (+412189)
Gabrg2	peak_626 (+111058), peak_625 (+290440), peak_624 (+619420)
Galc	peak_846 (+439865), peak_845 (+581106), peak_844 (+875645)
Galnt13	peak_1947 (-51013)
Galnt7	peak_3358 (-333040), peak_3357 (-23477)
Galntl6	peak_3363 (-765155), peak_3362 (-737303), peak_3361 (-709239)
Galr1	peak_1784 (+279117)
Garem1	peak_1706 (-116645)
Gas8	peak_3459 (+9229)
Gatsl2	peak_2913 (-843003), peak_2914 (-630791), peak_2915 (-539659)
Gbe1	peak_1496 (+669349), peak_1497 (+840047)
Gbp7	peak_2319 (-11730)
Gbp9	peak_2857 (+16519)
Gc	peak_2823 (+129992)
Gca	peak_1960 (+162680)
Gdf6	peak_2354 (+321095)
Gdi2	peak_881 (-316098), peak_882 (-80663)
Gemin8	peak_3834 (-344086)
Gfod1	peak_948 (+52521)
Gfra2	peak_1176 (+514638)
Gfral	peak_3570 (+24207)
Ggh	peak_2392 (+253650), peak_2393 (+318710)
Ggnbp1	peak_1588 (+21998)
Ggt5	peak_468 (+14927)
Ghitm	peak_1137 (-258661), peak_1136 (-62713)
Gigyf2	peak_181 (-17438)
Gimd1	peak_2300 (-216891)
Gins3	peak_3427 (-22253)
Gja10	peak_2419 (+40178)
Gli3	peak_908 (-211963)
Glis1	peak_2591 (+55004)
Glra1	peak_639 (-62745)
Glra2	peak_3833 (-373934), peak_3832 (-339597), peak_3831 (-307164), peak_3830 (-139109), peak_3829 (-83348)
Glrb	peak_2234 (-27619)
Glrx5	peak_854 (+16904), peak_855 (+21546)
Glt1d1	peak_2906 (+75393)
Glycam1	peak_1388 (-90465)
Gm10036	peak_1700 (+456318)
Gm10097	peak_354 (-157216)
Gm10110	peak_1204 (-447324)
Gm10118	peak_444 (+185663)
Gm10134	peak_1904 (+169)
Gm10184	peak_1685 (+94172)
Gm10198	peak_1080 (-12391)
Gm10283	peak_3367 (+30331), peak_3366 (+446713), peak_3365 (+669089), peak_3364 (+721727)
Gm10306	peak_2564 (-353642), peak_2565 (-79271)
Gm10358	peak_3402 (+66958)
Gm10428	peak_646 (-2231)
Gm10479	peak_735 (-788648), peak_736 (-42125)
Gm10549	peak_1726 (+170992)
Gm10577	peak_2573 (+17764)
Gm10715	peak_3466 (+79475), peak_3467 (+108620), peak_3468 (+138579)
Gm10750	peak_2050 (-167862)
Gm10767	peak_991 (-69675)
Gm10772	peak_988 (-99246)
Gm10800	peak_2007 (-499988)
Gm10801	peak_2006 (-354701)
Gm10944	peak_361 (-13656)
Gm10985	peak_2179 (-42344), peak_2180 (-2827)
Gm10999	peak_3465 (+7522)
Gm11077	peak_3137 (+105652), peak_3138 (+140566)
Gm11084	peak_1975 (-61144), peak_1974 (-7453)
Gm11146	peak_1510 (-316191), peak_1509 (-213057)
Gm11214	peak_2474 (+10506)
Gm11232	peak_2498 (-151208), peak_2497 (+323806)
Gm1140	peak_3704 (+222180), peak_3703 (+313110)
Gm11487	peak_2504 (+110659)
Gm11639	peak_692 (-28)
Gm11758	peak_2506 (+41468)
Gm12666	peak_2559 (-45306)
Gm12689	peak_2569 (+109479), peak_2570 (+137292)
Gm12728	peak_2584 (-164138), peak_2585 (-54732)
Gm12794	peak_2577 (-12598)
Gm12845	peak_2611 (+4816)
Gm12888	peak_2613 (+29803)
Gm13083	peak_2645 (-29823)
Gm13090	peak_2657 (+211081), peak_2658 (+312379)
Gm13691	peak_1988 (+96702), peak_1989 (+204538)
Gm14569	peak_3655 (+31576)
Gm15091	peak_3812 (+78175), peak_3813 (+177660)
Gm15130	peak_2016 (-27496)
Gm15155	peak_3819 (+439700)
Gm15217	peak_1148 (-270161), peak_1149 (-167684)
Gm1527	peak_2140 (-25905)
Gm15294	peak_3804 (+47912)
Gm1587	peak_1187 (+291898)
Gm16223	peak_2732 (-54884), peak_2733 (+120630)
Gm16427	peak_2833 (-71818), peak_2832 (+103442)
Gm16432	peak_333 (-55477), peak_334 (+19726)
Gm17455	peak_439 (+140212)
Gm17669	peak_1763 (+349)
Gm19410	peak_3322 (-41420)
Gm19965	peak_237 (+59193), peak_238 (+364180), peak_239 (+401239)
Gm2012	peak_3653 (+26887)
Gm21293	peak_514 (-150925)
Gm21738	peak_1113 (+107171), peak_1112 (+114883), peak_1111 (+237885)
Gm21876	peak_3647 (-86415)
Gm28269	peak_3650 (-761839), peak_3649 (-17458)
Gm28363	peak_240 (-320470), peak_241 (-262876), peak_242 (-211439), peak_243 (-109597), peak_244 (-13455)
Gm29106	peak_245 (-103135), peak_246 (-71793), peak_247 (-48102)
Gm34302	peak_2203 (-183482)
Gm35060	peak_1723 (+27140)
Gm382	peak_3786 (+91330)
Gm3952	peak_3462 (-14670)
Gm4141	peak_3183 (+13208)
Gm4301	peak_504 (-122964)
Gm43517	peak_780 (+316849)
Gm436	peak_2647 (+33477)
Gm438	peak_2648 (-30332)
Gm44	peak_3744 (-116465), peak_3745 (-46744)
Gm4778	peak_2252 (+2788), peak_2253 (+10149)
Gm4788	peak_279 (+64595)
Gm4791	peak_3535 (-183863)
Gm4846	peak_321 (+22152)
Gm4985	peak_3652 (-49743)
Gm5150	peak_2111 (+77120)
Gm5415	peak_83 (-499079), peak_82 (-473351), peak_81 (-118376)
Gm5447	peak_930 (+17806)
Gm5538	peak_2195 (+53848)
Gm5622	peak_1158 (-36510)
Gm5640	peak_3714 (+12612)
Gm5724	peak_3141 (+19893)
Gm5773	peak_2251 (-12342)
Gm5849	peak_2246 (-82987)
Gm5861	peak_2676 (-610904), peak_2677 (-118527)
Gm5916	peak_3515 (-106700)
Gm597	peak_70 (-922744), peak_69 (-588133)
Gm6133	peak_1779 (+345928)
Gm6377	peak_3764 (+507112), peak_3765 (+634165)
Gm6460	peak_2678 (-136376)
Gm6594	peak_1675 (-369470)
Gm6657	peak_821 (-418683), peak_822 (-413752)
Gm6741	peak_1686 (+410588), peak_1687 (+528420)
Gm7073	peak_3693 (-168973)
Gm7247	peak_1156 (+21183)
Gm7257	peak_3516 (-49237)
Gm7275	peak_1441 (-768646), peak_1442 (-697724), peak_1443 (-160195), peak_1444 (-92111), peak_1445 (-51710)
Gm732	peak_3762 (-38427)
Gm7356	peak_1555 (-12047)
Gm7361	peak_2712 (+122052)
Gm7714	peak_2819 (-9554)
Gm773	peak_3684 (-27659)
Gm7978	peak_2837 (+63033)
Gm8165	peak_1142 (+7926)
Gm8225	peak_1587 (-363)
Gm8247	peak_1144 (+19646)
Gm826	peak_2064 (+388536), peak_2063 (+538702), peak_2062 (+671323)
Gm8888	peak_1381 (-26282)
Gm9008	peak_3053 (-230789), peak_3052 (+970)
Gm906	peak_961 (+131013), peak_960 (+166292), peak_959 (+228774)
Gm9195	peak_1178 (-34772), peak_1177 (+434658)
Gm9747	peak_174 (-59239)
Gm9772	peak_1577 (-50416)
Gm9805	peak_1579 (-41008)
Gm9913	peak_2029 (-92770)
Gm9964	peak_665 (-10248)
Gm9992	peak_1549 (-81693)
Gmnc	peak_1413 (+123460)
Gnai1	peak_2697 (-394796), peak_2696 (-182503), peak_2695 (+85276)
Gnat3	peak_2694 (-53053)
Gnaz	peak_466 (-292072)
Gnb4	peak_2148 (-42034)
Gng13	peak_1585 (-54578)
Gng4	peak_903 (-62187)
Gnmt	peak_1620 (+8756)
Golga7b	peak_1838 (+70437)
Golph3	peak_1260 (+63403)
Got2	peak_3429 (-885635), peak_3428 (-171757)
Gp2	peak_3261 (+19298)
Gpc5	peak_1229 (-616072), peak_1230 (-425288), peak_1231 (-189092)
Gpc6	peak_1232 (-600067), peak_1233 (-460050), peak_1234 (-284050), peak_1235 (-136897), peak_1236 (-23472), peak_1237 (+332751)
Gphb5	peak_818 (+37366)
Gpm6a	peak_3348 (-105474), peak_3349 (-37095)
Gpr135	peak_813 (+81909)
Gpr137b	peak_900 (-21773)
Gpr149	peak_2201 (-137737), peak_2200 (+31541)
Gpr155	peak_1976 (+29713)
Gpr157	peak_2656 (-19982)
Gpr158	peak_1897 (+125493), peak_1898 (+218259), peak_1899 (+257651)
Gpr165	peak_3750 (-54040)
Gpr6	peak_408 (+72672)
Gpr63	peak_2408 (+134481)
Gpr68	peak_849 (+29468)
Gramd1b	peak_3528 (-36549)
Gramd3	peak_1749 (-73954)
Grb7	peak_690 (+38751)
Grem2	peak_330 (-21004)
Gria1	peak_641 (-279743), peak_642 (-204623)
Gria2	peak_2233 (+60345), peak_2232 (+447025)
Gria3	peak_3665 (-445487), peak_3666 (-169641), peak_3667 (-89952)
Gria4	peak_3472 (+24153)
Grid1	peak_1130 (+387226)
Grid2	peak_3038 (-546040), peak_3039 (-260921), peak_3040 (+329779), peak_3041 (+411636)
Grik1	peak_1529 (+186053)
Grik2	peak_426 (-320553), peak_425 (+563786), peak_424 (+763280)
Grik3	peak_2618 (-12556)
Grin3a	peak_2447 (-682554), peak_2446 (-534662)
Grip1	peak_538 (-49338)
Grm1	peak_362 (+107547)
Grm3	peak_2675 (-485675)
Grm7	peak_3097 (+776146)
Grm8	peak_2989 (-43617), peak_2988 (+580573)
Grxcr1	peak_2777 (+73967), peak_2778 (+105843)
Gse1	peak_3457 (-38515)
Gsg1l	peak_3264 (+41242)
Gtdc1	peak_1929 (+250098)
Gtf2e2	peak_3319 (-32736)
Gtf2i	peak_2916 (-11326)
Gtf2ird1	peak_2917 (+28715)
Gtf3c3	peak_125 (+51920)
Gucy1a2	peak_3470 (+210968)
Gucy1b2	peak_1168 (-8875)
Gucy2e	peak_653 (-31737)
Gulp1	peak_100 (-132166), peak_101 (-70436)
Gxylt1	peak_1377 (+105373), peak_1376 (+141427)
Gxylt2	peak_3078 (+53534)
Gypa	peak_3412 (-147918)
H2-M10.4	peak_1599 (-25770)
H2afb3	peak_3781 (-72547)
H2afy	peak_971 (+69643)
H2afz	peak_2310 (-16327)
H2al1n	peak_3632 (-20792), peak_3633 (+278485), peak_3634 (+374124)
H2al1o	peak_3626 (-23742)
Hacd1	peak_1883 (+105738)
Hacd4	peak_2545 (+78006), peak_2544 (+150779)
Hace1	peak_416 (+261184), peak_417 (+786839), peak_418 (+802579)
Hand2	peak_3353 (-280102), peak_3354 (-216091), peak_3355 (-137971)
Hao1	peak_2035 (+48195)
Has2	peak_1333 (-213926), peak_1332 (-191420), peak_1331 (+173704)
Havcr1	peak_629 (+15899)
Hccs	peak_3838 (-91209), peak_3837 (+17751)
Hdac9	peak_744 (-204762)
Hdgfl1	peak_924 (-67718), peak_923 (-53640), peak_922 (+524079)
Hdx	peak_3769 (-90988)
Hectd1	peak_782 (-47737)
Hecw1	peak_905 (-41877)
Hhat	peak_351 (+192753)
Hibch	peak_122 (+48717)
Hivep1	peak_947 (+78349)
Hlcs	peak_1538 (+59091)
Hlx	peak_343 (+98324)
Hmg20a	peak_3549 (+18577)
Hmga2	peak_539 (+79187)
Hmgcll1	peak_3569 (-35810)
Hmgn5	peak_3763 (-39681)
Hnf1a	peak_2878 (+15762)
Hnf4g	peak_2086 (+427608), peak_2087 (+663474)
Hnmt	peak_1901 (+110918)
Hoxd10	peak_1978 (-99739)
Hoxd11	peak_1978 (-90138)
Hoxd12	peak_1978 (-82828)
Hoxd13	peak_1978 (-76125)
Hpcal1	peak_734 (-28961)
Hpgd	peak_3351 (+55976)
Hps1	peak_1839 (-224963)
Hs3st1	peak_2729 (-167638), peak_2728 (+34989), peak_2727 (+178741)
Hs3st3a1	peak_649 (-136976)
Hs3st3b1	peak_648 (+116953)
Hs3st4	peak_3263 (-111272)
Hs3st5	peak_398 (-370459), peak_399 (-230759)
Hsd17b3	peak_984 (+68504)
Hsf2	peak_435 (-456870), peak_436 (-266939)
Hsfy2	peak_127 (+537616)
Hsh2d	peak_3395 (+8185)
Hspa13	peak_1505 (-32276), peak_1504 (+29814), peak_1503 (+39122)
Hspb8	peak_2883 (+27109), peak_2882 (+32983)
Htr1a	peak_1065 (+349712)
Htr1b	peak_3576 (+450976)
Htr1f	peak_1481 (+43576), peak_1480 (+58142), peak_1479 (+105360)
Hydin	peak_3448 (+24025)
Ibsp	peak_2854 (-14247)
Ibtk	peak_3584 (+122981)
Ice1	peak_997 (+242017)
Id2	peak_738 (-650434)
Id4	peak_953 (-521181), peak_954 (+35811)
Ids	peak_3709 (+111255)
Ifi204	peak_329 (-26794)
Ifna16	peak_2547 (+8786)
Ifna9	peak_2546 (+7315)
Ifnk	peak_2420 (-109699)
Igdcc4	peak_3558 (-7268)
Igfbp3	peak_561 (-656147)
Igfbp5	peak_161 (+20407)
Igfbp7	peak_2799 (-587076), peak_2798 (-287697), peak_2797 (-215517), peak_2796 (-56867)
Igsf10	peak_2194 (-174503), peak_2193 (+57741)
Igsf11	peak_1431 (+154889), peak_1432 (+916859)
Igsf21	peak_2637 (+105193)
Igsf3	peak_2261 (-13552), peak_2262 (+10912)
Il12a	peak_2214 (-82806), peak_2215 (+62724)
Il12b	peak_627 (-94076)
Il13ra2	peak_3811 (+144576), peak_3810 (+222510)
Il17a	peak_54 (-25299), peak_55 (+13480)
Il18r1	peak_93 (-7839)
Il1r1	peak_92 (-29986)
Il1rapl1	peak_3739 (-231470), peak_3738 (+183855), peak_3737 (+648778)
Il1rapl2	peak_3800 (-143706)
Il5ra	peak_3087 (+351444)
Il6st	peak_1081 (+39932)
Ilk	peak_3246 (-15554)
Immp1l	peak_2010 (+44149)
Impad1	peak_2341 (-303331), peak_2340 (-252158)
Inhba	peak_909 (+379870), peak_910 (+488230)
Inpp4b	peak_3414 (+378964)
Ins1	peak_1860 (-364676)
Insc	peak_3255 (+181924)
Insig2	peak_251 (+333690)
Insl5	peak_2579 (+7659)
Intu	peak_2156 (-683060)
Ipmk	peak_459 (+476879)
Ipo11	peak_1068 (+286680), peak_1067 (+304013), peak_1066 (+645699)
Ipo8	peak_3149 (+62549)
Ipo9	peak_269 (-48691)
Iqcf4	peak_3608 (-19837)
Iqcg	peak_1418 (+21336)
Iqcj	peak_2212 (-138561), peak_2213 (-106042)
Iqcm	peak_3403 (+124990), peak_3404 (+139161), peak_3405 (+649189)
Iqgap2	peak_1047 (-68939)
Iqsec1	peak_3069 (-95429)
Iqub	peak_2980 (+23148)
Irak1bp1	peak_3579 (-470178), peak_3580 (-352942), peak_3581 (-264230)
Irak2	peak_3105 (+16526)
Irak4	peak_1378 (+17812)
Irf1	peak_636 (+25041)
Irf8	peak_3458 (+124630)
Irs2	peak_3288 (+48540)
Irx1	peak_1001 (+83983), peak_1000 (+472135), peak_999 (+535325)
Irx2	peak_1002 (-236246)
Isl2	peak_3547 (+97045)
Isx	peak_3399 (-682458), peak_3400 (-388434)
Itga1	peak_1083 (-489536)
Itga6	peak_1971 (-95730), peak_1972 (+26471)
Itgb3	peak_691 (+35935)
Itgb5	peak_1420 (+42885)
Itgbl1	peak_1241 (+63300), peak_1242 (+151088)
Itm2a	peak_3760 (-95956)
Itpr1	peak_3093 (+16559), peak_3094 (+59735)
Itsn1	peak_1534 (+98495)
Izumo3	peak_2558 (+246279)
Jade1	peak_2157 (-219914)
Jade2	peak_635 (-40527)
Jak1	peak_2575 (-62720)
Jarid2	peak_949 (-321504), peak_950 (+116044)
Jph1	peak_38 (+143693)
Jrkl	peak_3488 (+161548), peak_3487 (+329739), peak_3486 (+506196)
Jun	peak_2567 (-54402)
Kalrn	peak_1421 (+251004)
Kank1	peak_1820 (-49336), peak_1821 (+70811)
Kank2	peak_3499 (-17672)
Kank4	peak_2568 (+38907)
Kap	peak_3131 (+38011), peak_3130 (+108210)
Katnal1	peak_2928 (+91270)
Kcna4	peak_2011 (+686166)
Kcnc2	peak_526 (+52269), peak_527 (+153661)
Kcnd2	peak_2969 (-664096), peak_2970 (-504768), peak_2971 (-422049), peak_2972 (-200971), peak_2973 (+178604)
Kcne4	peak_168 (+309713)
Kcnh1	peak_350 (+253264)
Kcnh8	peak_1624 (-59829), peak_1625 (+430091)
Kcnip4	peak_2745 (-142247), peak_2744 (-19714)
Kcnj16	peak_701 (-218196), peak_702 (-172194)
Kcnj3	peak_1948 (-409155), peak_1949 (+192887), peak_1950 (+393646), peak_1951 (+505372)
Kcnj4	peak_1361 (+11448)
Kcnj6	peak_1541 (-91265), peak_1540 (-19646)
Kcnk16	peak_1116 (+11514)
Kcnk5	peak_1115 (+25473)
Kcnma1	peak_1121 (+594204), peak_1120 (+882488)
Kcnn2	peak_1737 (-61488), peak_1738 (+122549)
Kcnq5	peak_57 (-117037)
Kcns3	peak_725 (+118968)
Kcnt2	peak_280 (+71882), peak_281 (+410485), peak_282 (+476796), peak_283 (+773362), peak_284 (+943649)
Kcnv1	peak_1310 (-586323), peak_1309 (+111525)
Kctd12	peak_1218 (-13061)
Kctd16	peak_1732 (+357631)
Kdm1b	peak_952 (+12876)
Kdm4c	peak_2508 (+254098)
Kdm5c	peak_3815 (-23846)
Kdm6a	peak_3641 (+138559)
Kdr	peak_2794 (+142937)
Khdrbs2	peak_79 (-470985), peak_80 (+93069)
Khdrbs3	peak_1351 (-294863), peak_1352 (-42816)
Khsrp	peak_1636 (+9122)
