# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
Prrx2	peak_616 (+19361)
Prss42	peak_1175 (-16279)
Psd2	peak_534 (-26553), peak_535 (+104242)
Psd3	peak_1069 (-88250)
Psen2	peak_66 (+26726)
Psmc2	peak_843 (+25185)
Ptprs	peak_511 (+42175)
Ptpru	peak_810 (+18306)
Pvr	peak_980 (+9131)
Pwp1	peak_107 (-41775)
Qprt	peak_1036 (+9628)
Rab10	peak_237 (+48283)
Rab11fip1	peak_1058 (+14164)
Rab6b	peak_1166 (-19691)
Rabl2	peak_413 (-29717)
Rack1	peak_161 (-20667), peak_162 (-10526)
Rad23b	peak_768 (-55697)
Raf1	peak_951 (-40408)
Rai14	peak_386 (+24888)
Rap1gap	peak_824 (+48516)
Rapgef2	peak_710 (+79250)
Rasa2	peak_1161 (-39028)
Rassf3	peak_132 (-40137), peak_131 (-30651)
Rax	peak_550 (+13929)
Rbbp7	peak_1207 (-24313)
Rbm12b1	peak_754 (-14940)
Rbm47	peak_856 (-17224)
Rbm4b	peak_568 (-17408)
Rbx1	peak_406 (+14630)
Rd3	peak_71 (+12162)
Rdm1	peak_213 (+18270)
Rerg	peak_967 (+14051)
Rest	peak_863 (-26008)
Rfx2	peak_512 (+12555)
Rgl3	peak_1117 (+8271)
Rgma	peak_1013 (+34524)
Rgs14	peak_311 (+9535)
Rgs8	peak_50 (-10707)
Rgs9	peak_223 (+8298), peak_222 (+53249)
Rhbg	peak_715 (+13648)
Rhd	peak_815 (+14902)
Rhof	peak_885 (+12487)
Rhou	peak_1107 (-10203)
Ric1	peak_584 (-20954)
Ripor3	peak_684 (+21746)
Rlf	peak_794 (-16265)
Rmi2	peak_439 (+8771)
Rnf222	peak_178 (-6242)
Rnf7	peak_1160 (+41483)
Rnls	peak_585 (-14)
Robo1	peak_465 (-739754), peak_466 (-634766)
Robo3	peak_1122 (-24634)
Robo4	peak_1121 (-16509)
Ropn1	peak_454 (+6275)
Ror1	peak_781 (-53099)
Rph3al	peak_182 (-28896)
Rpia	peak_930 (+703715)
Rpl36-ps4	peak_521 (+13388)
Rpl7a-ps3	peak_391 (-65588)
Rps2-ps6	peak_368 (-17686)
Rps29	peak_260 (+28253)
Rps6kc1	peak_70 (+220712)
Rragc	peak_796 (+55091), peak_797 (+261040)
Rsl24d1	peak_1153 (+78899)
Rtn1	peak_262 (+105204)
Rtn4rl1	peak_180 (+19610)
Runx3	peak_816 (+8367)
Rybp	peak_946 (+131105)
Ryk	peak_1165 (-42576)
Ryr1	peak_989 (+38447)
S1pr1	peak_731 (+72916)
S1pr3	peak_307 (-7559)
Sall1	peak_1083 (-227690)
Sall2	peak_351 (-10745)
Samd12	peak_398 (-81590)
Sap30l	peak_167 (-14906)
Sar1b	peak_165 (+43376)
Sarm1	peak_184 (+8575)
Saysd1	peak_339 (+50854)
Sbk1	peak_1035 (+19180)
Scaf4	peak_469 (-14905)
Scara5	peak_359 (+64641)
Scd1	peak_595 (+18976)
Scd2	peak_593 (-44403), peak_594 (-10680)
Scn4b	peak_1128 (+7564)
Scn8a	peak_427 (+21426)
Scnn1a	peak_958 (+10003)
Sdc3	peak_808 (+36693)
Sec61a1	peak_940 (+19005)
Sema4c	peak_11 (-24094)
Sepsecs	peak_849 (+50509)
Sept5	peak_445 (-66438), peak_444 (-56893), peak_443 (-51150)
Serinc2	peak_807 (+11109)
Serp2	peak_372 (-183617)
Sertad2	peak_145 (-87694), peak_146 (-66026)
Setbp1	peak_560 (+353976)
Sfr1	peak_605 (+24176)
Sfrp2	peak_712 (+23323)
Sgcd	peak_160 (-609496)
Sgcg	peak_355 (-16806)
Sgk1	peak_81 (-105838), peak_82 (+41171)
Sgms2	peak_740 (-19636)
Sh2b2	peak_896 (-7632)
Sh3glb1	peak_744 (-18099)
Shc3	peak_308 (-28385)
Shc4	peak_646 (-8364)
Shq1	peak_947 (+100793)
Shroom3	peak_867 (+15398)
Sipa1l2	peak_1109 (+49889)
Skap1	peak_205 (-16828)
Skor1	peak_1144 (+22902), peak_1143 (+37551)
Skp1a	peak_166 (-8002)
Slc15a1	peak_380 (+48815)
Slc1a6	peak_102 (+7296)
Slc24a2	peak_775 (-141925)
Slc25a13	peak_916 (+37834)
Slc30a2	peak_814 (+13969)
Slc35f1	peak_91 (+13981)
Slc38a1	peak_419 (+75078)
Slc38a4	peak_420 (+102602)
Slc39a11	peak_226 (+364454)
Slc4a5	peak_932 (+30671)
Slc6a21	peak_1004 (-5449)
Slc7a1	peak_906 (-51409)
Slc7a13	peak_755 (-51899)
Slco5a1	peak_6 (+125921)
Smad2	peak_558 (-80281)
Smad5	peak_312 (-20681)
Smad6	peak_1146 (-28257), peak_1145 (+67544)
Smad7	peak_556 (+34067), peak_557 (+127364)
Smarcal1	peak_18 (+58148)
Smim12	peak_801 (-29734)
Smim15	peak_333 (-398567)
Smim20	peak_850 (-8725)
Smim23	peak_154 (-101332)
Smim5	peak_228 (-15363)
Smox	peak_649 (-68818)
Smug1	peak_435 (-24380), peak_434 (+10548)
Snap25	peak_651 (-34340)
Snx20	peak_1082 (+8648)
Sox12	peak_659 (-7950)
Sox13	peak_40 (-10436)
Sox17	peak_1 (-75525)
Spag6	peak_611 (+68406)
Spata4	peak_1067 (+16315)
Spats2	peak_424 (-11093)
Speer3	peak_841 (+88304)
Spin4	peak_1197 (+35944)
Spink4	peak_759 (-11416)
Spred2	peak_143 (-112527), peak_144 (-95639)
Sptbn5	peak_644 (-19215)
Sqle	peak_401 (-34471)
Srcin1	peak_207 (-14623)
Srprb	peak_1167 (-10751)
Srrm2	peak_485 (-8015)
Srsf6	peak_673 (-22886)
St18	peak_3 (-45823)
St3gal2	peak_1096 (+29969)
Stard3nl	peak_287 (-43324), peak_286 (+130300)
Stim2	peak_851 (+975941)
Stmn4	peak_360 (-19324)
Stoml3	peak_704 (+37291)
Ston1	peak_524 (+9274)
Stox2	peak_1065 (-102818), peak_1064 (+20229)
Stra6l	peak_763 (+20025)
Stt3b	peak_1178 (+93593)
Stx11	peak_73 (+42571)
Sult1c2	peak_509 (+41757)
Sult6b2	peak_968 (-9834)
Supt20	peak_705 (-59325)
Syde2	peak_745 (-8822)
Synj2	peak_476 (+8358)
Synm	peak_1011 (-43938)
Syt10	peak_414 (+76002)
Syt15	peak_345 (+14940)
T	peak_478 (-45218)
Tacc1	peak_1056 (-39357)
Tacr2	peak_96 (+37444)
Tarbp1	peak_1110 (-22716)
Tarsl2	peak_1010 (-117741)
Tbc1d1	peak_852 (+97038), peak_853 (+138964)
Tbc1d30	peak_130 (+83006)
Tbcel	peak_1125 (-49044)
Tc2n	peak_275 (-17557)
Tcerg1	peak_541 (-43947)
Tcf12	peak_1151 (-57692), peak_1150 (-21319)
Tcf25	peak_1106 (-20012)
Tdrp	peak_1052 (-18433)
Tectb	peak_608 (+27211)
Tekt5	peak_438 (+20469)
Tenm2	peak_156 (-110)
Terf2	peak_1092 (+11320)
Tex14	peak_194 (+40703)
Tfip11	peak_871 (-18625)
Tgif1	peak_514 (+143969)
Tgm3	peak_647 (-103205)
Thap12	peak_1018 (+27456)
Thegl	peak_862 (+44923)
Thsd4	peak_1138 (-10669)
Tiam1	peak_468 (+89556)
Tigit	peak_459 (-46822)
Tle3	peak_1139 (+252434)
Tle4	peak_580 (+329983)
Tlr4	peak_770 (-84460)
Tmc6	peak_234 (+19477)
Tmem114	peak_437 (+15649)
Tmem115	peak_1173 (-52844)
Tmem132a	peak_576 (+10869)
Tmem132b	peak_888 (+57297)
Tmem132e	peak_188 (+46040), peak_189 (+56181)
Tmem161a	peak_1070 (-6606)
Tmem173	peak_532 (-11226)
Tmem174	peak_331 (+64923)
Tmem28	peak_1199 (-114394), peak_1200 (+32716)
Tmem30b	peak_263 (+28712)
Tmem45b	peak_1119 (+14529)
Tmem52	peak_838 (-17805)
Tmem53	peak_790 (+60891)
Tnfrsf13b	peak_170 (+20941)
Tnks2	peak_586 (-17029)
Tnp1	peak_19 (+70393)
Tnrc6c	peak_233 (-58803)
Tns1	peak_20 (+86799)
Tob1	peak_202 (-64267)
Tpm3-rs7	peak_375 (+58703)
Tpo	peak_247 (+29569)
Tpp1	peak_1026 (-10023)
Tprkb	peak_938 (+21508)
Tpt1	peak_365 (-15658), peak_366 (-9399)
Trat1	peak_460 (+21493)
Treh	peak_1126 (-26689), peak_1127 (-17679)
Trim2	peak_713 (-63789)
Trim27	peak_288 (+36722), peak_289 (+54945)
Trim30d	peak_1024 (+5930)
Trim34a	peak_1023 (+12396)
Trpv4	peak_875 (+10079)
Trub1	peak_609 (-41060)
Tsc22d1	peak_369 (+10258), peak_370 (+38777), peak_371 (+55224)
Tspan5	peak_742 (+134434)
Ttc1	peak_159 (-28228), peak_158 (-19494)
Ttc6	peak_258 (+390)
Tubg2	peak_212 (-11951)
Tulp1	peak_488 (-9935)
Tyrp1	peak_772 (+30565)
Ubash3b	peak_1124 (-49768)
Ubc	peak_887 (-16405)
Ube2q1	peak_718 (+15148)
Uggt1	peak_10 (-11208)
Unc13a	peak_1071 (+16866)
Unc5a	peak_309 (-36963)
Unc5cl	peak_508 (+192639)
Uncx	peak_899 (+56342)
Uqcc2	peak_487 (+18600)
Uqcrc2	peak_1031 (-36800)
Usp32	peak_192 (+28463)
Usp44	peak_111 (+15181)
Usp46	peak_860 (-57885)
Utp14b	peak_22 (+66268)
Utp6	peak_185 (+171052)
Uts2	peak_836 (-31484)
Vbp1	peak_1193 (-38831)
Virma	peak_753 (-30490)
Vmn1r205	peak_293 (+9090)
Vmn1r223	peak_294 (+21309), peak_295 (+36769), peak_296 (+50588)
Vmn1r87	peak_975 (+15718)
Vmn2r86	peak_135 (-14841)
Vrk1	peak_279 (-67724), peak_280 (+108233)
Vsig8	peak_63 (+7284)
Vwf	peak_959 (+20154), peak_960 (+51072)
Wdr19	peak_855 (-23711)
Wdr25	peak_281 (+66130)
Wnt10a	peak_21 (+12829)
Wnt11	peak_1019 (+11877)
Wnt2b	peak_728 (-6379)
Wnt3a	peak_169 (+25769)
Wnt4	peak_823 (-112758)
Wnt7b	peak_410 (-75501)
Wwox	peak_1099 (+16566)
Xbp1	peak_139 (-14288)
Xcl1	peak_53 (-83351)
Xlr	peak_1192 (-177188)
Xpa	peak_764 (-6535)
Xpnpep1	peak_606 (-11919)
Xxylt1	peak_449 (+207075)
Ykt6	peak_141 (+51961)
Ywhae	peak_181 (-16402)
Zap70	peak_12 (+23618)
Zbtb33	peak_1188 (-9245)
Zbtb38	peak_1163 (-61202), peak_1162 (-6177)
Zbtb40	peak_822 (-69460)
Zbtb43	peak_619 (-81785)
Zbtb8a	peak_804 (-28563)
Zc2hc1c	peak_271 (+7992)
Zcchc24	peak_341 (+13805)
Zcchc6	peak_315 (-15000)
Zdhhc25	peak_411 (+62388)
Zeb1	peak_526 (+227860)
Zfp119b	peak_510 (+13034)
Zfp148	peak_451 (-42948)
Zfp217	peak_690 (-114821), peak_689 (+88315)
Zfp229	peak_483 (+20596)
Zfp251	peak_403 (+17384)
Zfp266	peak_1115 (-22567)
Zfp30	peak_990 (+8856)
Zfp322a	peak_298 (+51410), peak_297 (+59179)
Zfp345	peak_656 (-40618)
Zfp354c	peak_164 (+35150)
Zfp365	peak_98 (-8365)
Zfp369	peak_317 (+32273)
Zfp36l2	peak_519 (+120728)
Zfp385c	peak_210 (-22966)
Zfp395	peak_358 (-26223)
Zfp418	peak_974 (+16935)
Zfp438	peak_525 (+171679)
Zfp442	peak_655 (+38830)
Zfp445	peak_1181 (+28126)
Zfp516	peak_565 (+489331)
Zfp532	peak_549 (-59807)
Zfp619	peak_999 (+70594)
Zfp629	peak_1038 (-37712)
Zfp637	peak_953 (-13420)
Zfp677	peak_482 (-13777)
Zfp704	peak_697 (-19960)
Zfp706	peak_394 (+51983)
Zfp747	peak_1037 (+12583)
Zfp777	peak_925 (+22910)
Zfp788	peak_1000 (+106587)
Zfp800	peak_917 (+47063)
Zfp831	peak_695 (+30076)
Zfp90	peak_1090 (+16830)
Zfp960	peak_480 (-66684)
Zfpm2	peak_397 (+324167)
Zic5	peak_383 (+14054), peak_382 (+31262)
Zmat1	peak_1206 (-26866)
Zmat2	peak_536 (+8250)
Zzz3	peak_747 (+82065)

