# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_40	Oprk1 (+413)
Anti-GFP.mLb.mkD.sorted_peak_52235	Adam18 (-93)
Anti-GFP.mLb.mkD.sorted_peak_52705	Cldn22 (+366)
Anti-GFP.mLb.mkD.sorted_peak_52932	Tktl2 (+255)
Anti-GFP.mLb.mkD.sorted_peak_53106	Myo9b (-340409), Map1s (+26373)
Anti-GFP.mLb.mkD.sorted_peak_53786	Katnb1 (+28916), Kifc3 (+32445)
Anti-GFP.mLb.mkD.sorted_peak_53808	Tepp (+1661), Zfp319 (+18774)
Anti-GFP.mLb.mkD.sorted_peak_54000	Dpep3 (-14)
Anti-GFP.mLb.mkD.sorted_peak_54259	Ctrb1 (+3809), Zfp1 (+43695)
Anti-GFP.mLb.mkD.sorted_peak_55036	Maml2 (-365246), Ccdc82 (+50246)
Anti-GFP.mLb.mkD.sorted_peak_55066	1700012B09Rik (-36)
Anti-GFP.mLb.mkD.sorted_peak_55072	Izumo1r (+3388), Gpr83 (+40334)
Anti-GFP.mLb.mkD.sorted_peak_55177	Zglp1 (+585)
Anti-GFP.mLb.mkD.sorted_peak_55566	Vsig2 (+273)
Anti-GFP.mLb.mkD.sorted_peak_55604	Gramd1b (+79504), Scn3b (+107043)
Anti-GFP.mLb.mkD.sorted_peak_55605	Gramd1b (+73832), Scn3b (+112715)
Anti-GFP.mLb.mkD.sorted_peak_55807	Cd3e (+780)
Anti-GFP.mLb.mkD.sorted_peak_55913	Htr3a (+238)
Anti-GFP.mLb.mkD.sorted_peak_56002	4930550C14Rik (-7280), Kdelc2 (+13981)
Anti-GFP.mLb.mkD.sorted_peak_56174	Lman1l (-5960), Csk (+18919)
Anti-GFP.mLb.mkD.sorted_peak_56205	Stra6 (-4898)
Anti-GFP.mLb.mkD.sorted_peak_56207	Islr (+1673), Stra6 (+23473)
Anti-GFP.mLb.mkD.sorted_peak_56238	Rec114 (+12)
Anti-GFP.mLb.mkD.sorted_peak_56278	Nr2e3 (+1696), Myo9a (+197525)
Anti-GFP.mLb.mkD.sorted_peak_56450	Lctl (-3807)
Anti-GFP.mLb.mkD.sorted_peak_56480	Ints14 (-4859), Slc24a1 (-4471)
Anti-GFP.mLb.mkD.sorted_peak_56674	Aldh1a2 (-46645), Aqp9 (-6511)
Anti-GFP.mLb.mkD.sorted_peak_56764	Unc13c (+175)
Anti-GFP.mLb.mkD.sorted_peak_56765	Wdr72 (-277)
Anti-GFP.mLb.mkD.sorted_peak_57044	Plscr4 (-3752)
Anti-GFP.mLb.mkD.sorted_peak_57170	Slc25a36 (-254883), Trim42 (+3918)
Anti-GFP.mLb.mkD.sorted_peak_57203	Esyt3 (-5493), Mras (+73370)
Anti-GFP.mLb.mkD.sorted_peak_57316	1300017J02Rik (+107)
Anti-GFP.mLb.mkD.sorted_peak_57385	Alas1 (+6350), Tlr9 (+19706)
Anti-GFP.mLb.mkD.sorted_peak_57411	Iqcf5 (-12676), Iqcf1 (+1905)
Anti-GFP.mLb.mkD.sorted_peak_57419	Iqcf6 (+1274), Grm2 (+28224)
Anti-GFP.mLb.mkD.sorted_peak_57434	Manf (-3822)
Anti-GFP.mLb.mkD.sorted_peak_57703	Myl3 (+29)
Anti-GFP.mLb.mkD.sorted_peak_57719	Fam240a (+1102), Als2cl (+35422)
Anti-GFP.mLb.mkD.sorted_peak_57728	Ccrl2 (+599)
Anti-GFP.mLb.mkD.sorted_peak_57769	Pdcd6ip (-80677), Clasp2 (-23677)
Anti-GFP.mLb.mkD.sorted_peak_57771	Pdcd6ip (-85191), Clasp2 (-19163)
Anti-GFP.mLb.mkD.sorted_peak_57869	Gadl1 (-1050)
Anti-GFP.mLb.mkD.sorted_peak_58095	Topaz1 (-26)
Anti-GFP.mLb.mkD.sorted_peak_58214	Fthl17b (+122)
Anti-GFP.mLb.mkD.sorted_peak_58215	Fthl17f (+239)
Anti-GFP.mLb.mkD.sorted_peak_58220	Dynlt3 (+143)
Anti-GFP.mLb.mkD.sorted_peak_58223	Srpx (+560)
Anti-GFP.mLb.mkD.sorted_peak_58327	Rgn (-1231)
Anti-GFP.mLb.mkD.sorted_peak_58417	Rhox7a (-4592), Rhox6 (+184)
Anti-GFP.mLb.mkD.sorted_peak_58453	Gria3 (+886)
Anti-GFP.mLb.mkD.sorted_peak_58570	Cxx1a (+340)
Anti-GFP.mLb.mkD.sorted_peak_58571	Cxx1a (-21450), Cxx1b (+5276)
Anti-GFP.mLb.mkD.sorted_peak_58588	Arhgef6 (+12437), Cd40lg (+114149)
Anti-GFP.mLb.mkD.sorted_peak_58620	Ldoc1 (+444)
Anti-GFP.mLb.mkD.sorted_peak_58648	Fmr1nb (-4)
Anti-GFP.mLb.mkD.sorted_peak_58668	Cd99l2 (+140)
Anti-GFP.mLb.mkD.sorted_peak_58676	Gabre (+30)
Anti-GFP.mLb.mkD.sorted_peak_58739	Gm5640 (+4800), Olfr1325 (+46507)
Anti-GFP.mLb.mkD.sorted_peak_58877	Zc4h2 (-355)
Anti-GFP.mLb.mkD.sorted_peak_58923	Otud6a (+199)
Anti-GFP.mLb.mkD.sorted_peak_59136	Sytl4 (+172)
Anti-GFP.mLb.mkD.sorted_peak_59138	Trmt2b (+113)
Anti-GFP.mLb.mkD.sorted_peak_59152	Armcx2 (+763)
Anti-GFP.mLb.mkD.sorted_peak_59156	Tmsb15a (-4353)
Anti-GFP.mLb.mkD.sorted_peak_59204	D330045A20Rik (-11)
Anti-GFP.mLb.mkD.sorted_peak_59255	Trpc5 (-689), Zcchc16 (-38)
Anti-GFP.mLb.mkD.sorted_peak_59307	Tspyl2 (-4369)

