# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_1729 (+18758)
Ccdc150	peak_124 (+14863), peak_125 (+136368)
Ccdc160	peak_3682 (+107519)
Ccdc162	peak_409 (+41063)
Ccdc171	peak_2533 (+42010), peak_2534 (+224669), peak_2535 (+433127)
Ccdc173	peak_1968 (+23258)
Ccdc178	peak_1707 (-76735)
Ccdc34	peak_2013 (+219358)
Ccdc50	peak_1414 (+346928)
Ccdc54	peak_1451 (-77515), peak_1450 (+71414)
Ccdc59	peak_515 (-31737)
Ccdc60	peak_2883 (-106770), peak_2882 (-100896)
Ccdc70	peak_3302 (+18790)
Ccdc71l	peak_741 (+39655)
Ccdc7a	peak_3464 (+35431), peak_3463 (+116293), peak_3462 (+252153)
Ccdc7b	peak_3465 (+56916)
Ccdc81	peak_3227 (+144567)
Ccdc85a	peak_606 (+229976), peak_605 (+244193), peak_604 (+344073)
Ccdc88a	peak_608 (+65017)
Ccdc90b	peak_3229 (-813251), peak_3230 (-489069)
Ccdc92	peak_2901 (+44958)
Ccl19	peak_2437 (-10730)
Ccl21a	peak_2437 (+6720)
Ccl25	peak_3277 (+30564), peak_3278 (+42020)
Ccl5	peak_668 (-37145)
Ccl9	peak_668 (+10973)
Ccnd2	peak_3123 (-82955)
Ccnd3	peak_1621 (+41241)
Ccng1	peak_625 (-954781), peak_624 (-625801), peak_623 (-356421), peak_622 (-260964)
Ccng2	peak_2831 (+84707), peak_2832 (+114647)
Ccnh	peak_1029 (-748202), peak_1030 (-699240), peak_1031 (-354546)
Ccnj	peak_1836 (+10969)
Ccnl1	peak_2207 (+202445)
Ccser2	peak_1135 (+372246), peak_1134 (+423253)
Cd109	peak_3573 (+638761), peak_3574 (+727054), peak_3575 (+787561)
Cd163l1	peak_3271 (+6080)
Cd164	peak_409 (+46118)
Cd180	peak_1057 (-272101), peak_1058 (-201441), peak_1059 (+195544)
Cd1d1	peak_2245 (-95648)
Cd2	peak_2261 (-75592), peak_2260 (-12748)
Cd209a	peak_3276 (-44930)
Cd209e	peak_3276 (+60395)
Cd226	peak_1794 (+172939)
Cd320	peak_1597 (+31425)
Cd34	peak_353 (+118115)
Cd36	peak_2694 (-59704), peak_2693 (+240802)
Cd46	peak_353 (+35315)
Cd55	peak_263 (-137757), peak_262 (-28444)
Cd55b	peak_261 (+986515)
Cd83	peak_949 (+624992)
Cdc42bpa	peak_337 (+181124)
Cdc42bpb	peak_866 (+75719)
Cdc42ep3	peak_1671 (+283234)
Cdc42ep4	peak_705 (-104761)
Cdc42se2	peak_638 (-19305), peak_637 (-8842)
Cdc5l	peak_1619 (+406672)
Cdca8	peak_2617 (+37143)
Cdh10	peak_1266 (-89079), peak_1267 (+759965), peak_1268 (+805855)
Cdh11	peak_3440 (-975914), peak_3439 (+637379)
Cdh12	peak_1272 (+150577), peak_1273 (+231084)
Cdh13	peak_3455 (-305408)
Cdh18	peak_1274 (-548460), peak_1275 (-224743)
Cdh19	peak_227 (-648782), peak_226 (-603946), peak_225 (-301222)
Cdh2	peak_1702 (-825699), peak_1701 (-152503), peak_1700 (+520134)
Cdh20	peak_213 (-550904), peak_214 (-488447), peak_215 (+200989)
Cdh22	peak_2068 (+12672), peak_2067 (+38771)
Cdh23	peak_439 (+156552)
Cdh26	peak_2084 (+343817), peak_2085 (+746783)
Cdh4	peak_2084 (-668007), peak_2085 (-265041)
Cdh5	peak_3440 (-340069)
Cdh6	peak_1262 (-209510)
Cdh7	peak_223 (-947955), peak_224 (-915814)
Cdh8	peak_3437 (-864705), peak_3436 (-443720), peak_3435 (+571030), peak_3434 (+717120), peak_3433 (+987266)
Cdh9	peak_1264 (-869410), peak_1265 (-656260)
Cdhr3	peak_743 (-151318), peak_742 (-71371)
Cdk1	peak_456 (+82449), peak_455 (+116456)
Cdk14	peak_2662 (+436232)
Cdk15	peak_131 (+111278)
Cdk5rap2	peak_2495 (+341396), peak_2494 (+623316), peak_2493 (+689084), peak_2492 (+981174)
Cdk6	peak_2661 (-279084)
Cdkal1	peak_927 (+841271)
Cdkn2aipnl	peak_635 (-69481)
Cdkn2b	peak_2548 (-307775)
Cdkn2c	peak_2593 (+64602)
Cdkn3	peak_1150 (-15029)
Cdo1	peak_1740 (+35223)
Cdr1	peak_3695 (-80526), peak_3694 (-73090)
Cds1	peak_2845 (-60722), peak_2846 (+97138), peak_2847 (+216441)
Cdyl	peak_936 (-603031)
Ceacam12	peak_3176 (+42197)
Ceacam5	peak_3174 (-329536), peak_3175 (-18329)
Cebpb	peak_2071 (+142107), peak_2072 (+199218)
Cecr2	peak_3116 (-21821)
Celf4	peak_1713 (-942712)
Cenpf	peak_347 (-29450)
Cenpo	peak_716 (-196783)
Cenpq	peak_1613 (-979504), peak_1612 (-758027), peak_1611 (-30373)
Cenpw	peak_390 (+426693)
Cenpx	peak_713 (+26627)
Cep126	peak_3477 (-243343), peak_3476 (-186262)
Cep128	peak_836 (+106350), peak_835 (+543152)
Cep164	peak_3533 (+23155), peak_3532 (+29935)
Cep170	peak_332 (+259601)
Cep44	peak_3351 (+200296)
Cers4	peak_3277 (-113047), peak_3278 (-101591)
Cers6	peak_1967 (-163280)
Ces1f	peak_3424 (-19294)
Ces1g	peak_3424 (+38267)
Ces1h	peak_3425 (-105859)
Ces2a	peak_3441 (-38489), peak_3442 (+91386)
Ces2b	peak_3442 (-6183)
Ces4a	peak_3443 (+6471)
Ces5a	peak_3426 (-48931), peak_3425 (+50123)
Cetn3	peak_1023 (+542581), peak_1024 (+552421), peak_1025 (+745969), peak_1026 (+911381)
Cfap53	peak_1772 (+144453)
Cfap54	peak_490 (+21167), peak_489 (+272249)
Cfap69	peak_2664 (-13365), peak_2663 (+33471)
Cfap77	peak_1907 (+38348), peak_1906 (+80870), peak_1905 (+111310)
Cfhr1	peak_279 (-156376), peak_278 (-109595), peak_277 (-89784), peak_276 (-27082), peak_275 (+13578)
Cfl2	peak_787 (-27205)
Cga	peak_2420 (+148578)
Cggbp1	peak_1479 (+148428), peak_1480 (+195646), peak_1481 (+210212)
Cgn	peak_2255 (+7226)
Chchd3	peak_2997 (+279756)
Chd1l	peak_2256 (+120856)
Chic2	peak_2793 (+252158)
Chil6	peak_2270 (-8162)
Chl1	peak_3082 (-826255), peak_3083 (+71183), peak_3084 (+208432)
Chm	peak_3772 (-64980), peak_3771 (+345207)
Chmp2b	peak_1482 (-189047)
Chmp7	peak_1174 (-16889)
Chn2	peak_3025 (-53184)
Chordc1	peak_3491 (-435736), peak_3492 (-318406), peak_3493 (-282532)
Chrm2	peak_3001 (-610059), peak_3002 (-298706), peak_3003 (+108990)
Chrm3	peak_898 (+58714)
Chrna9	peak_2772 (-55573), peak_2773 (-16247)
Chst7	peak_3644 (-407816), peak_3645 (-228142)
Chst9	peak_1699 (+228616)
Chsy3	peak_1751 (-252485), peak_1752 (-60021)
Cib3	peak_3395 (+14996)
Cidea	peak_1761 (-12302), peak_1762 (+20995)
Cir1	peak_1976 (-44158)
Cit	peak_2881 (+81514)
Cited2	peak_371 (-902629), peak_372 (-585884), peak_373 (-579508)
Ckmt2	peak_1043 (+61863)
Clasp1	peak_248 (+199147)
Cldn1	peak_1412 (+243392)
Cldn17	peak_1530 (-20330)
Cldn34a	peak_3816 (-39369)
Cldn34b1	peak_3818 (+176104)
Cldn34b3	peak_3715 (-312978), peak_3716 (-27624)
Cldn34c1	peak_3783 (-118814), peak_3784 (-77516)
Cldn34c4	peak_3789 (-865826)
Cldn8	peak_1530 (+35875)
Clec14a	peak_795 (-589466), peak_794 (-500616), peak_793 (-230679)
Clec4a4	peak_3119 (+52449)
Clec4b1	peak_3119 (-7182)
Clic5	peak_1618 (-73895)
Clip1	peak_2897 (+101562)
Clmp	peak_3528 (-193699)
Cln8	peak_3291 (-691769), peak_3292 (-160164)
Clnk	peak_2728 (-843674), peak_2727 (-699922), peak_2726 (-161527), peak_2725 (+38655)
Clrn1	peak_2192 (-102625), peak_2191 (+32679), peak_2190 (+122713)
Clstn2	peak_3595 (-216914)
Clstn3	peak_3122 (+27789)
Clvs2	peak_394 (-18299), peak_393 (+18819), peak_392 (+132949)
Cmklr1	peak_2875 (-11540), peak_2874 (+18723), peak_2873 (+69826)
Cnbd1	peak_2389 (-67617), peak_2388 (-27009), peak_2387 (+175679), peak_2386 (+515624), peak_2385 (+694246), peak_2384 (+900734)
Cnep1r1	peak_3421 (-81044)
Cnga2	peak_3710 (+115393)
Cnga3	peak_87 (-175762)
Cngb3	peak_2388 (-131315), peak_2389 (-90707)
Cnksr2	peak_3825 (-826602), peak_3824 (-557597), peak_3823 (-69291)
Cnot2	peak_535 (-146767)
Cnot6l	peak_2839 (+41908)
Cnrip1	peak_578 (+47362)
Cntln	peak_2536 (+150880)
Cntn3	peak_3082 (-111712), peak_3081 (+531656), peak_3080 (+811513)
Cntn4	peak_3085 (-215288), peak_3086 (-14755), peak_3087 (+719848)
Cntn5	peak_3485 (-747291), peak_3484 (-512408), peak_3483 (-236084), peak_3482 (+346548), peak_3481 (+614120), peak_3480 (+680993)
Cntn6	peak_3083 (-910671), peak_3084 (-773422), peak_3085 (+969535)
Cntnap2	peak_3010 (-639539), peak_3011 (-500697), peak_3012 (-328668), peak_3013 (+426028)
Cntnap3	peak_985 (+254698)
Cntnap4	peak_3450 (-86676), peak_3451 (+81774), peak_3452 (+227696), peak_3453 (+262945)
Cntnap5a	peak_234 (-913748), peak_235 (-875534), peak_236 (+114797)
Cntnap5b	peak_200 (-883081), peak_201 (+51402), peak_202 (+863558)
Cntnap5c	peak_1637 (-110461), peak_1638 (-70568), peak_1639 (+204455), peak_1640 (+401518), peak_1641 (+555219)
Cntrob	peak_653 (+55016)
Cobl	peak_570 (-914186), peak_569 (-851055), peak_568 (-441145)
Cog6	peak_2177 (+579931), peak_2176 (+625589)
Col11a1	peak_2280 (-360804), peak_2281 (-183454)
Col12a1	peak_3575 (+315411), peak_3574 (+375918), peak_3573 (+464211)
Col17a1	peak_1845 (-13485)
Col19a1	peak_61 (+91091)
Col1a2	peak_2934 (-223268)
Col26a1	peak_2918 (+46746)
Col28a1	peak_2946 (+209048), peak_2945 (+263585), peak_2944 (+267649)
Col3a1	peak_102 (-352367), peak_103 (-145653), peak_104 (-105716)
Col4a3	peak_175 (+116335)
Col5a1	peak_1903 (-111947)
Col5a2	peak_106 (-265555), peak_105 (-151142)
Col6a6	peak_3607 (+135693)
Col8a1	peak_1460 (-484905), peak_1459 (-250570)
Col9a1	peak_61 (+318771)
Colec10	peak_1329 (+40018)
Commd10	peak_1741 (+371855)
Commd3	peak_1891 (-195360), peak_1892 (-115333)
Commd8	peak_2785 (+336536)
Comp	peak_3392 (+45454)
Coq7	peak_3260 (-42291)
Coq8a	peak_337 (+54311)
Corin	peak_2786 (-38271)
Cox10	peak_649 (-218890)
Cox15	peak_1840 (+41575)
Cox18	peak_2824 (+270888)
Cox6c	peak_1295 (-53933), peak_1294 (+302388)
Cox7b2	peak_2784 (-8067), peak_2783 (+22840), peak_2782 (+158913), peak_2781 (+228754)
Cox7c	peak_1035 (-543707), peak_1034 (-241508), peak_1033 (+111246), peak_1032 (+200764)
Cpa6	peak_24 (-85772), peak_23 (+337019)
Cpe	peak_3376 (+26395), peak_3375 (+129820)
Cpeb2	peak_2734 (-226689), peak_2735 (-162147), peak_2736 (+122241), peak_2737 (+264850)
Cplx2	peak_969 (-39364)
Cpn1	peak_1842 (+5817)
Cpne4	peak_3605 (+278930)
Cpq	peak_1291 (+529817)
Cps1	peak_146 (+419851)
Cpvl	peak_3025 (-7727)
Cpxcr1	peak_3778 (-243818)
Cpz	peak_2723 (+36514)
Cradd	peak_493 (-28471), peak_492 (-7871)
Crb1	peak_274 (+253978)
Crbn	peak_3089 (-340210), peak_3088 (-303015)
Creb3l1	peak_1998 (-178287), peak_1997 (+29077)
Creb3l2	peak_3004 (-22633)
Creb5	peak_3024 (-105078)
Creg2	peak_90 (+53290)
Crim1	peak_1667 (-967833), peak_1668 (-371017), peak_1669 (-124554)
Cript	peak_1680 (+37691)
Crisp1	peak_1610 (-145134), peak_1609 (-52621)
Crisp3	peak_1608 (+24001)
Crisp4	peak_44 (+67670), peak_43 (+223025), peak_42 (+241955)
Crispld1	peak_40 (-41349), peak_41 (-21836), peak_42 (+176859), peak_43 (+195789), peak_44 (+351144)
Crocc2	peak_186 (+21688)
Crot	peak_2673 (-51689)
Crtac1	peak_1838 (+113772)
Crtc1	peak_3392 (+20567)
Cryaa	peak_1595 (+68942)
Cryba4	peak_2871 (+613167), peak_2870 (+786501)
Crygf	peak_142 (-508464), peak_143 (-399974), peak_144 (+53337), peak_145 (+351138)
Csf1	peak_2274 (-108039), peak_2273 (-52073)
Csgalnact1	peak_3390 (+235844), peak_3389 (+323792)
Csl	peak_503 (-131489), peak_502 (+19450), peak_501 (+91498), peak_500 (+159712), peak_499 (+163911)
Csmd1	peak_3298 (-897407), peak_3297 (-498759), peak_3296 (+36173), peak_3295 (+344918)
Csmd3	peak_1318 (-457036), peak_1317 (-323153), peak_1316 (-302297), peak_1315 (+394161)
Csnk1a1	peak_1753 (-10259)
Csnk1e	peak_1361 (-51794)
Csnk2a1	peak_2053 (-29341)
Csnka2ip	peak_1478 (-93591), peak_1477 (+28966), peak_1476 (+176686), peak_1475 (+475977), peak_1474 (+510483)
Csrnp3	peak_1962 (+26332)
Csrp2	peak_523 (-159253), peak_524 (+66871)
Cst10	peak_2050 (-220150)
Cst11	peak_2049 (+14132)
Cstf2t	peak_1827 (-477506), peak_1828 (-421924)
Cstl1	peak_2049 (+7007)
Ctag2	peak_3700 (+105839)
Ctdp1	peak_1781 (-97707)
Ctdspl	peak_3617 (+14259), peak_3618 (+34059)
Ctif	peak_1775 (+133952), peak_1774 (+186370)
Ctnna2	peak_3055 (-175979), peak_3054 (-47518)
Ctnna3	peak_443 (+205851), peak_444 (+284261)
Ctnnb1	peak_3623 (+326965)
Ctnnbl1	peak_2058 (+81621), peak_2059 (+158862)
Ctnnd2	peak_1285 (-76633)
Ctrc	peak_2641 (-20993)
Cts3	peak_982 (-15766)
Cts7	peak_981 (-105590), peak_980 (-64126), peak_979 (-38989)
Ctsc	peak_3224 (-277087)
Ctse	peak_264 (+41939)
Ctsm	peak_981 (+78053), peak_980 (+119517), peak_979 (+144654)
Ctso	peak_2235 (-673545), peak_2236 (-617669), peak_2237 (-564919), peak_2238 (-316300), peak_2239 (-220199), peak_2240 (-151521), peak_2241 (-96634)
Cttnbp2	peak_2966 (-266063)
Cul1	peak_3016 (-877145), peak_3017 (-21915)
Cul3	peak_170 (-43270)
Cutal	peak_1917 (+22257)
Cux2	peak_2893 (+67561), peak_2892 (+170063)
Cwc22	peak_1981 (-670458), peak_1980 (-51408)
Cwc27	peak_1064 (+156234)
Cwf19l2	peak_3469 (-24227)
Cxadr	peak_1509 (-486345), peak_1510 (-383211)
Cxcl1	peak_2826 (-72238)
Cxcl12	peak_3111 (-284961), peak_3112 (-242031), peak_3113 (-81490), peak_3114 (+523138), peak_3115 (+570656)
Cxcl13	peak_2838 (-29895), peak_2839 (+162896)
Cxcl15	peak_2826 (+24469)
Cxcl2	peak_2827 (+6039)
Cxcr4	peak_259 (-181034)
Cxcr5	peak_3530 (-25773), peak_3529 (-6471)
Cxxc4	peak_2302 (-656762), peak_2303 (-375837), peak_2304 (+212787), peak_2305 (+261719), peak_2306 (+578620)
Cyb561	peak_693 (+232581)
Cyb5a	peak_1786 (-121118)
Cyb5b	peak_3444 (+55172)
Cylc2	peak_2446 (-836467), peak_2447 (-688575), peak_2448 (-585675), peak_2449 (-516262), peak_2450 (-198100), peak_2451 (+82616), peak_2452 (+438348), peak_2453 (+614764), peak_2454 (+870337)
Cyld	peak_3423 (+116055)
Cyp11b2	peak_1355 (-6361)
Cyp26b1	peak_3064 (+537627)
Cyp2ab1	peak_1403 (-67175), peak_1402 (+6160)
Cyp2c29	peak_1834 (-129686)
Cyp2c39	peak_1835 (+13025)
Cyp2c66	peak_1834 (+43490)
Cyp2c67	peak_1835 (+125164)
Cyp2d10	peak_1366 (-10299)
Cyp2d9	peak_1366 (-34884)
Cyp3a16	peak_2923 (-11889)
Cyp3a41a	peak_2924 (-13580)
Cyp3a41b	peak_2923 (+103118)
Cyp3a44	peak_2924 (+72158)
Cyp4a12a	peak_2604 (-43553)
Cyp4a29	peak_2603 (-41191), peak_2604 (+13409)
Cyp4a31	peak_2605 (+20379)
Cyp4a32	peak_2605 (-16947)
Cyp4x1	peak_2603 (-66916)
Cyp7b1	peak_2119 (-772486), peak_2118 (-609692), peak_2117 (-479852)
Cypt1	peak_3636 (-726537), peak_3637 (-613839), peak_3638 (-119973), peak_3639 (-82446)
Cypt12	peak_2114 (-953675), peak_2115 (-762729), peak_2116 (-212954)
Cypt14	peak_3664 (-36601), peak_3663 (+57850), peak_3662 (+196221), peak_3661 (+268763)
Cypt15	peak_3659 (-506544), peak_3660 (-14167), peak_3661 (+248574), peak_3662 (+321116), peak_3663 (+459487)
Cypt2	peak_3759 (+236946)
Cysltr2	peak_1181 (+69783), peak_1180 (+100917), peak_1179 (+256114)
Cystm1	peak_1727 (+43761)
Cyth3	peak_2921 (-13056), peak_2922 (+66483)
Cyth4	peak_1359 (+14006)
Cyyr1	peak_1522 (+309516)
D16Ertd472e	peak_1511 (+27554)
D1Ertd622e	peak_195 (+149185), peak_194 (+238536)
D1Pas1	peak_346 (+95367)
D330045A20Rik	peak_3801 (-16521)
D3Ertd751e	peak_2158 (+27420), peak_2159 (+373782), peak_2160 (+582255)
D430019H16Rik	peak_856 (+14419)
D430042O09Rik	peak_3264 (+333254)
D630036H23Rik	peak_751 (-569805), peak_750 (-103143)
D730048I06Rik	peak_3514 (-27516)
Daam1	peak_813 (+158053)
Dab1	peak_2581 (-987815), peak_2582 (-277949)
Dab2	peak_1248 (-329825), peak_1249 (-110861)
Dab2ip	peak_1918 (-17718), peak_1919 (+21513)
Dach1	peak_1213 (-869520), peak_1212 (-68666)
Dach2	peak_3772 (-47760), peak_3773 (+311427)
Dact2	peak_1555 (+190019)
Dad1	peak_1160 (+117198)
Dao	peak_2876 (+48482)
Dap	peak_1286 (-23397)
Dapk1	peak_977 (-212069), peak_978 (-176082)
Dapk2	peak_3559 (+62321)
Dbr1	peak_3596 (+15008)
Dcaf12l2	peak_3671 (+707378)
Dcaf4	peak_827 (-14003)
Dcbld2	peak_1459 (-403136), peak_1460 (-168801)
Dcc	peak_1769 (-998723), peak_1768 (-225905), peak_1767 (-155420)
Dcdc2a	peak_921 (+186032)
Dcdc2c	peak_739 (+644653)
Dck	peak_2821 (+110370)
Dclk2	peak_2244 (+57484)
Dcn	peak_494 (-805583)
Dct	peak_1237 (+793964)
Dctd	peak_3343 (-86584)
Dcun1d4	peak_2790 (+22197)
Ddc	peak_567 (-68266), peak_566 (+41902)
Ddhd1	peak_1149 (-553685), peak_1148 (-451208), peak_1147 (-237682), peak_1146 (+99971)
Ddi1	peak_3475 (-794737)
Ddit4l	peak_2308 (-23378), peak_2309 (+35280), peak_2310 (+224488)
Ddost	peak_2636 (-15936)
Ddx10	peak_3545 (+255348), peak_3544 (+368813)
Ddx18	peak_253 (-518501), peak_252 (-170116)
Ddx43	peak_3572 (+31954)
Ddx58	peak_2433 (+34103)
Ddx6	peak_3529 (-36544), peak_3530 (-17242)
Defa17	peak_3301 (-15039)
Defa26	peak_3301 (+22558)
Defb14	peak_3300 (-13929)
Defb30	peak_1169 (+12397)
Defb38	peak_3299 (-18775)
Defb39	peak_3299 (+19469)
Defb41	peak_46 (-607383), peak_45 (-393793)
Defb43	peak_1169 (+13665)
Degs2	peak_858 (+128685)
Dek	peak_952 (+49815)
Dennd1b	peak_274 (+159390)
Dennd2d	peak_2270 (-71706)
Dennd4c	peak_2540 (-39911)
Dennd5b	peak_3150 (+82902)
Dennd6a	peak_1125 (-13452)
Depdc1a	peak_2334 (-507205)
Depdc1b	peak_1071 (+193331)
Dera	peak_3136 (+269848)
Desi2	peak_334 (-176371)
Dfna5	peak_3023 (-69291), peak_3022 (-65200)
Dgkb	peak_753 (-36027), peak_754 (+646846)
Dgkh	peak_1189 (+120763)
Dgkz	peak_1997 (-44998)
Dhcr24	peak_2587 (+46157)
Dhrs3	peak_2648 (-76162)
Dhrs7	peak_815 (-29038), peak_814 (+36542)
Dhx15	peak_2749 (+217150)
Dhx35	peak_2061 (+551440), peak_2062 (+861364), peak_2063 (+993985)
Dhx36	peak_2200 (-66595)
Diaph2	peak_3790 (-346670), peak_3791 (-320822), peak_3792 (-136328), peak_3793 (+454244)
Diaph3	peak_1202 (+200563)
Diexf	peak_352 (+60337)
Dio1	peak_2590 (+13068)
Dio2	peak_836 (-539621), peak_835 (-102819), peak_834 (+656220)
Dio3	peak_861 (-665850), peak_862 (-529156)
Dip2a	peak_471 (-29597)
Dip2c	peak_897 (-42383)
Dirc2	peak_1424 (+87360), peak_1423 (+118215), peak_1422 (+155441)
Disp1	peak_342 (+134212)
Dkk1	peak_1828 (-111252), peak_1827 (-55670)
Dkk2	peak_2300 (+327637)
Dlg2	peak_3228 (-367776), peak_3229 (+657192), peak_3230 (+981374)
Dlg3	peak_3756 (+97598)
Dlgap1	peak_1657 (-716102), peak_1658 (-522194), peak_1659 (-274745), peak_1660 (-100961)
Dlgap2	peak_3291 (+100477), peak_3292 (+632082)
Dlgap3	peak_2619 (+20853)
Dlk1	peak_860 (-221370)
Dll1	peak_1558 (+7463)
Dlx2	peak_1971 (-144456)
Dmbx1	peak_2606 (-46788)
Dmd	peak_3727 (-710267), peak_3728 (-293902), peak_3729 (+28304)
Dmp1	peak_2854 (+82311)
Dmrt1	peak_1821 (-197832)
Dmrt2	peak_1822 (+198040)
Dmrta1	peak_2548 (-69391), peak_2549 (+104666), peak_2550 (+188116), peak_2551 (+344175)
Dmrta2	peak_2594 (+125880), peak_2595 (+209250)
Dmrtb1	peak_2591 (+194507)
Dnah10	peak_2901 (+92381)
Dnah2	peak_655 (+19532), peak_654 (+56806)
Dnah5	peak_1284 (+55831)
Dnah7a	peak_123 (+93142)
Dnah7c	peak_107 (+24436)
Dnah9	peak_650 (-292249)
Dnajb5	peak_2438 (-11948)
Dnajb6	peak_2718 (-110078)
Dnajb9	peak_767 (-20789), peak_766 (+281112), peak_765 (+461458), peak_764 (+479595)
Dnajc1	peak_1892 (-164221), peak_1891 (-84194)
Dnajc13	peak_3604 (-37795)
Dnajc24	peak_2010 (+54762)
Dnajc5b	peak_2120 (-195139), peak_2121 (-174927), peak_2122 (-68268)
Dnase1	peak_1389 (-14216)
Dner	peak_180 (+244236), peak_179 (+316343)
Dnhd1	peak_3246 (+70211)
Dnm1l	peak_1400 (-40064)
Dnm3	peak_312 (-11752)
Dnmbp	peak_1842 (-40548), peak_1841 (+10225)
Dnmt1	peak_3498 (-14437)
Dnmt3a	peak_714 (-181403)
Doc2b	peak_664 (-48008)
Dock1	peak_3269 (+7833)
Dock10	peak_171 (-225525), peak_170 (+374698)
Dock11	peak_3654 (-66396)
Dock3	peak_3611 (+97274), peak_3610 (+141990), peak_3609 (+313184)
Dock8	peak_1820 (+188110)
Dok6	peak_1799 (-661268), peak_1798 (-642894), peak_1797 (-604416), peak_1796 (-501371), peak_1795 (-148213), peak_1794 (+399158)
Dopey2	peak_1537 (+42674)
Dpf3	peak_827 (-18747), peak_826 (+698135)
Dph6	peak_2019 (-507520)
Dpp10	peak_257 (-926788), peak_256 (-876528), peak_255 (+188379)
Dpp4	peak_1959 (+236332)
Dpp6	peak_2712 (-669456), peak_2713 (+246691)
Dpp8	peak_3558 (+61804)
Dpy19l1	peak_3505 (+174814), peak_3504 (+236621)
Dpyd	peak_2284 (-457123), peak_2285 (+151552)
Dr1	peak_2861 (+31531)
Drd1	peak_968 (+92341)
Dsc3	peak_1705 (+140001), peak_1704 (+447664)
Dscam	peak_1544 (+190464)
Dscaml1	peak_3532 (+368465), peak_3533 (+375245)
Dsel	peak_229 (-973640), peak_228 (-355874), peak_227 (+238773), peak_226 (+283609), peak_225 (+586333)
Dst	peak_86 (+509328)
Dthd1	peak_2770 (+783924)
Dtl	peak_349 (+164479)
Dtna	peak_1709 (+379836)
Dtnb	peak_714 (+53236)
Dtnbp1	peak_950 (+154832)
Duox1	peak_2026 (+21498)
Dusp10	peak_343 (+599914)
Dusp14	peak_669 (+19994)
Dusp26	peak_3316 (-988919)
Dusp27	peak_320 (+27159)
Dusp6	peak_499 (+332516), peak_500 (+336715), peak_501 (+404929), peak_502 (+476977)
Dut	peak_2029 (+165129)
Dync1h1	peak_863 (+7978)
Dync1i1	peak_2935 (-200264), peak_2936 (+443381), peak_2937 (+457900)
Dync2h1	peak_3475 (+119863)
Dynlt3	peak_3627 (+31029), peak_3626 (+66852)
Dyrk1a	peak_1539 (+212821)
Dyrk2	peak_536 (-335508)
Dysf	peak_3064 (+31622)
Dzank1	peak_2046 (+110644)
Dzip3	peak_1449 (+31277), peak_1448 (+115554)
E030025P04Rik	peak_699 (+202989)
E2f3	peak_928 (-137698)
E2f7	peak_520 (-520377), peak_521 (-380934), peak_522 (-117302), peak_523 (+15068)
E330014E10Rik	peak_2838 (+151066)
ENSMUSG00000109903	peak_2689 (-35047), peak_2690 (+111662), peak_2691 (+247831), peak_2692 (+310957)
ENSMUSG00000111448	peak_3520 (-28507)
ENSMUSG00000111590	peak_1992 (+21851)
Ear2	peak_1143 (-35044)
Eci2	peak_936 (-62658)
Ect2	peak_2139 (+295583), peak_2138 (+369390)
Eda	peak_3755 (+319525)
Eda2r	peak_3753 (-726539), peak_3752 (-599481), peak_3751 (-456709)
Edem1	peak_3095 (+125435), peak_3096 (+238534)
Edil3	peak_1037 (+335856)
Edn1	peak_947 (-171106)
Ednrb	peak_1221 (+141359)
Eef1e1	peak_940 (-276775), peak_939 (-231385)
Eepd1	peak_3507 (-61053), peak_3508 (+156816), peak_3509 (+276887)
Efcab1	peak_1397 (-91018), peak_1398 (+408604), peak_1399 (+535546)
Efcab2	peak_335 (+97761)
Efcab6	peak_1370 (+86504)
Efemp1	peak_607 (+177449)
Efhb	peak_1628 (+280089), peak_1627 (+346072), peak_1626 (+355359), peak_1625 (+430521)
Efhc2	peak_3640 (-194419)
Efhd1	peak_181 (+45202)
Efhd2	peak_2642 (-130267), peak_2641 (+7568)
Efna5	peak_1648 (-365924), peak_1647 (+488215), peak_1646 (+933280)
Efr3a	peak_1344 (-514623), peak_1345 (-381020)
Egf	peak_2298 (-33584)
Egfem1	peak_2141 (+11900), peak_2142 (+636750), peak_2143 (+790169)
Egflam	peak_1252 (+31573), peak_1251 (+118723)
Egfr	peak_577 (-236661)
Egln3	peak_786 (+57015)
Eif1a	peak_1740 (+95415)
Eif1ax	peak_3826 (+25885)
Eif2b2	peak_831 (-17720)
Eif3h	peak_1324 (+258113), peak_1323 (+828323)
Elavl2	peak_2558 (-524479), peak_2557 (-278488), peak_2556 (-264248), peak_2555 (+186480), peak_2554 (+397061), peak_2553 (+718360), peak_2552 (+816327)
Elavl4	peak_2596 (-35257), peak_2595 (+99586), peak_2594 (+182956)
Elfn2	peak_1359 (+107060)
Elk4	peak_265 (-29739)
Ell2	peak_1006 (-534876)
Elmo1	peak_915 (+445968)
Elmsan1	peak_829 (-64188), peak_828 (+31133)
Elovl2	peak_946 (+15802)
Emc2	peak_1306 (+115733)
Emcn	peak_2307 (+101165)
Eme1	peak_683 (-16253)
Eml4	peak_1676 (-119446), peak_1677 (-66027)
Eml6	peak_610 (-47683), peak_609 (+64647)
En1	peak_251 (+391916)
Enah	peak_338 (-45814)
Enkur	peak_1896 (-41440)
Eno1b	peak_1742 (-507695)
