# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
Gmpr	peak_304 (-13392), peak_305 (+9322)
Gna12	peak_900 (-42602)
Gng2	peak_339 (-55080)
Golga2	peak_618 (+29969)
Got2	peak_1085 (-27719)
Gpatch1	peak_996 (+83959)
Gpatch2l	peak_272 (+63752)
Gpatch8	peak_215 (-17404)
Gpcpd1	peak_650 (+62477)
Gpd2	peak_627 (-55177)
Gpi1	peak_995 (-11686)
Gpr139	peak_1030 (+161297)
Gpr151	peak_542 (-10226)
Gpr155	peak_634 (-50328)
Gpr157	peak_835 (+14641)
Gpr161	peak_54 (-13399)
Gpr35	peak_30 (-21754)
Gprc5a	peak_966 (+13361)
Gprc5b	peak_1030 (-38662)
Gprc5d	peak_966 (+39234)
Gpx5	peak_289 (+58341), peak_288 (+76564)
Gpx6	peak_290 (+13372)
Gramd2	peak_1137 (-15688)
Grap	peak_172 (+18084)
Grb7	peak_208 (+11662)
Grik4	peak_1125 (+423191)
Grin2c	peak_227 (+9013)
Grm2	peak_1171 (+9924)
Grm8	peak_917 (-80303)
Grp	peak_550 (+52340)
Gsta4	peak_1154 (-23843)
Gtf2a1l	peak_524 (-32831)
Gtf2h4	peak_495 (-8502)
Gtf2i	peak_893 (-27734)
Gtf2ird1	peak_894 (-32917), peak_893 (+114198)
Gtf3c5	peak_614 (-10217)
Guca2b	peak_791 (-75027)
Gucy1a2	peak_1113 (+623641)
Gucy2g	peak_608 (+33140)
Gxylt1	peak_416 (+159310)
H1foo	peak_952 (+17072)
H1fx	peak_939 (-12609)
H2-M10.1	peak_500 (+10782)
H2-M10.2	peak_500 (-28883)
H2-T3	peak_499 (-25723), peak_498 (-16203), peak_497 (+10929)
H2al1j	peak_1184 (+337629), peak_1185 (+478516)
H3f3a	peak_67 (+35896)
Haao	peak_519 (-220429)
Hap1	peak_209 (-7108)
Haus4	peak_353 (+27027)
Hck	peak_663 (-27214)
Hcn3	peak_716 (+10789)
Hdac7	peak_422 (-19260)
Hebp2	peak_78 (-45585), peak_77 (+19554), peak_76 (+115942)
Heg1	peak_452 (+31024)
Hepacam	peak_1121 (+18037)
Hes1	peak_447 (-226577)
Hexb	peak_328 (-26631)
Hey2	peak_84 (+32417)
Hfe2	peak_722 (-60695)
Hgsnat	peak_1057 (+66068)
Hif1an	peak_596 (+77439), peak_597 (+130295)
Hip1r	peak_886 (+24807)
Hipk2	peak_922 (+199019)
Hipk4	peak_984 (+5791)
Hist1h2bj	peak_292 (+7786)
Hist1h2br	peak_291 (+49569)
Hivep2	peak_74 (+16606)
Hivep3	peak_791 (-80514)
Hk1	peak_96 (+90026)
Hk3	peak_310 (+8521)
Hlcs	peak_472 (+10056)
Hmcn2	peak_617 (+146732)
Hmg20a	peak_1134 (+88162)
Hmga2	peak_129 (-231634), peak_128 (-76150)
Hmgb1	peak_911 (+37525), peak_910 (+46994), peak_909 (+68026)
Hnrnpa0	peak_314 (-20233)
Hnrnpa3	peak_636 (-69418)
Hnrnpf	peak_954 (-14919)
Hnrnpll	peak_515 (+43447)
Hnrnpul1	peak_983 (-27070)
Hook1	peak_779 (+14824)
Hopx	peak_862 (+54175)
Hoxa13	peak_927 (-13253)
Hoxb1	peak_205 (+82013)
Hoxb13	peak_204 (+66745)
Hoxb9	peak_204 (-10396)
Hoxc12	peak_430 (-9642)
Hoxc13	peak_429 (-10765), peak_430 (+6012)
Hoxc4	peak_432 (+25555), peak_433 (+51649), peak_434 (+113059)
Hoxc6	peak_431 (-9879)
Hoxc8	peak_431 (+9087)
Hpcal1	peak_244 (-133300)
Hpn	peak_994 (+7745)
Hps1	peak_591 (-15443)
Hpse2	peak_591 (+592892)
Hs2st1	peak_743 (+123228)
Hs3st2	peak_1033 (-146371)
Hs6st1	peak_9 (-37627)
Hsbp1l1	peak_562 (+10297)
Hsd3b7	peak_1039 (+10827)
Hsf5	peak_195 (+22175)
Hsp90b1	peak_108 (+19607)
Hspa8	peak_1123 (-69970)
Htatip2	peak_1008 (-97035)
Hunk	peak_469 (-87067)
Ick	peak_1154 (+54789)
Id2	peak_245 (+13147)
Id4	peak_306 (-33801)
Idnk	peak_314 (-8860)
Ido2	peak_1055 (+21833)
Ier2	peak_1078 (+103883)
Ifnar1	peak_471 (+29235)
Ifngr2	peak_471 (-32599)
Ifnl2	peak_986 (+19582)
Ift22	peak_898 (+11129)
Igf1r	peak_1011 (-149196)
Igfbp5	peak_19 (-70632)
Igfbp7	peak_864 (+50527)
Igsf9	peak_62 (+8193)
Ikzf2	peak_16 (+308370)
Ikzf3	peak_208 (+87304)
Il12a	peak_708 (-13982), peak_709 (+30942)
Il17d	peak_354 (+18782)
Il17rd	peak_342 (+76050)
Il24	peak_36 (+9235)
Impdh1	peak_919 (+17335)
Impg2	peak_464 (-58715)
Inhba	peak_285 (-252209)
Ino80d	peak_15 (+330443)
Inpp5f	peak_1040 (+60919)
Insr	peak_1048 (+58527)
Ipmk	peak_100 (+33942)
Ipo5	peak_378 (-107262), peak_379 (-78891)
Iqca	peak_27 (+28793)
Iqcf6	peak_1171 (+19574)
Iqgap1	peak_1015 (-27692)
Iqgap2	peak_327 (-138589)
Iqsec1	peak_941 (+73548)
Iqsec3	peak_957 (+60442)
Irf2	peak_1063 (-52633)
Irf2bp2	peak_1111 (+27961), peak_1110 (+96205)
Irf8	peak_1104 (+236210)
Irgm2	peak_168 (+40019)
Irs2	peak_1051 (-270980), peak_1050 (+62113)
Isg20	peak_1014 (+76934)
Islr2	peak_1136 (-33450)
Itga11	peak_1142 (-126913)
Itga6	peak_632 (-205560)
Itgb3	peak_219 (-23777)
Itgb8	peak_283 (-113831)
Itgbl1	peak_385 (+11526)
Itpr1	peak_948 (+352358), peak_949 (+357936)
Itpr3	peak_487 (+58012)
Itsn2	peak_240 (-50899)
Jade2	peak_165 (+50590)
Jak1	peak_782 (-27539)
Jakmip1	peak_848 (-9192)
Jakmip3	peak_1043 (-21041)
Jun	peak_778 (-109348)
Jup	peak_209 (+34513)
Kalrn	peak_453 (-59487)
Kap	peak_963 (+14939)
Kat6b	peak_340 (+186133)
Katnal1	peak_911 (-86868), peak_910 (-77399), peak_909 (-56367), peak_908 (+42364), peak_907 (+96992)
Kbtbd8	peak_942 (-343852), peak_943 (+98810)
Kcnc3	peak_1003 (+48923)
Kcne4	peak_22 (-92452)
Kcng1	peak_688 (-290329), peak_687 (+12059), peak_686 (+18602)
Kcng2	peak_564 (+41289), peak_563 (+68140)
Kcng3	peak_518 (+84313)
Kcnj1	peak_1120 (+15421)
Kcnj10	peak_61 (+28573)
Kcnj16	peak_225 (-519383)
Kcnj6	peak_473 (+284027)
Kcnk12	peak_520 (-28665)
Kcnk13	peak_273 (+8302)
Kcnk7	peak_571 (-8505)
Kcnn2	peak_543 (-122079)
Kcnq1	peak_1046 (+338076)
Kcnq4	peak_793 (+15674), peak_792 (+49475)
Kcnu1	peak_1057 (+61062)
Kdf1	peak_813 (+9569)
Kdm4b	peak_511 (+108234)
Kdm8	peak_1034 (-50889)
Kidins220	peak_245 (+109068)
Kif21b	peak_43 (-25946), peak_44 (+9463)
Kif2a	peak_333 (-623808), peak_332 (-51107)
Kif2c	peak_789 (-60027), peak_788 (-7499)
Kif3c	peak_238 (-7399)
Klf10	peak_395 (-83882)
Klf14	peak_921 (-307831)
Klf3	peak_852 (-546899), peak_853 (-504973), peak_854 (+23245)
Klhdc7a	peak_827 (+17561)
Klhl3	peak_313 (+34994)
Klhl30	peak_29 (-6869)
Klhl5	peak_855 (+44910)
Klrb1c	peak_962 (-12031)
Kmt5b	peak_566 (-48106), peak_567 (-22939)
Kpna2	peak_220 (-19622)
Kras	peak_970 (-90065)
Krr1	peak_121 (-190130)
Krtap11-1	peak_468 (-313960)
L3mbtl3	peak_83 (-321682)
Lacc1	peak_373 (+225609), peak_372 (+296337)
Lactbl1	peak_819 (+15497), peak_820 (+133641)
Lamc1	peak_48 (-13095)
Lamc2	peak_47 (+113130)
Lamp2	peak_1189 (-48975)
Laptm5	peak_808 (-83895)
Lat	peak_1035 (+77735)
Lbr	peak_68 (-39039)
Lbx1	peak_601 (-81418), peak_600 (-66373), peak_599 (-6908), peak_598 (+13210)
Lctl	peak_1146 (-66831), peak_1147 (-32151)
Ldb3	peak_347 (+18825), peak_346 (+46852)
Ldhal6b	peak_475 (+76517), peak_474 (+147860)
Lef1	peak_739 (-25568)
Lemd1	peak_37 (-15439)
Lep	peak_918 (-128358)
Lgi2	peak_849 (-52737)
Lgmn	peak_276 (+50131)
Lhx1	peak_191 (-255387), peak_190 (-117292)
Lhx2	peak_625 (+28394)
Lingo1	peak_1135 (-190211), peak_1134 (+128857)
Lingo3	peak_104 (+9195)
Lipg	peak_555 (+138158)
Litaf	peak_439 (+149291)
Lix1	peak_481 (-56698)
Lmntd1	peak_970 (+94621)
Lmo1	peak_1027 (-70809)
Lmo2	peak_640 (-151255)
Lmo4	peak_743 (-241733)
Lmod3	peak_945 (-59604)
Lmtk3	peak_1005 (+13368)
Lmx1a	peak_55 (-28467), peak_56 (+113478), peak_57 (+198817), peak_58 (+240394)
Lmx1b	peak_622 (-18741), peak_621 (+23478), peak_620 (+71350), peak_619 (+96373)
Lnx2	peak_902 (+34552)
Lonrf1	peak_1060 (+102297)
Loxhd1	peak_559 (+34330)
Lpo	peak_196 (+23775)
Lrat	peak_711 (-91194)
Lrfn1	peak_986 (+32215)
Lrfn2	peak_508 (-284839)
Lrfn3	peak_991 (-10933)
Lrif1	peak_730 (-49180)
Lrig1	peak_942 (-73751)
Lrig2	peak_727 (+70139)
Lrp10	peak_352 (-14880)
Lrp2	peak_631 (-49646)
Lrp3	peak_996 (-18983)
Lrp6	peak_965 (+127240)
Lrrc4	peak_918 (-100115)
Lrrc49	peak_1138 (+166454)
Lrrn3	peak_251 (-79715)
Lsamp	peak_457 (+657814), peak_458 (+773513)
Lsm5	peak_929 (+52412), peak_928 (+135725)
Lurap1l	peak_772 (-45851), peak_773 (+57054)
Lxn	peak_707 (+13949)
Ly75	peak_630 (+6641)
Ly86	peak_302 (+169238)
Lypd3	peak_981 (-17328)
Mab21l1	peak_706 (+194708)
Mab21l3	peak_726 (+123250)
Macc1	peak_283 (-39950)
Macrod1	peak_572 (+10084)
Mafb	peak_671 (-84770)
Mageb16	peak_1195 (-87275)
Magee1	peak_1204 (+31981)
Magi3	peak_727 (-221598)
Mak	peak_303 (-21247)
Malt1	peak_549 (+89460)
Manea	peak_757 (-372042)
Manf	peak_1172 (-301580)
Map2k6	peak_225 (+49528)
Map3k1	peak_336 (-344081), peak_335 (-169808), peak_334 (+83214)
Map3k11	peak_571 (+6731)
Map4k1	peak_988 (+36740), peak_989 (+103876)
Map7	peak_79 (+141547)
Mapk4	peak_554 (+134043)
Mapk8	peak_344 (+196189)
Mark4	peak_979 (+32526)
Marveld3	peak_1095 (+13962)
Mast1	peak_1079 (+7802)
Matn1	peak_809 (+156632), peak_810 (+875540)
Mc4r	peak_551 (+349960)
Mccc1	peak_701 (+26374)
Mcmbp	peak_1040 (+68216)
Mcph1	peak_1054 (-624951)
Mcrs1	peak_425 (-9262)
Mctp2	peak_1012 (+601228)
Mdga1	peak_492 (-43441)
Mdm1	peak_127 (-12711)
Mdm2	peak_126 (+27116), peak_125 (+47758)
Med13l	peak_879 (-282773), peak_880 (-180304), peak_881 (+537284)
Med14	peak_1187 (-154617), peak_1186 (-111758)
Med18	peak_812 (+31186)
Mef2b	peak_1070 (+13021)
Mef2d	peak_715 (+98489)
Mefv	peak_436 (+28209)
Meioc	peak_216 (-32510)
Meis1	peak_144 (-809834), peak_143 (-792946)
Meis2	peak_642 (-10424)
Melk	peak_760 (+124390), peak_761 (+172654), peak_762 (+264530)
Mep1a	peak_502 (-32153)
Metap2	peak_111 (+43078)
Mettl21c	peak_13 (-22307)
Mfap2	peak_828 (+15095)
Mfap3l	peak_1068 (-40895)
Mfap4	peak_171 (-7904)
Mfsd4b2	peak_85 (-2)
Mfsd4b3	peak_86 (+184)
Mgarp	peak_702 (+18641)
Mgmt	peak_1042 (-847108)
Micall2	peak_899 (+136500)
Micu1	peak_94 (+111131)
Mier3	peak_334 (+39601)
Mill2	peak_976 (+33592)
Mki67	peak_1042 (-331145)
Mkl2	peak_440 (+191588)
Mkln1	peak_921 (-131826)
Mlec	peak_876 (-9822)
Mllt3	peak_775 (+663476)
Mlph	peak_28 (+13273)
Mmgt2	peak_173 (+25740)
Mmp14	peak_352 (+17672)
Mobp	peak_1180 (+35236)
Mocs3	peak_686 (+31908), peak_687 (+38451)
Mon1b	peak_1098 (-781700)
Morc1	peak_460 (+319226)
Morc2a	peak_136 (-20135), peak_137 (+56126), peak_138 (+112545)
Morf4l1	peak_1158 (-10547)
Morn4	peak_590 (+26344)
Mpc1	peak_477 (-22770)
Mpdz	peak_774 (-366632), peak_773 (+475107)
Mpo	peak_196 (+8757)
Mrln	peak_99 (-15543)
Mrm1	peak_191 (+38593), peak_190 (+176688)
Mro	peak_554 (+71499)
Mroh3	peak_44 (+71976)
Mrpl14	peak_505 (+37934)
Mrpl15	peak_1 (+213801)
Mrpl48	peak_1021 (+27233)
Mrps24	peak_140 (-9201)
Mrps33	peak_923 (+29499)
Ms4a8a	peak_577 (-40141)
Msantd2	peak_1122 (-31441)
Msh6	peak_521 (-40685)
Msi1	peak_878 (+19556)
Msi2	peak_199 (-85132), peak_198 (+21692)
Msrb3	peak_129 (+190998), peak_128 (+346482)
Mtch1	peak_490 (+20577)
Mtdh	peak_390 (-45605)
Mtfr2	peak_80 (+52923)
Mthfd2	peak_932 (+49560)
Mthfr	peak_831 (+33712)
Mtif3	peak_902 (-78249)
Mtss1	peak_401 (-198584)
Mtus2	peak_905 (-6352)
Mtx2	peak_636 (+764040)
Muc13	peak_452 (-78468)
Mum1	peak_103 (-36438)
Musk	peak_769 (-25445)
Mvb12b	peak_623 (-78773), peak_622 (+228694)
Mycn	peak_243 (+131092), peak_242 (+617666)
Myh14	peak_1003 (+31256)
Myl10	peak_897 (+21355)
Myl2	peak_883 (+10682)
Myl3	peak_1175 (+18241)
Myl4	peak_219 (+7238)
Myl9	peak_666 (-126615)
Mylip	peak_304 (+104310)
Mylk	peak_455 (-39514)
Mymx	peak_504 (-40411)
Myo10	peak_387 (+71497), peak_388 (+92159)
Myo15b	peak_228 (+26197)
Myo16	peak_1050 (+792377)
Myo18b	peak_872 (+47770)
Myo1d	peak_186 (+177046)
Myo1f	peak_494 (+30516)
Myod1	peak_1006 (-27454)
Myof	peak_588 (+9926)
Myom2	peak_1053 (+565390)
Myom3	peak_818 (+9407)
Myoz3	peak_546 (+10878)
Myrip	peak_1180 (-118993)
Myt1l	peak_246 (-237497)
N4bp1	peak_1081 (-152538)
Naa20	peak_654 (-18309)
Naaladl2	peak_700 (-360547)
Nans	peak_765 (+17853)
Nap1l1	peak_120 (-144451)
Nap1l2	peak_1203 (+57092)
Napepld	peak_842 (+25799)
Nav1	peak_42 (-90679)
Nav2	peak_1007 (+153708)
Nbea	peak_706 (+206483)
Ncl	peak_24 (-21713)
Ncoa1	peak_240 (-64927)
Ncoa2	peak_7 (-52961)
Ncoa6	peak_665 (-32100)
Ncoa7	peak_84 (-38443)
Ndel1	peak_178 (-29176)
Ndrg1	peak_402 (-70647)
Ndst3	peak_735 (-1)
Ndufb3	peak_14 (+66346)
Nek6	peak_625 (-132490)
Nek9	peak_271 (+42779)
Neurl1a	peak_603 (+61583), peak_604 (+74571)
Neurl3	peak_10 (+17922)
Neurog2	peak_737 (+7647), peak_738 (+62345)
Nfam1	peak_408 (+46470)
Nfatc2	peak_688 (+18799)
Nfib	peak_774 (+695869)
Nfrkb	peak_1119 (+63741)
Nfyb	peak_106 (-31597)
Ngfr	peak_203 (-57349)
Nhsl1	peak_76 (+22459), peak_77 (+118847)
Nhsl2	peak_1202 (+104451)
Ninl	peak_657 (+75612)
Nkain3	peak_756 (-48481)
Nkd1	peak_1082 (+106126)
Nkx1-1	peak_847 (-9327)
Nkx2-9	peak_256 (-68123)
Nlrp6	peak_1045 (-13038)
Nmbr	peak_75 (+163283)
Nmnat2	peak_47 (+118319)
Nmur1	peak_24 (+8231)
Nog	peak_201 (+114756)
Nol11	peak_221 (-193275)
Nol4l	peak_664 (-63187)
Noto	peak_936 (-14410)
Npas4	peak_569 (-12131)
Npc1	peak_528 (-32284)
Nphp4	peak_837 (+147444)
Npl	peak_50 (-92273), peak_49 (+17878)
Npm1	peak_155 (-17812)
Nr2e1	peak_88 (-7725)
Nr2f1	peak_325 (-159049), peak_324 (+35832), peak_323 (+125260)
Nr4a2	peak_627 (-67463), peak_626 (+348928)
Nrd1	peak_785 (+155669)
Nrde2	peak_274 (-32245)
Nrg2	peak_535 (+128308)
Nrp2	peak_15 (+80122)
Nrros	peak_450 (+40674)
Nrsn2	peak_658 (+7783)
Nsun7	peak_856 (-69970), peak_857 (+216177)
Ntan1	peak_441 (+48960)
Ntrk1	peak_714 (+16609)
Nucb2	peak_1029 (+288240)
Nudc	peak_813 (+17435)
Nudt10	peak_1182 (+80757)
Nudt17	peak_723 (-10956)
Nudt4	peak_114 (-53036), peak_113 (-41249)
Nufip1	peak_367 (+54225)
Nxn	peak_183 (+33567)
Nxnl2	peak_307 (+230058)
Nxph2	peak_613 (-86577)
Nyap2	peak_23 (+366989)
Oaz1	peak_104 (+8158)
Ociad2	peak_859 (-21389)
Odc1	peak_244 (+12762)
Odf3l1	peak_1135 (+26124)
Ola1	peak_633 (+176397)
Olfm2	peak_1116 (+33692)
Olfm3	peak_731 (+561191)
Olfml2b	peak_59 (+127500)
Olfr1320	peak_1190 (-178421)
Olfr1356	peak_102 (+64374)
Olfr1367	peak_290 (-21413)
Olfr1371	peak_166 (-10200)
Olfr1394	peak_163 (+15259)
Olfr1423	peak_578 (+33227)
Olfr1505	peak_580 (+354470)
Olfr1513	peak_351 (+16901)
Olfr161	peak_436 (+98873)
Olfr24	peak_1114 (-15658)
Olfr288	peak_423 (+14523)
Olfr291	peak_1016 (-73927)
Olfr31	peak_338 (-14080)
Olfr464	peak_197 (-46256)
Olfr545	peak_1022 (-13326)
Olfr547	peak_1022 (-21850)
Olfr720	peak_338 (-121978)
Olfr828	peak_1114 (+39872)
Olig2	peak_470 (-13992)
Onecut2	peak_548 (+88166)
Opa1	peak_447 (+259383)
Oprd1	peak_811 (+10315)
Osbp	peak_578 (+42246)
Osbp2	peak_138 (+101864), peak_137 (+158283)
Osbpl10	peak_1178 (+149549)
Osbpl7	peak_206 (+14955)
Osbpl9	peak_785 (+45795)
Ostm1	peak_88 (-87559)
Otoa	peak_1033 (+162597)
Otog	peak_1006 (+108033)
Otub1	peak_574 (+39041), peak_573 (+47600)
Otud1	peak_612 (+252091)
Otud3	peak_826 (-8315)
Otud4	peak_1075 (+40898)
Oxr1	peak_397 (-468273)
P2rx4	peak_884 (+17675)
Pabpc1	peak_393 (-60996), peak_392 (-42152)
Pabpc6	peak_479 (+502171)
Pag1	peak_698 (-140681), peak_697 (+203634)
Paip2b	peak_933 (-35848)
Pak1	peak_1017 (-85103)
Pak4	peak_987 (-18674)
Papd7	peak_321 (+44995)
Papola	peak_278 (+92527), peak_279 (+178299)
Papss1	peak_740 (-200199)
Paqr3	peak_868 (+23845)
Pard6b	peak_685 (+26148)
Parn	peak_440 (+220101)
Pax2	peak_596 (-115756), peak_597 (-62900)
Pax5	peak_762 (+145081), peak_761 (+236957), peak_760 (+285221)
Pax6	peak_641 (-60043)
Pax7	peak_827 (-116937)
Pax9	peak_256 (-10360)
Pbk	peak_359 (-74793)
Pbx1	peak_58 (+501946), peak_57 (+543523), peak_56 (+628862)
Pbx3	peak_623 (+405325)
Pcdh1	peak_540 (-30495), peak_539 (+184149)
Pcdha1	peak_536 (-128112)
Pcdhac2	peak_537 (+74738)
Pcdhb1	peak_537 (-46697)
Pcdhb22	peak_538 (+25797)
Pced1b	peak_421 (-73696)
Pck1	peak_693 (+18969)
Pcmtd1	peak_4 (+117316), peak_5 (+183178)
Pdcd1lg2	peak_584 (+90409)
Pde1a	peak_637 (+281376)
Pde1c	peak_929 (-289888), peak_928 (-206575)
Pde4dip	peak_725 (+20759), peak_724 (+207272)
Pde6a	peak_547 (+38454)
Pde6h	peak_967 (+201158)
Pde7b	peak_80 (+147635)
Pdia4	peak_924 (+34114)
Pdp2	peak_1088 (-20533)
Pdxdc1	peak_441 (+34916)
Pdzrn4	peak_416 (+718926)
Pear1	peak_714 (-9610)
Pet117	peak_653 (+90288)
Pex14	peak_834 (+241743)
Pgk1	peak_1205 (-15157)
Pglyrp1	peak_976 (-11122), peak_977 (+8423)
Pgm2	peak_781 (+113278)
Phactr4	peak_812 (-10246)
Phb	peak_203 (-21873)
Phkb	peak_1080 (+13636)
Phkg1	peak_890 (+12716)
Phlda1	peak_121 (+276248)
Phldb3	peak_981 (+8459)
Phlpp2	peak_1095 (+79603)
Phyhip	peak_363 (+9015)
Pi16	peak_490 (+8445)
Pias1	peak_1144 (-143199), peak_1143 (-128550)
Pigb	peak_1152 (+13651)
Pigk	peak_748 (+49523)
Pigm	peak_61 (-6763)
Pigt	peak_675 (+10190), peak_676 (+24879)
Pim1	peak_491 (-74560)
Pim3	peak_412 (+13733)
Pimreg	peak_179 (+8830)
Pin1	peak_1116 (+42442)
Pinx1	peak_357 (-65183)
Pip4k2a	peak_611 (+230697)
Pitpnc1	peak_221 (+88043)
Pitpnm3	peak_179 (+84493)
Pja1	peak_1199 (-235354), peak_1198 (+254343)
Pkdcc	peak_516 (+61216), peak_517 (+107577)
Pklr	peak_716 (+13265)
Pkm	peak_1137 (+35708)
Pkp2	peak_442 (-15110)
Pkp4	peak_628 (+187038)
Pla2g1b	peak_878 (-17111)
Pla2g2c	peak_825 (-46923)
Plb1	peak_846 (+70726)
Pld3	peak_984 (+24160)
Plekha6	peak_38 (-81898), peak_39 (-63660)
Plekhd1	peak_269 (+38359)
Plekhf1	peak_998 (+26586)
Plekhm2	peak_829 (-8570)
Plekho1	peak_719 (+10000)
Pllp	peak_1084 (-7741)
Pln	peak_91 (-633179)
Plpp3	peak_783 (+436588)
Pls1	peak_1159 (+39675)
Pls3	peak_1194 (-139644)
Plxnd1	peak_952 (+32995)
Pmaip1	peak_551 (+51908)
Pmepa1	peak_694 (-64775)
Pmfbp1	peak_1093 (-418621), peak_1094 (+42250)
Pml	peak_1136 (+14621)
Pofut2	peak_101 (-81403)
Poll	peak_602 (+18201)
Polr2b	peak_864 (+47366)
Polr3c	peak_723 (+7946)
Pomc	peak_239 (+28031)
Pomp	peak_903 (-109197), peak_904 (-34882)
Pon1	peak_915 (+83850)
Pop5	peak_877 (-20021)
Postn	peak_705 (+272655)
Pou4f3	peak_541 (+73024)
Pou5f2	peak_323 (+49595), peak_324 (+139023)
Ppara	peak_410 (-82205)
Ppargc1b	peak_547 (+141495)
Ppif	peak_341 (+61064)
Ppp1cb	peak_846 (-155403)
Ppp1r15b	peak_38 (+33065), peak_39 (+51303)
Ppp1r1c	peak_637 (+139783)
Ppp1r21	peak_523 (-22002)
Ppp1r3c	peak_586 (-80550)
Ppp1r9a	peak_915 (+206776)
Ppp2r2a	peak_361 (-115630)
Ppp2r2b	peak_542 (+469593)
Ppp2r3c	peak_255 (-18817)
Ppp2r5c	peak_282 (-165666)
Pqlc1	peak_563 (+39807), peak_564 (+66658)
Prag1	peak_1060 (+52391)
Prdm1	peak_90 (-70208), peak_89 (+77549)
Prdm13	peak_756 (+858915)
Prdm6	peak_545 (+183525)
Prdx6	peak_51 (+55283)
Prelid3a	peak_552 (+7938)
Prep	peak_90 (-538308)
Prex1	peak_683 (-33784), peak_682 (+138358)
Prkab2	peak_724 (+23223), peak_725 (+209736)
Prlh	peak_28 (-24750)
Prmt5	peak_353 (-9809)
Prodh2	peak_992 (+32935)
Prok2	peak_946 (-430027)
Prokr2	peak_650 (-130371)
Proser3	peak_993 (+11321)
Prox1	peak_70 (-520344)
Prpf4b	peak_301 (-128399)
Prph2	peak_507 (-6331)
Prps1l3	peak_257 (-19511)
Prr18	peak_478 (+48799)
Prr22	peak_512 (+48177)
Prrt4	peak_919 (-19445)
Prrx2	peak_616 (+19361)
Prss22	peak_486 (-17878)
Prss42	peak_1175 (-16279)
Psd2	peak_533 (-91556), peak_534 (-26553), peak_535 (+104242)
Psd3	peak_1069 (-88250)
Psen2	peak_66 (+26726)
Psma6	peak_255 (-76960)
Psmb2	peak_799 (-57077), peak_800 (-50516)
Psmc1	peak_273 (-137327)
Psmc2	peak_843 (+25185)
Ptges	peak_616 (+38877)
Ptgfr	peak_746 (-263075)
Ptpn1	peak_684 (+56545)
Ptprs	peak_511 (+42175)
Ptprt	peak_673 (-247495)
Ptpru	peak_810 (+18306), peak_809 (+737214)
Pvr	peak_980 (+9131)
Pwp1	peak_107 (-41775)
Pwwp2a	peak_157 (-55465)
Pxdn	peak_247 (+165019)
Pxylp1	peak_1163 (+75441), peak_1162 (+130466)
Qprt	peak_1036 (+9628)
R3hdml	peak_674 (-10519)
Rab10	peak_238 (-47822), peak_237 (+48283)
Rab11fip1	peak_1058 (+14164)
Rab11fip4	peak_185 (+200126)
Rab11fip5	peak_936 (-34842)
Rab6b	peak_1166 (-19691)
Rab7	peak_939 (+51024)
Rabl2	peak_414 (-173935), peak_413 (-29717)
Rack1	peak_160 (-811342), peak_161 (-20667), peak_162 (-10526)
Rad23b	peak_768 (-55697)
Raf1	peak_951 (-40408)
Rai14	peak_386 (+24888)
Rap1b	peak_127 (-283113)
Rap1gap	peak_824 (+48516)
Rap1gds1	peak_742 (+198572)
Rap2a	peak_378 (+325471), peak_379 (+353842)
Rapgef2	peak_710 (+79250)
Rasa2	peak_1161 (-39028)
Rasgef1a	peak_955 (-68865)
Rasl11b	peak_860 (-68970)
Rassf3	peak_132 (-40137), peak_131 (-30651)
Rax	peak_550 (+13929)
Rbbp7	peak_1207 (-24313)
Rbfa	peak_561 (+30955)
Rbm12b1	peak_754 (-14940)
Rbm12b2	peak_754 (+35936)
Rbm22	peak_546 (+20174)
Rbm47	peak_856 (-17224)
Rbm4b	peak_568 (-17408)
Rbx1	peak_406 (+14630)
Rcc1l	peak_892 (+57417)
Rcl1	peak_583 (-34272)
Rcn1	peak_641 (-216766)
Rd3	peak_71 (+12162)
Rdm1	peak_213 (+18270)
Reps2	peak_1207 (-92488)
Rerg	peak_967 (+14051)
Rest	peak_863 (-26008)
Retreg1	peak_387 (-149242), peak_388 (-128580)
Rfx2	peak_512 (+12555)
Rgag4	peak_1202 (+117360)
Rgl1	peak_46 (-105178)
Rgl3	peak_1117 (+8271)
Rgma	peak_1013 (+34524)
Rgs14	peak_311 (+9535)
Rgs17	peak_72 (-427195)
Rgs8	peak_50 (-10707)
Rgs9	peak_223 (+8298), peak_222 (+53249)
Rhbg	peak_715 (+13648)
Rhd	peak_815 (+14902)
Rheb	peak_844 (+63562)
Rhof	peak_885 (+12487)
Rhou	peak_1107 (-10203)
Rhox13	peak_1188 (+59329)
Ric1	peak_584 (-20954)
Rin2	peak_654 (+98816)
Rin3	peak_276 (+106634)
Ripor3	peak_684 (+21746)
Rlf	peak_794 (-16265)
Rmi2	peak_439 (+8771)
Rnf112	peak_171 (-23552)
Rnf152	peak_31 (+362625)
Rnf165	peak_559 (+248848)
Rnf186	peak_826 (-44852)
Rnf220	peak_790 (+184119)
Rnf222	peak_178 (-6242)
Rnf24	peak_649 (-70244)
Rnf43	peak_195 (-23748)
Rnf7	peak_1160 (+41483)
Rnls	peak_585 (-14)
Robo1	peak_465 (-739754), peak_466 (-634766)
Robo3	peak_1122 (-24634)
Robo4	peak_1121 (-16509)
