# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (-181260), Rp1 (+507556)
peak_597	Flrt2 (+818436)
peak_598	NONE
peak_599	Galc (+875645)
peak_600	Galc (+581106)
peak_601	Galc (+439865)
peak_602	Ttc8 (+8967), Foxn3 (+464218)
peak_603	Lgmn (+26596), Rin3 (+130169)
peak_604	Serpina3c (-47960), Serpina3f (-12714)
peak_605	Evl (+18906), Degs2 (+128685)
peak_606	Wdr25 (+78412), Begain (+95488)
peak_607	Dlk1 (-221370), Begain (-163262)
peak_608	Dync1h1 (+7978), 1700001K19Rik (+73189)
peak_609	Ankrd9 (-49753), Rcor1 (-11005)
peak_610	Rd3l (-79653), Aspg (-45709)
peak_611	Zfp386 (-58046)
peak_612	Rapgef5 (-968702), Ptprn2 (+61944)
peak_613	Rapgef5 (-952869), Ptprn2 (+77777)
peak_614	Sp8 (-457836), Sp4 (-87125)
peak_615	Abcb5 (-45479), Itgb8 (+226902)
peak_616	Itgb8 (-107720), Macc1 (-46061)
peak_617	Tmem196 (-425748), Macc1 (+128079)
peak_618	Akr1c14 (+27071), Akr1c18 (+74572)
peak_619	Akr1e1 (-204875)
peak_620	Klf6 (-918602), Akr1e1 (-333706)
peak_621	Klf6 (-797330), Akr1e1 (-454978)
peak_622	Klf6 (-762843), Akr1e1 (-489465)
peak_623	Pitrm1 (-112273), Klf6 (+574396)
peak_624	Pfkp (-54383)
peak_625	Pfkp (-86943)
peak_626	Pfkp (-129704)
peak_627	Pfkp (-482258)
peak_628	Zmynd11 (-537642), Chrm3 (+58714)
peak_629	Gng4 (-62187), Lyst (+131745)
peak_630	Hecw1 (-41877), Mrpl32 (+48062)
peak_631	Gli3 (-436785), AW209491 (+396947)
peak_632	Gli3 (-211963), AW209491 (+621769)
peak_633	Inhba (+379870)
peak_634	Inhba (+488230)
peak_635	Sugct (+754957), Inhba (+927931)
peak_636	Sugct (+335991)
peak_637	Pou6f2 (-306073), Vps41 (-29176)
peak_638	Amph (+117007), Stard3nl (+330376)
peak_639	Aoah (-257526), Elmo1 (+445968)
peak_640	Aoah (+66243), Olfr1370 (+214591)
peak_641	Zfp322a (+24179), Vmn1r223 (+95791)
peak_642	Scgn (-36887), Carmil1 (+252694)
peak_643	Nrsn1 (+27797), Dcdc2a (+186032)
peak_644	Nrsn1 (-976004), Hdgfl1 (+524079)
peak_645	Prl (-233765), Hdgfl1 (-53640)
peak_646	Prl (-219687), Hdgfl1 (-67718)
peak_647	Prl2c1 (-18912), Prl2a1 (+28836)
peak_648	Prl4a1 (-32557), Prl2c1 (+134253)
peak_649	Foxq1 (-172796), Gm5447 (+409134)
peak_650	Serpinb6d (+22000), Serpinb6e (+160003)
peak_651	Slc22a23 (-125710), Pxdc1 (+182594)
peak_652	Slc22a23 (-175987), Pxdc1 (+132317)
peak_653	Cdyl (-603031), Eci2 (-62658)
peak_654	Lyrm4 (-546099), Nrn1 (+70852)
peak_655	F13a1 (-213962), Ly86 (-81958)
peak_656	Eef1e1 (-231385), Slc35b3 (+70432)
peak_657	Slc35b3 (-583988), Ofcc1 (+743148)
peak_658	Ofcc1 (-299478), Tfap2a (+146334)
peak_659	Ofcc1 (-338411), Tfap2a (+107401)
peak_660	Mak (+11986), Tmem14c (+42191)
peak_661	Edn1 (-171106), Hivep1 (+78349)
peak_662	Jarid2 (-321504), Cd83 (+624992)
peak_663	Jarid2 (+116044), Dtnbp1 (+154832)
peak_664	Fam8a1 (-93506), Cap2 (+74168)
peak_665	Id4 (-521181), Rnf144b (+617391)
peak_666	Id4 (+35811), Zfp169 (+216355)
peak_667	Phf2 (+88086), Barx1 (+120035)
peak_668	Gm906 (+228774), Iars (+339434)
peak_669	Gm906 (+166292), Iars (+401916)
peak_670	Gm906 (+131013), Iars (+437195)
peak_671	Gm15440 (-70882), Sema4d (+21824)
peak_672	Auh (+53502), Syk (+292986)
peak_673	Msx2 (-490243), Drd1 (+92341)
peak_674	Trpc7 (-88157), Spock1 (+924381)
peak_675	Trpc7 (-312449), Spock1 (+700089)
peak_676	Gas1 (-212947), Dapk1 (-212069)
peak_677	Gas1 (-248934), Dapk1 (-176082)
peak_678	Cts7 (-38989), Ctsm (+144654)
peak_679	Cts7 (-64126), Ctsm (+119517)
peak_680	Cts7 (-105590), Ctsm (+78053)
peak_681	Zfp808 (-544023), Cts3 (-15766)
peak_682	Fancc (-5742), Ptch1 (+128268)
peak_683	Fam240b (-151465), Cntnap3 (+254698)
peak_684	Spata31d1c (-59617), Spata31 (+56035)
peak_685	Spata31d1c (-35512), Spata31 (+80140)
peak_686	2410141K09Rik (-394161), Gm10767 (-69675)
peak_687	Adcy2 (+99627), 1700001L19Rik (+302493)
peak_688	Adcy2 (-159593), Papd7 (+374730)
peak_689	Adcy2 (-171241), Papd7 (+363082)
peak_690	Ice1 (+242017), Med10 (+585776)
peak_691	8030423J24Rik (+467475), Irx1 (+613300)
peak_692	Irx1 (+535325), 8030423J24Rik (+545450)
peak_693	Irx1 (+472135), 8030423J24Rik (+608640)
peak_694	Irx1 (+83983), 8030423J24Rik (+996792)
peak_695	Irx1 (-428851), Irx2 (-236246)
peak_696	Pcsk1 (-253642), Cast (-28245)
peak_697	Ell2 (-534876), Pcsk1 (+82055)
peak_698	Mctp1 (-233665), Fam81b (-40937)
peak_699	Fam172a (-335661), 2210408I21Rik (+237489)
peak_700	Fam172a (-279982), 2210408I21Rik (+293168)
peak_701	Fam172a (-170719), 2210408I21Rik (+402431)
peak_702	Fam172a (-139217), 2210408I21Rik (+433933)
peak_703	Pou5f2 (-225620), Fam172a (+90592)
peak_704	Nr2f1 (+60352), Pou5f2 (+114503)
peak_705	Nr2f1 (-746134)
peak_706	Nr2f1 (-766079)
peak_707	Arrdc3 (-859605)
peak_708	Arrdc3 (-319036)
peak_709	Arrdc3 (-200083)
peak_710	Adgrv1 (+180334), Arrdc3 (+569410)
peak_711	Adgrv1 (+47082), Arrdc3 (+702662)
peak_712	Cetn3 (+552421)
peak_713	Mef2c (-995489), Cetn3 (+745969)
peak_714	Mef2c (-830077), Cetn3 (+911381)
peak_715	Mef2c (-703990)
peak_716	Mef2c (-337469)
peak_717	Ccnh (-748202), Tmem161b (+218906)
peak_718	Ccnh (-354546), Tmem161b (+612562)
peak_719	Rasa1 (-557111), Cox7c (+200764)
peak_720	Rasa1 (-646629), Cox7c (+111246)
peak_721	Cox7c (-241508)
peak_722	Cox7c (-543707)
peak_723	NONE
peak_724	Hapln1 (-382429), Edil3 (+335856)
peak_725	Vcan (-300124), Tmem167 (-46490)
peak_726	Xrcc4 (-503308), Atp6ap1l (+312439)
peak_727	Xrcc4 (-574203), Atp6ap1l (+241544)
peak_728	Atg10 (+57742), Rps23 (+243268)
peak_729	Acot12 (-12883), Ssbp2 (+267579)
peak_730	Zcchc9 (-7317), Ckmt2 (+61863)
peak_731	Naip6 (-62534), Naip1 (+66303)
peak_732	Slc30a5 (-94728), Pik3r1 (+840062)
peak_733	Slc30a5 (-216072), Pik3r1 (+718718)
peak_734	Pik3r1 (-653240), Cd180 (-272101)
peak_735	Pik3r1 (-723900), Cd180 (-201441)
peak_736	Mast4 (-66561), Srek1 (+363561)
peak_737	Mast4 (-238358), Srek1 (+191764)
peak_738	Mast4 (-247936), Srek1 (+182186)
peak_739	Erbin (-75635), Nln (+113684)
peak_740	Cwc27 (+156234), Adamts6 (+366229)
peak_741	Htr1a (+349712)
peak_742	Ipo11 (+645699), Htr1a (+847620)
peak_743	Ipo11 (+304013)
peak_744	Ipo11 (+286680)
peak_745	Smim15 (-612244), Kif2a (-410131)
peak_746	Pde4d (-144514), Depdc1b (+193331)
peak_747	Pde4d (+142158)
peak_748	Pde4d (+755738), Rab3c (+870235)
peak_749	Rab3c (+511619)
peak_750	Actbl2 (-180250), Plk2 (+679717)
peak_751	Itga1 (-489536), Isl1 (+718189)
peak_752	Mrps30 (+63693), Hcn1 (+721079)
peak_753	Fgf10 (-192261), Mrps30 (-135186)
peak_754	Fgf10 (+282171), Nnt (+412127)
peak_755	Nnt (+286171), Fgf10 (+408127)
peak_756	Gm21188 (-238057), Tcstv3 (-26691)
peak_757	4930452B06Rik (-75935)
peak_758	NONE
peak_759	Fhit (+553555)
peak_760	Sntn (-30858), Synpr (+355238)
peak_761	Sntn (+22768), Gm281 (+220834)
peak_762	Slc4a7 (-273912), Olfr721-ps1 (+21143)
peak_763	Slc4a7 (-81955), Olfr721-ps1 (+213100)
peak_764	Ngly1 (-739271), Lrrc3b (-71022)
peak_765	Ngly1 (-711829), Lrrc3b (-98464)
peak_766	Lrrc3b (-618583), Ngly1 (-191710)
peak_767	Lrrc3b (-671558), Ngly1 (-138735)
peak_768	Rarb (-149058)
peak_769	Rarb (-228079)
peak_770	Rarb (-398568)
peak_771	Thrb (-975315), Rarb (-430671)
peak_772	Thrb (-955904), Rarb (-450082)
peak_773	Ube2e1 (-190006), Ube2e2 (+371911)
peak_774	Ube2e2 (-410271), Gm21738 (+114883)
peak_775	Kcnk5 (-75876), Kcnk16 (+11514)
peak_776	Lrmda (+816445)
peak_777	Kcnma1 (+882488)
peak_778	Kcnma1 (+594204)
peak_779	Arhgef3 (-36869), Il17rd (+162229)
peak_780	Lrtm1 (-397250), Wnt5a (+116208)
peak_781	4930596D02Rik (+408023), Grid1 (+584130)
peak_782	4930596D02Rik (+379657), Grid1 (+612496)
peak_783	4930596D02Rik (-206478), 4930474N05Rik (-76461)
peak_784	Ccser2 (+423253), 4930474N05Rik (+450517)
peak_785	Ccser2 (+372246), 4930474N05Rik (+501524)
peak_786	Ghitm (-62713)
peak_787	Ghitm (-258661)
peak_788	Nrg3 (+930135)
peak_789	Nrg3 (-624089), Sh2d4b (+796089)
peak_790	Nrg3 (-710676), Sh2d4b (+709502)
peak_791	Sh2d4b (+229360)
peak_792	Gm10375 (-61260), Gm8165 (+7926)
peak_793	Ang6 (-61192), Ear2 (-35044)
peak_794	Gm8247 (+19646), Gm8257 (+54558)
peak_795	Gm15217 (-483687), Ddhd1 (-237682)
peak_796	Ddhd1 (-451208), Gm15217 (-270161)
peak_797	Ddhd1 (-553685), Gm15217 (-167684)
peak_798	Bmp4 (-354843), Cdkn3 (-15029)
peak_799	3632451O06Rik (-101575), Olfr722 (+16983)
peak_800	Olfr724 (-45553), Olfr725 (+31548)
peak_801	Olfr731 (-7574), Olfr732 (+34766)
peak_802	Gm5622 (-36510), Vmn2r89 (+64318)
peak_803	Olfr1507 (-61003)
peak_804	Dad1 (+117198)
peak_805	B020004C17Rik (-16269), Zmym2 (+111046)
peak_806	Atp8a2 (-68886), Nupl1 (+95787)
peak_807	Amer2 (-50579), Mtmr6 (+61885)
peak_808	Mipep (+90723), Tnfrsf19 (+171173)
peak_809	Gulo (-35635), Adam2 (+32891)
peak_810	Nkx2-6 (-62022), Stc1 (+80542)
peak_811	Tnfrsf10b (-18049), Chmp7 (-16889)
peak_812	Npm2 (-74880), Xpo7 (+38664)
peak_813	Gfra2 (+514638)
peak_814	Gm9195 (+434658)
peak_815	Gm9195 (-34772), Fndc3a (+183393)
peak_816	Fndc3a (-82997), Cysltr2 (+256114)
peak_817	Fndc3a (-238194), Cysltr2 (+100917)
peak_818	Esd (+51037), Lrch1 (+164456)
peak_819	Enox1 (-34494), Ccdc122 (+85497)
peak_820	Enox1 (+142886), Gm1587 (+499215)
peak_821	Gm1587 (+291898), Enox1 (+350203)
peak_822	Fam216b (-119566), Tnfsf11 (+99470)
peak_823	Vwa8 (+147987), Zfp957 (+250131)
peak_824	Olfm4 (+184901)
peak_825	Olfm4 (+355388)
peak_826	NONE
peak_827	NONE
peak_828	NONE
peak_829	NONE
peak_830	NONE
peak_831	NONE
peak_832	NONE
peak_833	NONE
peak_834	Diaph3 (+200563)
peak_835	Pcdh20 (-142139)
peak_836	Gm10110 (-447324)
peak_837	NONE
peak_838	NONE
peak_839	NONE
peak_840	NONE
peak_841	Pcdh9 (-951743)
peak_842	4921530L21Rik (+313848), Klhl1 (+323988)
peak_843	Klhl1 (-331348)
peak_844	Dach1 (-68666), Mzt1 (+807927)
peak_845	Dach1 (-869520), Mzt1 (+7073)
peak_846	Klf12 (+94674), Klf5 (+756399)
peak_847	Klf12 (-235586), Prr30 (+814980)
peak_848	Klf12 (-239934), Prr30 (+810632)
peak_849	Klf12 (-506133), Prr30 (+544433)
peak_850	Acod1 (-51279), Kctd12 (-13061)
peak_851	Scel (-99302), Mycbp2 (-67239)
peak_852	Trim52 (+11508)
peak_853	NONE
peak_854	Slitrk1 (-431628)
peak_855	Tpm3-rs7 (-881601), Slitrk5 (+757892)
peak_856	Tpm3-rs7 (+271435)
peak_857	Tpm3-rs7 (+485023)
peak_858	Gpc5 (-616072)
peak_859	Gpc5 (-425288)
peak_860	Gpc5 (-189092)
peak_861	Gpc6 (-600067)
peak_862	Gpc6 (-460050)
peak_863	Gpc6 (-284050)
peak_864	Gpc6 (-136897)
peak_865	Gpc6 (-23472)
peak_866	Gpc6 (+332751), Dct (+793964)
peak_867	Mbnl2 (-213864), Oxgr1 (-19370)
peak_868	Ipo5 (-261990), Rap2a (+170743)
peak_869	Tmtc4 (-83794), Nalcn (+560067)
peak_870	Itgbl1 (+63300), Fgf14 (+953856)
peak_871	Itgbl1 (+151088), Fgf14 (+866068)
peak_872	Ghr (-337256), Fbxo4 (+59087)
peak_873	Plcxd3 (-88986), Oxct1 (+260135)
peak_874	C6 (-54437), Plcxd3 (+297234)
peak_875	Mroh2b (-122582), C6 (+48980)
peak_876	Ptger4 (-22488)
peak_877	Ptger4 (-812586), Dab2 (-329825)
peak_878	Egflam (+118723), Lifr (+125275)
peak_879	Egflam (+31573), Lifr (+212425)
peak_880	Il7r (-208263), Spef2 (+10729)
peak_881	Spef2 (-243122), Prlr (-185665)
peak_882	Adamts12 (+159254), Tars (+175614)
peak_883	NONE
peak_884	Cdh9 (-869410)
peak_885	Cdh9 (-656260)
peak_886	Cdh10 (-89079)
peak_887	Cdh10 (+759965)
peak_888	Cdh10 (+805855)
peak_889	Acot10 (+773360)
peak_890	Acot10 (+129464)
peak_891	Cdh12 (+150577)
peak_892	Cdh12 (+231084)
peak_893	Cdh18 (-548460)
peak_894	Cdh18 (-224743)
peak_895	9230109A22Rik (+544166)
peak_896	9230109A22Rik (+479936)
peak_897	9230109A22Rik (+32240)
peak_898	9230109A22Rik (-51208), Basp1 (+213397)
peak_899	March11 (-131194), Zfp622 (+193504)
peak_900	March11 (-60445), Zfp622 (+264253)
peak_901	March11 (-28698), Zfp622 (+296000)
peak_902	Fbxl7 (+213135), March11 (+372850)
peak_903	Dnah5 (+55831)
peak_904	Ctnnd2 (-76633)
peak_905	Dap (-23397)
peak_906	Tas2r119 (-474235), Fam173b (+100936)
peak_907	Tas2r119 (-230698), Fam173b (+344473)
peak_908	Sdc2 (-524540), Sema5a (+151370)
peak_909	Tspyl5 (+74937), Cpq (+529817)
peak_910	Mtdh (-214850), Tspyl5 (-179986)
peak_911	Tspyl5 (-198686), Mtdh (-196150)
peak_912	Vps13b (+263711), Cox6c (+302388)
peak_913	Cox6c (-53933), Rgs22 (+148822)
peak_914	Pabpc1 (-70798), Ywhaz (+114767)
peak_915	Oxr1 (-568161), Zfpm2 (+224279)
peak_916	Oxr1 (-203011), Zfpm2 (+589429)
peak_917	Abra (-267195), Angpt1 (+540062)
peak_918	Angpt1 (-464517), Rspo2 (+29324)
peak_919	Emc2 (+115733), Tmem74 (+277067)
peak_920	Trhr (-179143), Tmem74 (-146963)
peak_921	Tmem74 (-217014), Trhr (-109092)
peak_922	Sybu (-215346), Kcnv1 (+111525)
peak_923	Kcnv1 (-586323)
peak_924	NONE
peak_925	NONE
peak_926	NONE
peak_927	Csmd3 (+394161)
peak_928	Csmd3 (-302297)
peak_929	Csmd3 (-323153)
peak_930	Csmd3 (-457036)
peak_931	NONE
peak_932	Trps1 (+444790)
peak_933	Trps1 (+405789)
peak_934	Trps1 (-148109), Eif3h (+828323)
peak_935	Trps1 (-718319), Eif3h (+258113)
peak_936	Rad21 (-36409), Aard (-11938)
peak_937	Gm10020 (-188276), Med30 (-45941)
peak_938	Med30 (+161717), Ext1 (+471997)
peak_939	Gm7489 (-310754), Ext1 (-227993)
peak_940	Mal2 (-120574), Colec10 (+40018)
peak_941	Nov (-68242), Mal2 (+106094)
peak_942	Sntb1 (-613886), Has2 (+173704)
peak_943	Has2 (-191420), Slc22a22 (+591666)
peak_944	Has2 (-213926), Slc22a22 (+569160)
peak_945	Fer1l6 (+104034), Tmem65 (+209448)
peak_946	4933412E24Rik (-48857), Fam84b (+759605)
peak_947	4933412E24Rik (-337947), Fam84b (+470515)
peak_948	4933412E24Rik (-381433), Fam84b (+427029)
peak_949	4933412E24Rik (-399742), Fam84b (+408720)
peak_950	Myc (-958666), A1bg (-105455)
peak_951	Myc (+536694)
peak_952	Myc (+785538)
peak_953	Asap1 (-146105), Adcy8 (+393272)
peak_954	Efr3a (-514623), Adcy8 (-350121)
peak_955	Adcy8 (-483724), Efr3a (-381020)
peak_956	St3gal1 (-158642), Zfat (+986204)
peak_957	St3gal1 (-721261), Zfat (+423585)
peak_958	St3gal1 (-918473), Zfat (+226373)
peak_959	Khdrbs3 (-560372), Zfat (-109210)
peak_960	Zfat (-374719), Khdrbs3 (-294863)
peak_961	Zfat (-626766), Khdrbs3 (-42816)
peak_962	NONE
peak_963	Fam135b (+870371)
peak_964	Apol7c (-15973), 1700025B11Rik (+12604)
peak_965	Pick1 (-36778), Sox10 (-27905)
peak_966	Csnk1e (-51794), Kcnj4 (+11448)
peak_967	Ccdc134 (-26506), Mei1 (+18952)
peak_968	Cyp2d9 (-34884), Cyp2d10 (-10299)
peak_969	Smc1b (+46556), Fam118a (+48339)
peak_970	Syt10 (-351055), Alg10b (-31396)
peak_971	Gxylt1 (+105373), Pdzrn4 (+772863)
peak_972	Glycam1 (-90465), Mucl2 (+243766)
peak_973	Slx4 (-21074), Dnase1 (-14216)
peak_974	Ercc4 (-513244), Shisa9 (+611859)
peak_975	Mkl2 (-73982), Ercc4 (+72815)
peak_976	Efcab1 (-91018), Snai2 (+109767)
peak_977	Ube2v2 (+279283), Efcab1 (+408604)
peak_978	Ube2v2 (+152341), Efcab1 (+535546)
peak_979	Dnm1l (-40064), Fgd4 (+161125)
peak_980	Klhl24 (-72513), Klhl6 (-42004)
peak_981	Cyp2ab1 (-67175), Abcc5 (+36154)
peak_982	Thpo (-187403), Teddm3 (+232086)
peak_983	2510009E07Rik (+97065), Vps8 (+174399)
peak_984	St6gal1 (-59868), Adipoq (+18336)
peak_985	Tprg (-95784), Lpp (+797683)
peak_986	Trp63 (-118066), Tprg (+278882)
peak_987	P3h2 (-22665), Cldn1 (+243392)
peak_988	Gmnc (+123460), Il1rap (+284810)
peak_989	Ccdc50 (+346928), Fgf12 (+709430)
peak_990	Fgf12 (-475139), Mb21d2 (+9332)
peak_991	Fam43a (+113071), Xxylt1 (+368638)
peak_992	Slc12a8 (-106054), Zfp148 (+31500)
peak_993	Igsf11 (-57698), 4930435E12Rik (-15869)
peak_994	Igsf11 (+916859)
peak_995	Lsamp (-866057)
peak_996	Lsamp (-472223)
peak_997	Lsamp (+328056), Gap43 (+479737)
peak_998	Zbtb20 (+77951), Tigit (+678581)
peak_999	Zbtb20 (+235535), Tigit (+520997)
peak_1000	Gm609 (-25879), Slc9c1 (-16461)
peak_1001	Gcsam (-39057), Slc9c1 (+36014)
peak_1002	Nectin3 (-807831), Gm7275 (-768646)
peak_1003	Nectin3 (-878753), Gm7275 (-697724)
peak_1004	Gm7275 (-160195)
peak_1005	Gm7275 (-92111)
peak_1006	Gm7275 (-51710)
peak_1007	Morc1 (+116324), Trat1 (+224395)
peak_1008	Retnlg (-16856), Retnla (+13200)
peak_1009	Retnlg (+6003), Dzip3 (+115554)
peak_1010	Dzip3 (+31277), Retnlg (+90280)
peak_1011	Bbx (-87350), Ccdc54 (+71414)
peak_1012	Cblb (-302067)
peak_1013	Alcam (+173075), Cblb (+249450)
peak_1014	NONE
peak_1015	Zpld1 (+865377)
peak_1016	Zpld1 (+832962)
peak_1017	Zpld1 (+177006)
peak_1018	Tmem45a (-54757), Tmem45a2 (+130423)
peak_1019	Dcbld2 (-403136), Col8a1 (-250570)
peak_1020	Col8a1 (-484905), Dcbld2 (-168801)
peak_1021	Olfr175-ps1 (-35631), Olfr177 (+12363)
peak_1022	Olfr181 (-48677), Olfr183 (-17925)
peak_1023	Olfr196 (-7954), Olfr198 (+25125)
peak_1024	Arl6 (-65541), Epha6 (+900316)
peak_1025	Arl6 (-145051), Epha6 (+820806)
peak_1026	Arl6 (-252869), Epha6 (+712988)
peak_1027	Arl6 (-261055), Epha6 (+704802)
peak_1028	Epha6 (-764957)
peak_1029	Nsun3 (+933587)
peak_1030	Epha3 (+424728), Pros1 (+585123)
peak_1031	Epha3 (+136062), Pros1 (+873789)
peak_1032	Epha3 (-104507), Csnka2ip (+510483)
peak_1033	Epha3 (-438304), Csnka2ip (+176686)
peak_1034	Epha3 (-586024), Csnka2ip (+28966)
peak_1035	Csnka2ip (-93591), 4930453N24Rik (+198422)
peak_1036	Htr1f (+105360), Cggbp1 (+148428)
peak_1037	Htr1f (+58142), Cggbp1 (+195646)
peak_1038	Htr1f (+43576), Cggbp1 (+210212)
peak_1039	Chmp2b (-189047), Vgll3 (-63889)
peak_1040	Vgll3 (+496546)
peak_1041	Vgll3 (+709131)
peak_1042	Cadm2 (+866295), Vgll3 (+938895)
peak_1043	Cadm2 (+229663)
peak_1044	Cadm2 (-313503)
peak_1045	Cadm2 (-926970)
peak_1046	Speer2 (+965222)
peak_1047	Speer2 (+947687)
peak_1048	Speer2 (+655075)
peak_1049	Speer2 (+567596)
peak_1050	Speer2 (+449045)
peak_1051	Speer2 (+157700)
peak_1052	Gbe1 (-420741), Speer2 (-29464)
peak_1053	Gbe1 (+669349)
peak_1054	Gbe1 (+840047)
peak_1055	Robo1 (-66732)
peak_1056	Robo1 (-39458)
peak_1057	Robo1 (+691365)
peak_1058	Robo2 (+673828)
peak_1059	Robo2 (+205148)
peak_1060	Hspa13 (+39122), Rbm11 (+134808)
peak_1061	Hspa13 (+29814), Rbm11 (+144116)
peak_1062	Hspa13 (-32276), Samsn1 (+110213)
peak_1063	Samsn1 (-88156), Nrip1 (+376361)
peak_1064	Usp25 (+141061), Gm11146 (+446964)
peak_1065	Usp25 (+179594), Gm11146 (+408431)
peak_1066	Cxadr (-486345), Gm11146 (-213057)
peak_1067	Cxadr (-383211), Gm11146 (-316191)
peak_1068	Tmprss15 (-570248)
peak_1069	Tmprss15 (-644083)
peak_1070	Ncam2 (+546958)
peak_1071	NONE
peak_1072	NONE
peak_1073	NONE
peak_1074	NONE
peak_1075	NONE
peak_1076	Atp5j (-107878), App (+230204)
peak_1077	App (-67194), Cyyr1 (+309516)
peak_1078	Adamts5 (-824219), N6amt1 (-628841)
peak_1079	N6amt1 (-242196)
peak_1080	N6amt1 (-204856)
peak_1081	N6amt1 (-160944)
peak_1082	Bach1 (+30838), Grik1 (+560475)
peak_1083	Grik1 (+186053), Bach1 (+405260)
peak_1084	Cldn17 (-20330), Cldn8 (+35875)
peak_1085	Krtap11-1 (-333151), Tiam1 (+70365)
peak_1086	Kcnj15 (-240216), Kcnj6 (-19646)
peak_1087	Kcnj15 (-168597), Kcnj6 (-91265)
peak_1088	Psmg1 (+84739), Ets2 (+204146)
peak_1089	Dscam (+190464), Pcp4 (+512682)
peak_1090	Nox3 (-651985), Arid1b (-646828)
peak_1091	Ldhal6b (+30408), Arid1b (+393285)
peak_1092	Park2 (+134320)
peak_1093	Agpat4 (-820282), Park2 (+458618)
peak_1094	Agpat4 (-618709), Park2 (+660191)
peak_1095	Gm7356 (-12047), Dact2 (+190019)
peak_1096	Thbs2 (+107198), Smoc2 (+307558)
peak_1097	Thbs2 (-112269), Wdr27 (+128122)
peak_1098	Zfp960 (-932947), Rgmb (-304580)
peak_1099	Zfp960 (-669128), Rgmb (-568399)
peak_1100	Zfp960 (-653114), Rgmb (-584413)
peak_1101	Rgmb (-850286), Zfp960 (-387241)
peak_1102	Zfp960 (-206184)
peak_1103	Lix1 (-187684), Zfp97 (+93573)
peak_1104	Lnpep (-62307), Vmn2r90 (-17145)
peak_1105	Vmn2r92 (-21192), Vmn2r91 (+45681)
peak_1106	Vmn2r97 (-306293), Vmn2r96 (+26302)
peak_1107	Vmn2r97 (-113717), Vmn2r96 (+218878)
peak_1108	Vmn2r97 (-72565), Vmn2r96 (+260030)
peak_1109	Vmn2r97 (-11729), Vmn2r96 (+320866)
peak_1110	Vmn2r99 (-258491), Vmn2r98 (+50151)
peak_1111	Vmn1r226 (-48162), Fpr-rs3 (-14469)
peak_1112	Vmn1r226 (+31666), Vmn1r228 (+58327)
peak_1113	Zfp820 (+29665), Zfp229 (+82370)
peak_1114	Zfp995 (-9015), Zfp942 (+43510)
peak_1115	Zfp946 (+45087), Vmn2r111 (+103918)
peak_1116	Gm9805 (-41008), Vmn2r112 (+47615)
peak_1117	Vmn2r-ps130 (-84974), Vmn2r113 (+33209)
peak_1118	Zfp40 (-52232), Vmn2r114 (+66829)
peak_1119	Zfp40 (-67210), Vmn2r114 (+51851)
peak_1120	Gm8225 (-363)
peak_1121	Ggnbp1 (+21998), Bak1 (+33794)
peak_1122	Zfp523 (-21742), Scube3 (+13360)
peak_1123	Zfp101 (-19569), Actl9 (-18686)
peak_1124	H2-M11 (-58971), H2-M10.4 (-25770)
peak_1125	Olfr125 (-21838), Olfr124 (+11223)
peak_1126	Esp24 (-147402), Esp31 (+251436)
peak_1127	Esp38 (-184486), Esp15 (+127910)
peak_1128	Esp38 (-63785), Esp15 (+248611)
peak_1129	Esp38 (+39110), Pgk2 (+216146)
peak_1130	Pgk2 (+81437), Esp38 (+173819)
peak_1131	Pgk2 (-9678), Crisp3 (+24001)
peak_1132	Esp8 (-148194), Crisp1 (-52621)
peak_1133	Crisp1 (-145134), Esp8 (-55681)
peak_1134	Cenpq (-30373)
peak_1135	Cenpq (-758027), Ptchd4 (-622873)
peak_1136	Cenpq (-979504), Ptchd4 (-401396)
peak_1137	Ptchd4 (-308674)
peak_1138	Ptchd4 (-243397)
peak_1139	Enpp5 (-134056), Rcan2 (+142938)
peak_1140	Clic5 (-73895), Enpp4 (-8868)
peak_1141	Runx2 (-212238), Cdc5l (+406672)
peak_1142	A530064D06Rik (-55060), Trem1 (-10454)
peak_1143	Kcnh8 (-506708), Satb1 (-263329)
peak_1144	Satb1 (-710208), Kcnh8 (-59829)
peak_1145	Kcnh8 (+430091), Efhb (+430521)
peak_1146	Efhb (+355359), Kcnh8 (+505253)
peak_1147	Efhb (+346072), Kcnh8 (+514540)
peak_1148	Efhb (+280089), Kcnh8 (+580523)
peak_1149	Sult1c1 (-59391), Slc5a7 (+248969)
peak_1150	Slc5a7 (-875009), St6gal2 (-271507)
peak_1151	St6gal2 (-67773)
peak_1152	Vmn2r118 (+66073), St6gal2 (+113049)
peak_1153	Vmn2r118 (+30491), St6gal2 (+148631)
peak_1154	Zfp119a (+38298), Adgre4 (+90648)
peak_1155	Vmn2r120 (-113795), Cntnap5c (-110461)
peak_1156	Vmn2r120 (-153688), Cntnap5c (-70568)
peak_1157	Cntnap5c (+204455)
peak_1158	Cntnap5c (+401518), Pdzph1 (+820287)
peak_1159	Cntnap5c (+555219), Pdzph1 (+666586)
peak_1160	Nudt12 (-554633)
peak_1161	NONE
peak_1162	NONE
peak_1163	NONE
peak_1164	Efna5 (+933280)
peak_1165	Efna5 (+488215)
peak_1166	Efna5 (-365924), Fbxl17 (+252776)
