# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110032F04Rik	peak_1566 (-115438)
Crot	peak_1903 (-51689)
Crygf	peak_109 (-508464), peak_110 (-399974), peak_111 (+53337), peak_112 (+351138)
Csgalnact1	peak_2436 (+235844), peak_2435 (+323792)
Csl	peak_388 (-131489), peak_387 (+19450), peak_386 (+91498)
Csmd1	peak_2351 (-498759), peak_2350 (+36173), peak_2349 (+344918)
Csmd3	peak_930 (-457036), peak_929 (-323153), peak_928 (-302297), peak_927 (+394161)
Csnk1a1	peak_1240 (-10259)
Csnk1e	peak_966 (-51794)
Csnk2a1	peak_1442 (-29341)
Csnka2ip	peak_1035 (-93591), peak_1034 (+28966), peak_1033 (+176686), peak_1032 (+510483)
Csrnp3	peak_1381 (+26332)
Cst10	peak_1441 (-220150)
Cst11	peak_1440 (+14132)
Cstf2t	peak_1287 (-477506)
Cstl1	peak_1440 (+7007)
Ctag2	peak_2652 (+105839)
Ctif	peak_1253 (+133952)
Ctnna2	peak_2188 (-47518)
Ctnna3	peak_345 (+205851), peak_346 (+284261)
Ctnnd2	peak_904 (-76633)
Ctrc	peak_1886 (-20993)
Cts3	peak_681 (-15766)
Cts7	peak_680 (-105590), peak_679 (-64126), peak_678 (-38989)
Ctsc	peak_2302 (-277087)
Ctse	peak_215 (+41939)
Ctsm	peak_680 (+78053), peak_679 (+119517), peak_678 (+144654)
Ctso	peak_1584 (-673545), peak_1585 (-617669), peak_1586 (-564919), peak_1587 (-316300), peak_1588 (-220199), peak_1589 (-151521)
Cttnbp2	peak_2116 (-266063)
Cul1	peak_2160 (-877145)
Cwc22	peak_1390 (-670458), peak_1389 (-51408)
Cwc27	peak_740 (+156234)
Cwf19l2	peak_2494 (-24227)
Cxadr	peak_1066 (-486345), peak_1067 (-383211)
Cxcl1	peak_2029 (-72238)
Cxcl12	peak_2224 (-284961), peak_2225 (-242031), peak_2226 (-81490), peak_2227 (+523138), peak_2228 (+570656)
Cxcl13	peak_2039 (-29895), peak_2040 (+162896)
Cxcl15	peak_2029 (+24469)
Cxcl2	peak_2030 (+6039)
Cxcr4	peak_211 (-181034)
Cxxc4	peak_1630 (-656762), peak_1631 (-375837), peak_1632 (+212787), peak_1633 (+578620)
Cyb561	peak_500 (+232581)
Cylc2	peak_1741 (-836467), peak_1742 (-688575), peak_1743 (-585675), peak_1744 (-516262), peak_1745 (-198100), peak_1746 (+82616), peak_1747 (+438348), peak_1748 (+614764)
Cyp2ab1	peak_981 (-67175)
Cyp2c39	peak_1293 (+13025)
Cyp2c67	peak_1293 (+125164)
Cyp2d10	peak_968 (-10299)
Cyp2d9	peak_968 (-34884)
Cyp3a16	peak_2077 (-11889)
Cyp3a41a	peak_2078 (-13580)
Cyp3a41b	peak_2077 (+103118)
Cyp3a44	peak_2078 (+72158)
Cyp4a12a	peak_1876 (-43553)
Cyp4a29	peak_1875 (-41191), peak_1876 (+13409)
Cyp4a31	peak_1877 (+20379)
Cyp4a32	peak_1877 (-16947)
Cyp4x1	peak_1875 (-66916)
Cyp7b1	peak_1483 (-772486), peak_1482 (-609692), peak_1481 (-479852)
Cypt1	peak_2598 (-726537), peak_2599 (-613839), peak_2600 (-119973), peak_2601 (-82446)
Cypt12	peak_1478 (-953675), peak_1479 (-762729), peak_1480 (-212954)
Cypt14	peak_2621 (-36601), peak_2620 (+57850), peak_2619 (+196221)
Cypt15	peak_2617 (-506544), peak_2618 (-14167), peak_2619 (+321116), peak_2620 (+459487)
Cypt2	peak_2700 (+236946)
Cysltr2	peak_817 (+100917), peak_816 (+256114)
Cyyr1	peak_1077 (+309516)
D1Ertd622e	peak_151 (+238536)
D1Pas1	peak_276 (+95367)
D330045A20Rik	peak_2736 (-16521)
D3Ertd751e	peak_1516 (+27420), peak_1517 (+373782), peak_1518 (+582255)
D630036H23Rik	peak_533 (-569805), peak_532 (-103143)
Dab1	peak_1859 (-987815), peak_1860 (-277949)
Dab2	peak_877 (-329825)
Dab2ip	peak_1343 (+21513)
Dach1	peak_845 (-869520), peak_844 (-68666)
Dach2	peak_2711 (-47760), peak_2712 (+311427)
Dact2	peak_1095 (+190019)
Dad1	peak_804 (+117198)
Dao	peak_2062 (+48482)
Dap	peak_905 (-23397)
Dapk1	peak_676 (-212069), peak_677 (-176082)
Dcaf12l2	peak_2628 (+707378)
Dcbld2	peak_1019 (-403136), peak_1020 (-168801)
Dcc	peak_1250 (-998723), peak_1249 (-225905), peak_1248 (-155420)
Dcdc2a	peak_643 (+186032)
Dcdc2c	peak_523 (+644653)
Dck	peak_2025 (+110370)
Dcn	peak_382 (-805583)
Dct	peak_866 (+793964)
Dctd	peak_2392 (-86584)
Dcun1d4	peak_1998 (+22197)
Ddhd1	peak_797 (-553685), peak_796 (-451208), peak_795 (-237682)
Ddi1	peak_2498 (-794737)
Ddit4l	peak_1635 (-23378), peak_1636 (+35280)
Ddx10	peak_2545 (+255348), peak_2544 (+368813)
Ddx18	peak_206 (-518501), peak_205 (-170116)
Ddx43	peak_2558 (+31954)
Defa17	peak_2353 (-15039)
Defa26	peak_2353 (+22558)
Defb38	peak_2352 (-18775)
Defb39	peak_2352 (+19469)
Defb41	peak_34 (-607383), peak_33 (-393793)
Degs2	peak_605 (+128685)
Dennd1b	peak_220 (+159390)
Dennd2d	peak_1605 (-71706)
Depdc1a	peak_1653 (-507205)
Depdc1b	peak_746 (+193331)
Dera	peak_2243 (+269848)
Desi2	peak_270 (-176371)
Dgkb	peak_535 (+646846)
Dhrs3	peak_1890 (-76162)
Dhx15	peak_1966 (+217150)
Dhx35	peak_1445 (+551440), peak_1446 (+861364), peak_1447 (+993985)
Dhx36	peak_1554 (-66595)
Diaph2	peak_2727 (-346670), peak_2728 (-320822), peak_2729 (+454244)
Diaph3	peak_834 (+200563)
Dio2	peak_591 (-539621), peak_590 (-102819), peak_589 (+656220)
Dip2a	peak_366 (-29597)
Dkk1	peak_1287 (-55670)
Dkk2	peak_1628 (+327637)
Dlg2	peak_2306 (-367776), peak_2307 (+981374)
Dlgap1	peak_1171 (-716102), peak_1172 (-522194), peak_1173 (-274745), peak_1174 (-100961)
Dlgap2	peak_2346 (+100477)
Dlk1	peak_607 (-221370)
Dmd	peak_2677 (-710267), peak_2678 (-293902), peak_2679 (+28304)
Dmp1	peak_2048 (+82311)
Dmrt2	peak_1284 (+198040)
Dmrta1	peak_1833 (-69391), peak_1834 (+104666), peak_1835 (+188116), peak_1836 (+344175)
Dmrta2	peak_1867 (+125880)
Dnah5	peak_903 (+55831)
Dnah7c	peak_85 (+24436)
Dnah9	peak_492 (-292249)
Dnajb9	peak_548 (-20789), peak_547 (+281112), peak_546 (+461458), peak_545 (+479595)
Dnajc1	peak_1334 (-164221), peak_1333 (-84194)
Dnajc24	peak_1416 (+54762)
Dnajc5b	peak_1484 (-174927), peak_1485 (-68268)
Dnase1	peak_973 (-14216)
Dner	peak_140 (+244236), peak_139 (+316343)
Dnm1l	peak_979 (-40064)
Dnm3	peak_252 (-11752)
Dnmt3a	peak_505 (-181403)
Dock10	peak_132 (-225525)
Dock11	peak_2613 (-66396)
Dock3	peak_2584 (+97274), peak_2583 (+141990), peak_2582 (+313184)
Dock8	peak_1283 (+188110)
Dok6	peak_1270 (-661268), peak_1269 (-642894), peak_1268 (-604416), peak_1267 (-501371), peak_1266 (-148213), peak_1265 (+399158)
Dpf3	peak_588 (+698135)
Dph6	peak_1424 (-507520)
Dpp10	peak_210 (-926788), peak_209 (-876528), peak_208 (+188379)
Dpp4	peak_1378 (+236332)
Dpp6	peak_1936 (-669456), peak_1937 (+246691)
Dpy19l1	peak_2522 (+174814), peak_2521 (+236621)
Dpyd	peak_1615 (-457123), peak_1616 (+151552)
Dr1	peak_2053 (+31531)
Drd1	peak_673 (+92341)
Dsc3	peak_1204 (+140001), peak_1203 (+447664)
Dscam	peak_1089 (+190464)
Dsel	peak_184 (-973640), peak_183 (-355874), peak_182 (+238773), peak_181 (+283609), peak_180 (+586333)
Dst	peak_72 (+509328)
Dthd1	peak_1986 (+783924)
Dtna	peak_1208 (+379836)
Dtnb	peak_505 (+53236)
Dtnbp1	peak_663 (+154832)
Dusp10	peak_273 (+599914)
Dusp26	peak_2368 (-988919)
Dusp6	peak_386 (+404929), peak_387 (+476977)
Dync1h1	peak_608 (+7978)
Dync1i1	peak_2086 (-200264), peak_2087 (+443381), peak_2088 (+457900)
Dync2h1	peak_2498 (+119863)
Dynlt3	peak_2590 (+31029), peak_2589 (+66852)
Dzip3	peak_1010 (+31277), peak_1009 (+115554)
E2f7	peak_402 (-520377), peak_403 (-380934)
E330014E10Rik	peak_2039 (+151066)
ENSMUSG00000109903	peak_1919 (-35047), peak_1920 (+111662), peak_1921 (+247831)
ENSMUSG00000111590	peak_1401 (+21851)
Ear2	peak_793 (-35044)
Eci2	peak_653 (-62658)
Ect2	peak_1499 (+295583), peak_1498 (+369390)
Eda	peak_2698 (+319525)
Eda2r	peak_2696 (-726539), peak_2695 (-599481), peak_2694 (-456709)
Edem1	peak_2217 (+125435), peak_2218 (+238534)
Edil3	peak_724 (+335856)
Edn1	peak_661 (-171106)
Eef1e1	peak_656 (-231385)
Eepd1	peak_2524 (-61053), peak_2525 (+156816), peak_2526 (+276887)
Efcab1	peak_976 (-91018), peak_977 (+408604), peak_978 (+535546)
Efcab2	peak_271 (+97761)
Efemp1	peak_460 (+177449)
Efhb	peak_1148 (+280089), peak_1147 (+346072), peak_1146 (+355359), peak_1145 (+430521)
Efhd1	peak_141 (+45202)
Efhd2	peak_1886 (+7568)
Efna5	peak_1166 (-365924), peak_1165 (+488215), peak_1164 (+933280)
Efr3a	peak_954 (-514623), peak_955 (-381020)
Egfem1	peak_1501 (+11900), peak_1502 (+636750), peak_1503 (+790169)
Egflam	peak_879 (+31573), peak_878 (+118723)
Eif1a	peak_1231 (+95415)
Eif1ax	peak_2754 (+25885)
Eif3h	peak_935 (+258113), peak_934 (+828323)
Elavl2	peak_1843 (-524479), peak_1842 (-278488), peak_1841 (-264248), peak_1840 (+186480), peak_1839 (+397061), peak_1838 (+718360), peak_1837 (+816327)
Elavl4	peak_1868 (-35257), peak_1867 (+182956)
Ell2	peak_697 (-534876)
Elmo1	peak_639 (+445968)
Emc2	peak_919 (+115733)
Emcn	peak_1634 (+101165)
Eml4	peak_1185 (-119446), peak_1186 (-66027)
Eml6	peak_463 (-47683), peak_462 (+64647)
En1	peak_204 (+391916)
Enkur	peak_1338 (-41440)
Enoph1	peak_2042 (+90308)
Enox1	peak_819 (-34494), peak_820 (+142886), peak_821 (+350203)
Enpp4	peak_1140 (-8868)
Enpp5	peak_1139 (-134056)
Enpp6	peak_2391 (+158603)
Epb41l4a	peak_1221 (+372051)
Epb41l5	peak_203 (-95449)
Epgn	peak_2031 (+34046)
Epha10	peak_1881 (+18875)
Epha3	peak_1034 (-586024), peak_1033 (-438304), peak_1032 (-104507), peak_1031 (+136062), peak_1030 (+424728)
Epha5	peak_2019 (-336987), peak_2018 (+38543), peak_2017 (+633434)
Epha6	peak_1028 (-764957), peak_1027 (+704802), peak_1026 (+712988), peak_1025 (+820806), peak_1024 (+900316)
Epha7	peak_1720 (-351825), peak_1721 (-66148), peak_1722 (+938676)
Ephb4	peak_2076 (+83155)
Epm2a	peak_283 (+187993), peak_284 (+212134)
Eqtn	peak_1850 (+83154)
Erbb4	peak_118 (+483408), peak_117 (+509557), peak_116 (+518277), peak_115 (+638601), peak_114 (+702057)
Erbin	peak_739 (-75635)
Ercc4	peak_974 (-513244), peak_975 (+72815)
Ereg	peak_2031 (-13112)
Eri1	peak_2372 (-10454)
Erp44	peak_1738 (+110541)
Esd	peak_818 (+51037)
Esp15	peak_1127 (+127910), peak_1128 (+248611)
Esp24	peak_1126 (-147402)
Esp31	peak_1126 (+251436)
Esp38	peak_1127 (-184486), peak_1128 (-63785), peak_1129 (+39110), peak_1130 (+173819)
Esp8	peak_1132 (-148194), peak_1133 (-55681)
Esx1	peak_2735 (-306576)
Etaa1	peak_447 (-682423), peak_446 (-669562), peak_445 (-343494), peak_444 (-244660), peak_443 (-98541), peak_442 (-10139), peak_441 (+286156), peak_440 (+435383)
Etl4	peak_1337 (-142883)
Etnk1	peak_2250 (+614213)
Ets2	peak_1088 (+204146)
Etv1	peak_535 (-252531), peak_536 (+759087), peak_537 (+785863)
Etv6	peak_2240 (+332892)
Eva1a	peak_2192 (+59008), peak_2193 (+171089)
Evc2	peak_1944 (+161026)
Evl	peak_605 (+18906)
Exoc1	peak_2000 (-25008)
Ext1	peak_939 (-227993), peak_938 (+471997)
Eya1	peak_22 (+196843), peak_21 (+225057), peak_20 (+412881), peak_19 (+572634)
Eya4	peak_300 (-281507), peak_299 (-151049), peak_298 (-131163), peak_297 (-126021), peak_296 (+490542)
F11	peak_2389 (+82767)
F13a1	peak_655 (-213962)
F13b	peak_221 (+44992)
F2rl3	peak_2439 (+83760), peak_2440 (+205906), peak_2441 (+396103)
F9	peak_2643 (-532859), peak_2644 (-149665)
Fabp5	peak_1464 (-16933)
Fabp7	peak_344 (-18637)
Fam107b	peak_1317 (+128946)
Fam110b	peak_1659 (-598608), peak_1660 (-547435)
Fam114a2	peak_489 (+172745)
Fam118a	peak_969 (+48339)
Fam129a	peak_244 (-59178)
Fam135a	peak_47 (+24329)
Fam135b	peak_963 (+870371)
Fam155a	peak_2345 (+412749)
Fam160b1	peak_1313 (+56951)
Fam171b	peak_1396 (+117780)
Fam172a	peak_699 (-335661), peak_700 (-279982), peak_701 (-170719), peak_702 (-139217), peak_703 (+90592)
Fam173b	peak_906 (+100936), peak_907 (+344473)
Fam174a	peak_147 (-918980), peak_148 (-74642)
Fam180a	peak_2145 (-119939), peak_2144 (-69852)
Fam181b	peak_2308 (-162889), peak_2309 (+76340)
Fam198b	peak_1579 (+134660), peak_1580 (+353443), peak_1581 (+471277), peak_1582 (+857957)
Fam19a1	peak_2197 (-312399), peak_2198 (-271855)
Fam19a3	peak_1604 (+62773)
Fam19a4	peak_2202 (+90879), peak_2201 (+138404), peak_2200 (+437426), peak_2199 (+763315)
Fam204a	peak_1314 (-121334)
Fam216b	peak_822 (-119566)
Fam240b	peak_683 (-151465)
Fam3c	peak_2124 (-396338)
Fam43a	peak_991 (+113071)
Fam46a	peak_2569 (-299229)
Fam49a	peak_513 (-713518), peak_514 (+205548)
Fam76b	peak_2510 (+274152)
Fam78b	peak_259 (-88936), peak_260 (-61591), peak_261 (+195592)
Fam81b	peak_698 (-40937)
Fam84a	peak_517 (-873933), peak_516 (-569862), peak_515 (-242577)
Fam84b	peak_949 (+408720), peak_948 (+427029), peak_947 (+470515), peak_946 (+759605)
Fam8a1	peak_664 (-93506)
Fam92a	peak_1679 (-541313), peak_1678 (-295498), peak_1677 (-259103), peak_1676 (-231235), peak_1675 (-153896)
Fam92b	peak_2485 (-272466)
Fam96b	peak_2475 (-53549)
Fancb	peak_2756 (+108598)
Fancc	peak_682 (-5742)
Fancl	peak_453 (+40205), peak_454 (+81409)
Fat1	peak_2387 (-957681), peak_2388 (-346127)
Fat3	peak_2511 (-105712)
Fat4	peak_1513 (-124250), peak_1514 (+970767)
Fbxl13	peak_1933 (+57747)
Fbxl17	peak_1168 (-172153), peak_1167 (-111497), peak_1166 (+252776)
Fbxl4	peak_1710 (+105893)
Fbxl7	peak_902 (+213135)
Fbxo33	peak_570 (-278769)
Fbxo4	peak_872 (+59087)
Fbxo8	peak_2400 (+276807), peak_2401 (+489791), peak_2402 (+553802), peak_2403 (+631922)
Fbxw15	peak_2585 (-17408)
Fbxw24	peak_2585 (+40387)
Fer1l6	peak_945 (+104034)
Fezf1	peak_2126 (-262537), peak_2125 (-116706)
Fgd4	peak_979 (+161125)
Fgf10	peak_753 (-192261), peak_754 (+282171), peak_755 (+408127)
Fgf12	peak_990 (-475139), peak_989 (+709430)
Fgf13	peak_2644 (-715363), peak_2643 (-332169)
Fgf14	peak_871 (+866068), peak_870 (+953856)
Fgf16	peak_2700 (-27561)
Fgf18	peak_464 (+120381)
Fgf20	peak_2378 (+392218), peak_2377 (+557021)
Fhit	peak_759 (+553555)
Fhl2	peak_76 (-62438)
Fhl5	peak_1718 (+134976)
Fibin	peak_1420 (-72864), peak_1419 (+16966)
Fign	peak_1380 (+292304)
Flrt2	peak_592 (-837200), peak_593 (-444218), peak_594 (-351591), peak_595 (-106579), peak_596 (-74465), peak_597 (+818436)
Flrt3	peak_1432 (-869792), peak_1431 (-431707), peak_1430 (+131116)
Fmo1	peak_253 (+46710)
Fmo4	peak_253 (-6228)
Fmo9	peak_260 (-257981), peak_259 (-230636)
Fmr1	peak_2657 (-338840)
Fndc3a	peak_817 (-238194), peak_816 (-82997), peak_815 (+183393)
Focad	peak_1829 (+193517), peak_1830 (+266290)
Fosl2	peak_1942 (-147343)
Foxa2	peak_1439 (+575735)
Foxd3	peak_1851 (-223107)
Foxg1	peak_556 (-957530), peak_557 (-372739), peak_558 (-325240), peak_559 (-189911)
Foxn3	peak_602 (+464218)
Foxn4	peak_2063 (+62423)
Foxo1	peak_1533 (+168970)
Foxp2	peak_2112 (+616432)
Foxq1	peak_649 (-172796)
Fpr-rs3	peak_1111 (-14469)
Frem2	peak_1535 (-145387), peak_1534 (-65054)
Frg1	peak_2383 (-855333), peak_2382 (-620865), peak_2381 (-96506)
Frk	peak_312 (+436949)
Frmd3	peak_1795 (+40557)
Frmd4a	peak_1317 (-310468)
Fscb	peak_580 (+565463), peak_579 (+782957)
Fshr	peak_1189 (-615665), peak_1188 (-239897), peak_1187 (+46663)
Fsip2	peak_1393 (-447649), peak_1394 (-54976), peak_1395 (+97957)
Fthl17a	peak_2680 (-703836), peak_2681 (+261629)
Ftmt	peak_1234 (+116493)
Fut8	peak_587 (+536494)
Fut9	peak_1719 (-258076)
Fyb2	peak_1861 (+149988)
Fzd1	peak_1894 (-185930)
Fzd10	peak_2068 (-100586)
Fzd8	peak_1194 (-996635), peak_1195 (-10564)
G2e3	peak_561 (-180049)
G6pd2	peak_1982 (-595848), peak_1983 (-30825), peak_1984 (+417900), peak_1985 (+618595)
Gab2	peak_2312 (+65694), peak_2313 (+146035)
Gabra2	peak_1993 (-429516), peak_1992 (-293443), peak_1991 (-223602)
Gabra3	peak_2663 (-29308), peak_2662 (+77701)
Gabra4	peak_1994 (+102036)
Gabrb1	peak_1995 (+131721)
Gabrg1	peak_1990 (+412189)
Gabrg2	peak_476 (+111058), peak_475 (+290440), peak_474 (+619420), peak_473 (+888800), peak_472 (+984257)
Gabrq	peak_2663 (-139942)
Galc	peak_601 (+439865), peak_600 (+581106), peak_599 (+875645)
Galnt1	peak_1210 (+204659)
Galnt13	peak_1368 (-177729), peak_1369 (-51013), peak_1370 (+590428)
Galnt18	peak_2327 (-131259)
Galnt3	peak_1381 (+252895)
Galnt7	peak_2408 (-818460), peak_2407 (-645563), peak_2406 (-333040), peak_2405 (-23477)
Galntl6	peak_2413 (-921469), peak_2412 (-868831), peak_2411 (-765155), peak_2410 (-737303), peak_2409 (-709239)
Galr1	peak_1258 (+279117)
Gap43	peak_997 (+479737)
Garem1	peak_1205 (-116645)
Gas1	peak_677 (-248934), peak_676 (-212947)
Gatsl2	peak_2073 (-843003), peak_2074 (-630791), peak_2075 (-539659)
Gbe1	peak_1052 (-420741), peak_1053 (+669349), peak_1054 (+840047)
Gbp5	peak_1643 (+21712)
Gbp7	peak_1643 (-11730)
Gbp9	peak_2051 (+16519), peak_2050 (+88179)
Gc	peak_2027 (+129992), peak_2026 (+345717)
Gca	peak_1379 (+162680)
Gclc	peak_2557 (-79711)
Gcsam	peak_1001 (-39057)
Gdap1	peak_27 (+244928)
Gdf6	peak_1670 (-120420), peak_1671 (+321095), peak_1672 (+647472), peak_1673 (+834269), peak_1674 (+890209)
Gemin8	peak_2757 (-759754), peak_2758 (-703993), peak_2759 (-535938), peak_2760 (-469168)
Gfra2	peak_813 (+514638)
Gfral	peak_2556 (+24207)
Ggh	peak_1705 (+253650), peak_1706 (+318710)
Ggnbp1	peak_1121 (+21998)
Ghitm	peak_787 (-258661), peak_786 (-62713)
Ghr	peak_872 (-337256)
Gigyf2	peak_141 (-17438)
Gimd1	peak_1628 (-216891)
Gja1	peak_343 (+650438)
Gjd2	peak_1423 (+155295)
Gk	peak_2682 (+109183)
Gli3	peak_631 (-436785), peak_632 (-211963)
Glra1	peak_485 (-62745)
Glra2	peak_2760 (-373934), peak_2759 (-307164), peak_2758 (-139109), peak_2757 (-83348), peak_2756 (+238203)
Glrb	peak_1583 (-27619)
Glycam1	peak_972 (-90465)
Gm10020	peak_937 (-188276)
Gm10036	peak_1199 (+456318)
Gm10110	peak_836 (-447324)
Gm10118	peak_346 (+185663), peak_345 (+264073)
Gm10135	peak_1997 (+41447)
Gm10184	peak_1189 (+94172), peak_1188 (+469940)
Gm10283	peak_2415 (+30331), peak_2414 (+446713), peak_2413 (+669089), peak_2412 (+721727), peak_2411 (+825403), peak_2410 (+853255), peak_2409 (+881319)
Gm10306	peak_1847 (-862997), peak_1848 (-853034), peak_1849 (-353642)
Gm10358	peak_2444 (+66958)
Gm10375	peak_792 (-61260)
Gm10479	peak_521 (-788648)
Gm10549	peak_1221 (+170992)
Gm10577	peak_1853 (-33921)
Gm10670	peak_2275 (+26537)
Gm10715	peak_2491 (+79475), peak_2492 (+108620), peak_2493 (+138579)
Gm10750	peak_1441 (-167862)
Gm10767	peak_686 (-69675)
Gm10800	peak_1413 (-499988)
Gm10801	peak_1412 (-354701)
Gm10944	peak_282 (+293461)
Gm10945	peak_279 (+798380)
Gm10985	peak_1534 (-122677), peak_1535 (-42344), peak_1536 (-2827)
Gm10999	peak_2490 (+7522)
Gm11042	peak_585 (+263131)
Gm11077	peak_2244 (+105652), peak_2245 (+140566), peak_2246 (+481764)
Gm11084	peak_1387 (-7453)
Gm11096	peak_1182 (-196364)
Gm11116	peak_2023 (-147835)
Gm11146	peak_1067 (-316191), peak_1066 (-213057), peak_1065 (+408431), peak_1064 (+446964)
Gm11214	peak_1764 (+10506)
Gm11232	peak_1787 (-322573), peak_1786 (-151208), peak_1785 (+323806), peak_1784 (+886391)
Gm1140	peak_2656 (+222180), peak_2655 (+313110), peak_2654 (+679906)
Gm11487	peak_1792 (+110659)
Gm11758	peak_1794 (+41468)
Gm12166	peak_478 (+38079)
Gm12353	peak_1703 (+65123)
Gm12666	peak_1846 (-794160), peak_1845 (-619319), peak_1844 (-45306)
Gm12689	peak_1851 (+137292)
Gm12728	peak_1862 (-164138), peak_1863 (-54732), peak_1864 (+387173)
Gm12794	peak_1855 (-12598)
Gm12800	peak_1855 (+18688)
Gm12888	peak_1878 (+29803)
Gm13057	peak_1887 (+33471)
Gm13083	peak_1887 (-29823)
Gm13124	peak_1888 (-35921)
Gm13691	peak_1397 (+96702), peak_1398 (+204538)
Gm14569	peak_2614 (+31576)
Gm14819	peak_2613 (+418253)
Gm15091	peak_2743 (+78175), peak_2744 (+177660)
Gm15130	peak_1421 (-27496)
Gm15155	peak_2747 (+439700)
Gm15217	peak_795 (-483687), peak_796 (-270161), peak_797 (-167684)
Gm1527	peak_1500 (-25905)
Gm15294	peak_2737 (+47912)
Gm15440	peak_671 (-70882)
Gm156	peak_2233 (-81408)
Gm1587	peak_821 (+291898), peak_820 (+499215)
Gm16223	peak_1951 (-54884), peak_1952 (+120630), peak_1953 (+938521)
Gm16427	peak_2036 (-158544), peak_2035 (-71818), peak_2034 (+103442), peak_2033 (+133382)
Gm16432	peak_269 (-55477), peak_270 (+19726)
Gm17669	peak_1246 (+349)
Gm19965	peak_192 (+59193), peak_193 (+364180), peak_194 (+401239), peak_195 (+573678), peak_196 (+631272), peak_197 (+784551), peak_198 (+880693)
Gm2012	peak_2612 (+26887)
Gm21188	peak_756 (-238057)
Gm21293	peak_395 (-459384), peak_396 (-389595), peak_397 (-150925)
Gm21738	peak_774 (+114883)
Gm21830	peak_1384 (-407251)
Gm21876	peak_2608 (-234254), peak_2607 (-86415)
Gm27027	peak_1405 (+109898)
Gm281	peak_761 (+220834)
Gm28269	peak_2610 (-761839), peak_2609 (-17458)
Gm28363	peak_192 (-834955), peak_193 (-529968), peak_194 (-492909), peak_195 (-320470), peak_196 (-262876), peak_197 (-109597), peak_198 (-13455)
Gm29106	peak_199 (-103135), peak_200 (-71793), peak_201 (-48102)
Gm34302	peak_1556 (-192681)
Gm3646	peak_73 (+77049)
Gm37596	peak_1594 (-67588)
Gm379	peak_2703 (+678028)
Gm382	peak_2723 (+91330), peak_2724 (+235222), peak_2725 (+336879)
Gm3952	peak_2489 (-231392), peak_2488 (-150530), peak_2487 (-14670)
Gm4141	peak_2276 (+13208)
Gm428	peak_1793 (+67270)
Gm4301	peak_389 (-122964)
Gm43517	peak_560 (+316849)
Gm436	peak_1889 (+33477)
Gm438	peak_1890 (-30332)
Gm44	peak_2688 (-507025), peak_2689 (-46744)
Gm4778	peak_1595 (+2788), peak_1596 (+10149), peak_1597 (+23641)
Gm4788	peak_225 (+64595), peak_224 (+111376), peak_223 (+131187), peak_222 (+193889)
Gm4791	peak_2539 (-582080)
Gm4846	peak_258 (+22152)
Gm4861	peak_1635 (-47672), peak_1634 (+110390)
Gm5148	peak_1512 (-401049)
Gm5150	peak_1475 (+77120)
Gm5168	peak_2612 (-153427)
Gm5346	peak_2385 (+31931)
Gm5415	peak_71 (-860287), peak_70 (-709619), peak_69 (-499079), peak_68 (-473351), peak_67 (-118376), peak_66 (+281511)
Gm5447	peak_649 (+409134)
Gm5538	peak_1549 (-211031)
Gm5622	peak_802 (-36510)
Gm5640	peak_2664 (+12612)
Gm5724	peak_2248 (+19893)
Gm5726	peak_2276 (-17276)
Gm5773	peak_1594 (-12342)
Gm5849	peak_1591 (-191938), peak_1590 (-82987)
Gm5861	peak_1905 (-972227), peak_1906 (-610904), peak_1907 (-118527), peak_1908 (+275508)
Gm5916	peak_2529 (-253868), peak_2528 (-106700)
Gm597	peak_57 (-922744), peak_56 (-588133)
Gm609	peak_1000 (-25879)
Gm6133	peak_1255 (+345928)
Gm6268	peak_2614 (+58974)
Gm6377	peak_2705 (+507112), peak_2706 (+896302)
Gm6460	peak_1908 (-136376)
Gm6594	peak_1183 (-822910), peak_1184 (-369470)
Gm6657	peak_587 (-418683)
Gm6741	peak_1190 (+410588), peak_1191 (+528420)
Gm6793	peak_2479 (-468331)
Gm6812	peak_2659 (-353518), peak_2658 (-254272)
Gm6899	peak_453 (-166901), peak_454 (-125697)
Gm7073	peak_2646 (-168973)
Gm7145	peak_199 (+107468), peak_200 (+138810), peak_201 (+162501)
Gm7257	peak_2528 (-196405), peak_2529 (-49237)
Gm7275	peak_1002 (-768646), peak_1003 (-697724), peak_1004 (-160195), peak_1005 (-92111), peak_1006 (-51710)
Gm732	peak_2703 (-38427)
Gm7356	peak_1095 (-12047)
Gm7361	peak_1936 (+122052)
Gm7489	peak_939 (-310754)
Gm7714	peak_2023 (-9554)
Gm773	peak_2638 (-27659)
Gm7792	peak_2037 (-94860)
Gm7971	peak_2038 (-78265)
Gm7978	peak_2038 (+63033)
Gm8165	peak_792 (+7926)
Gm8225	peak_1120 (-363)
Gm8247	peak_794 (+19646)
Gm8257	peak_794 (+54558)
Gm826	peak_1448 (+388536), peak_1447 (+538702), peak_1446 (+671323), peak_1445 (+981247)
Gm9008	peak_2187 (-230789)
Gm906	peak_670 (+131013), peak_669 (+166292), peak_668 (+228774)
Gm9195	peak_815 (-34772), peak_814 (+434658)
Gm9733	peak_1474 (+345020)
Gm9747	peak_133 (-813069), peak_134 (-734479), peak_135 (-59239)
Gm9805	peak_1116 (-41008)
Gmnc	peak_988 (+123460)
