# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_8	Rp1 (-134105), Sox17 (+1994)
Anti-GFP.mLb.mkD.sorted_peak_12026	Sptssa (+233)
Anti-GFP.mLb.mkD.sorted_peak_12028	Eapp (+326)
Anti-GFP.mLb.mkD.sorted_peak_12047	Baz1a (+604)
Anti-GFP.mLb.mkD.sorted_peak_12086	Aldoart2 (+393)
Anti-GFP.mLb.mkD.sorted_peak_12092	Ralgapa1 (+605)
Anti-GFP.mLb.mkD.sorted_peak_12093	Brms1l (+1373), Mbip (+508197)
Anti-GFP.mLb.mkD.sorted_peak_12101	Mbip (+54)
Anti-GFP.mLb.mkD.sorted_peak_12105	Mbip (-188825), Nkx2-1 (+2189)
Anti-GFP.mLb.mkD.sorted_peak_12110	Pax9 (+3237), Slc25a21 (+465639)
Anti-GFP.mLb.mkD.sorted_peak_12118	Foxa1 (+3732), Mipol1 (+311943)
Anti-GFP.mLb.mkD.sorted_peak_12126	Sstr1 (+1326), Clec14a (+56160)
Anti-GFP.mLb.mkD.sorted_peak_12127	Clec14a (+629)
Anti-GFP.mLb.mkD.sorted_peak_12138	Gemin2 (-1649), Sec23a (+273)
Anti-GFP.mLb.mkD.sorted_peak_12145	Ctage5 (+1246), Fbxo33 (+88716)
Anti-GFP.mLb.mkD.sorted_peak_12147	Fbxo33 (+1123), Ctage5 (+88839)
Anti-GFP.mLb.mkD.sorted_peak_12156	Lrfn5 (-372)
Anti-GFP.mLb.mkD.sorted_peak_12181	Gm527 (+688)
Anti-GFP.mLb.mkD.sorted_peak_12182	Klhl28 (-923), Togaram1 (+653)
Anti-GFP.mLb.mkD.sorted_peak_12187	Wdr20rt (+1065)
Anti-GFP.mLb.mkD.sorted_peak_12195	Rpl10l (+554)
Anti-GFP.mLb.mkD.sorted_peak_12196	Mdga2 (-1107)
Anti-GFP.mLb.mkD.sorted_peak_12209	Lrr1 (-335)
Anti-GFP.mLb.mkD.sorted_peak_12213	Dnaaf2 (+1100), Mgat2 (+13172)
Anti-GFP.mLb.mkD.sorted_peak_12249	Cdkl1 (-269)
Anti-GFP.mLb.mkD.sorted_peak_12254	Atl1 (-1058)
Anti-GFP.mLb.mkD.sorted_peak_12257	Sav1 (+633)
Anti-GFP.mLb.mkD.sorted_peak_12260	Sav1 (-124730), Nin (+1985)
Anti-GFP.mLb.mkD.sorted_peak_12263	Pygl (+869)
Anti-GFP.mLb.mkD.sorted_peak_12287	Arid4a (+313)
Anti-GFP.mLb.mkD.sorted_peak_12302	Dact1 (-22)
Anti-GFP.mLb.mkD.sorted_peak_12321	Daam1 (+315)
Anti-GFP.mLb.mkD.sorted_peak_12327	Gpr135 (+38)
Anti-GFP.mLb.mkD.sorted_peak_12368	Six6 (+57)
Anti-GFP.mLb.mkD.sorted_peak_12386	Slc38a6 (-342), Trmt5 (+272)
Anti-GFP.mLb.mkD.sorted_peak_12419	Kcnh5 (-15)
Anti-GFP.mLb.mkD.sorted_peak_12420	Rhoj (+351)
Anti-GFP.mLb.mkD.sorted_peak_12435	Syne2 (+1617), Esr2 (+357324)
Anti-GFP.mLb.mkD.sorted_peak_12447	Esr2 (-268)
Anti-GFP.mLb.mkD.sorted_peak_12448	Esr2 (-5186), Tex21 (+64298)
Anti-GFP.mLb.mkD.sorted_peak_12455	Tex21 (-3373)
Anti-GFP.mLb.mkD.sorted_peak_12459	Zbtb1 (-199)
Anti-GFP.mLb.mkD.sorted_peak_12464	Ppp1r36 (+337)
Anti-GFP.mLb.mkD.sorted_peak_12470	Plekhg3 (+1851), Sptb (+175316)
Anti-GFP.mLb.mkD.sorted_peak_12484	Sptb (+940)
Anti-GFP.mLb.mkD.sorted_peak_12489	Gpx2 (-3626)
Anti-GFP.mLb.mkD.sorted_peak_12494	Rab15 (+832)
Anti-GFP.mLb.mkD.sorted_peak_12517	Max (-1321)
Anti-GFP.mLb.mkD.sorted_peak_12528	Fut8 (+109)
Anti-GFP.mLb.mkD.sorted_peak_12535	Gphn (-525)
Anti-GFP.mLb.mkD.sorted_peak_12539	Mpp5 (-384)
Anti-GFP.mLb.mkD.sorted_peak_12548	Tmem229b (+214)
Anti-GFP.mLb.mkD.sorted_peak_12551	Plekhh1 (-199)
Anti-GFP.mLb.mkD.sorted_peak_12554	Arg2 (+1145), Vti1b (+40745)
Anti-GFP.mLb.mkD.sorted_peak_12555	Vti1b (+335)
Anti-GFP.mLb.mkD.sorted_peak_12602	Exd2 (+795)
Anti-GFP.mLb.mkD.sorted_peak_12642	Med6 (-35832), Map3k9 (+150337)
Anti-GFP.mLb.mkD.sorted_peak_12645	Map3k9 (-94)
Anti-GFP.mLb.mkD.sorted_peak_12652	Sipa1l1 (-308020), Pcnx (+1370)
Anti-GFP.mLb.mkD.sorted_peak_12655	Sipa1l1 (-463)
Anti-GFP.mLb.mkD.sorted_peak_12706	Heatr4 (-3565), Acot2 (+556)
Anti-GFP.mLb.mkD.sorted_peak_12718	Dnal1 (+537)
Anti-GFP.mLb.mkD.sorted_peak_12731	Ptgr2 (-64990), Elmsan1 (-26227)
Anti-GFP.mLb.mkD.sorted_peak_12739	Zfp410 (+419)
Anti-GFP.mLb.mkD.sorted_peak_12744	Entpd5 (-3495), Bbof1 (-100)
Anti-GFP.mLb.mkD.sorted_peak_12750	Vsx2 (+1217), Abcd4 (+46313)
Anti-GFP.mLb.mkD.sorted_peak_12757	Vrtn (-1034)
Anti-GFP.mLb.mkD.sorted_peak_12758	Vrtn (+7054), Syndig1l (+49222)
Anti-GFP.mLb.mkD.sorted_peak_12780	Pgf (+569)
Anti-GFP.mLb.mkD.sorted_peak_12808	Jdp2 (+764)
Anti-GFP.mLb.mkD.sorted_peak_12823	Erg28 (-769), Ttll5 (+581)
Anti-GFP.mLb.mkD.sorted_peak_12869	Angel1 (+290)
Anti-GFP.mLb.mkD.sorted_peak_12941	Adck1 (+82)
Anti-GFP.mLb.mkD.sorted_peak_12951	Cep128 (+99)
Anti-GFP.mLb.mkD.sorted_peak_12952	Tshr (+167)
Anti-GFP.mLb.mkD.sorted_peak_12954	Gtf2a1 (+239)
Anti-GFP.mLb.mkD.sorted_peak_12965	Ston2 (-72)
Anti-GFP.mLb.mkD.sorted_peak_12966	Sel1l (+372)
Anti-GFP.mLb.mkD.sorted_peak_12989	Galc (+763)
Anti-GFP.mLb.mkD.sorted_peak_12993	Spata7 (+49)
Anti-GFP.mLb.mkD.sorted_peak_13004	Eml5 (+1010), Zc3h14 (+153485)
Anti-GFP.mLb.mkD.sorted_peak_13037	Psmc1 (-144512), Kcnk13 (+1117)
Anti-GFP.mLb.mkD.sorted_peak_13060	Rps6ka5 (+71)
Anti-GFP.mLb.mkD.sorted_peak_13083	Tc2n (+274)
Anti-GFP.mLb.mkD.sorted_peak_13089	Trip11 (+692)
Anti-GFP.mLb.mkD.sorted_peak_13091	Cpsf2 (-474)
Anti-GFP.mLb.mkD.sorted_peak_13092	Slc24a4 (+244)
Anti-GFP.mLb.mkD.sorted_peak_13131	Cox8c (+70)
Anti-GFP.mLb.mkD.sorted_peak_13135	Prima1 (-8)
Anti-GFP.mLb.mkD.sorted_peak_13137	Fam181a (+4003), Asb2 (+41023)
Anti-GFP.mLb.mkD.sorted_peak_13139	Otub2 (+257)
Anti-GFP.mLb.mkD.sorted_peak_13289	Ccnk (-824), Setd3 (+559)
Anti-GFP.mLb.mkD.sorted_peak_13304	Ccdc85c (-1423)
Anti-GFP.mLb.mkD.sorted_peak_13307	Hhipl1 (-4201)
Anti-GFP.mLb.mkD.sorted_peak_13315	Eml1 (+529)
Anti-GFP.mLb.mkD.sorted_peak_13323	Evl (+49)
Anti-GFP.mLb.mkD.sorted_peak_13333	Yy1 (+936)
Anti-GFP.mLb.mkD.sorted_peak_13336	Wars (-1059), Wdr25 (-61)
Anti-GFP.mLb.mkD.sorted_peak_13351	Dlk1 (+984)
Anti-GFP.mLb.mkD.sorted_peak_13370	Ppp2r5c (-39006), Dio3 (+167785)
Anti-GFP.mLb.mkD.sorted_peak_13386	Wdr20 (-35412), Hsp90aa1 (-6185)
Anti-GFP.mLb.mkD.sorted_peak_13390	Wdr20 (+767)
Anti-GFP.mLb.mkD.sorted_peak_13408	Rcor1 (-816)
Anti-GFP.mLb.mkD.sorted_peak_13418	Amn (+2388), Cdc42bpb (+104235)
Anti-GFP.mLb.mkD.sorted_peak_13431	Exoc3l4 (-12)
Anti-GFP.mLb.mkD.sorted_peak_13434	Tnfaip2 (-507)
Anti-GFP.mLb.mkD.sorted_peak_13437	Gm266 (-260)
Anti-GFP.mLb.mkD.sorted_peak_13448	Mark3 (-99)
Anti-GFP.mLb.mkD.sorted_peak_13456	Bag5 (-2016), Apopt1 (+1993)
Anti-GFP.mLb.mkD.sorted_peak_13459	Klc1 (+1442), Xrcc3 (+53550)
Anti-GFP.mLb.mkD.sorted_peak_13469	Ppp1r13b (+397)
Anti-GFP.mLb.mkD.sorted_peak_13481	Kif26a (-284)
Anti-GFP.mLb.mkD.sorted_peak_13541	Btbd6 (+810)
Anti-GFP.mLb.mkD.sorted_peak_13542	Brf1 (+312)
Anti-GFP.mLb.mkD.sorted_peak_13543	Pacs2 (+383)
Anti-GFP.mLb.mkD.sorted_peak_13574	Vipr2 (+875)
Anti-GFP.mLb.mkD.sorted_peak_13592	Cdca7l (-309716), Rapgef5 (+17320)
Anti-GFP.mLb.mkD.sorted_peak_13599	Cdca7l (+1150), Dnah11 (+354378)
Anti-GFP.mLb.mkD.sorted_peak_13601	Sp4 (-234)
Anti-GFP.mLb.mkD.sorted_peak_13620	Tmem196 (-269)
Anti-GFP.mLb.mkD.sorted_peak_13688	Adarb2 (+318)
Anti-GFP.mLb.mkD.sorted_peak_13693	Idi1 (+227)
Anti-GFP.mLb.mkD.sorted_peak_13704	Dip2c (+634)
Anti-GFP.mLb.mkD.sorted_peak_13714	Zmynd11 (+1474), Dip2c (+486486)
Anti-GFP.mLb.mkD.sorted_peak_13730	Ryr2 (+575)
Anti-GFP.mLb.mkD.sorted_peak_13739	Actn2 (+285)
Anti-GFP.mLb.mkD.sorted_peak_13745	Edaradd (+67)
Anti-GFP.mLb.mkD.sorted_peak_13768	Lyst (+991)
Anti-GFP.mLb.mkD.sorted_peak_13773	Gng4 (+804)
Anti-GFP.mLb.mkD.sorted_peak_13783	Ggps1 (-256), Arid4b (-48)
Anti-GFP.mLb.mkD.sorted_peak_13786	Hecw1 (+684)
Anti-GFP.mLb.mkD.sorted_peak_13818	Cdk13 (+423)
Anti-GFP.mLb.mkD.sorted_peak_13825	Rala (-34)
Anti-GFP.mLb.mkD.sorted_peak_13827	Rala (-6192), Yae1d1 (+42918)
Anti-GFP.mLb.mkD.sorted_peak_13845	Epdr1 (-1925), Sfrp4 (-1446)
Anti-GFP.mLb.mkD.sorted_peak_13851	Aoah (-702072), Elmo1 (+1422)
Anti-GFP.mLb.mkD.sorted_peak_13869	Olfr1368 (-24740), Trim27 (-8838)
Anti-GFP.mLb.mkD.sorted_peak_13886	Zkscan3 (-4927)
Anti-GFP.mLb.mkD.sorted_peak_13887	Pgbd1 (-361)
Anti-GFP.mLb.mkD.sorted_peak_13918	Zfp184 (-21845), Hist1h2br (+89524)
Anti-GFP.mLb.mkD.sorted_peak_13920	Pom121l2 (-5284), Zfp184 (+31124)
Anti-GFP.mLb.mkD.sorted_peak_13924	Prss16 (-13810), Hist1h2ah (+12017)
Anti-GFP.mLb.mkD.sorted_peak_13952	Abt1 (-7105), Btn1a1 (+34904)
Anti-GFP.mLb.mkD.sorted_peak_13955	Btn1a1 (+371)
Anti-GFP.mLb.mkD.sorted_peak_13962	Hist1h4f (-4041), Hist1h1d (+2427)
Anti-GFP.mLb.mkD.sorted_peak_13975	Hfe (+69)
Anti-GFP.mLb.mkD.sorted_peak_13982	Hist1h2aa (-402), Hist1h2ba (+96)
Anti-GFP.mLb.mkD.sorted_peak_13984	Scgn (+164)
Anti-GFP.mLb.mkD.sorted_peak_13991	Ripor2 (+856)
Anti-GFP.mLb.mkD.sorted_peak_14002	Aldh5a1 (+449)
Anti-GFP.mLb.mkD.sorted_peak_14008	Dcdc2a (-646)
Anti-GFP.mLb.mkD.sorted_peak_14011	Nrsn1 (+378)
Anti-GFP.mLb.mkD.sorted_peak_14018	Hdgfl1 (+341)
Anti-GFP.mLb.mkD.sorted_peak_14051	E2f3 (+869)
Anti-GFP.mLb.mkD.sorted_peak_14060	Agtr1a (+299)
Anti-GFP.mLb.mkD.sorted_peak_14063	Irf4 (+917)
Anti-GFP.mLb.mkD.sorted_peak_14065	Hus1b (+251)
Anti-GFP.mLb.mkD.sorted_peak_14066	Gm5447 (-788)
Anti-GFP.mLb.mkD.sorted_peak_14074	A530084C06Rik (+509)
Anti-GFP.mLb.mkD.sorted_peak_14077	Foxc1 (+446)
Anti-GFP.mLb.mkD.sorted_peak_14082	D930007J09Rik (-168), Wrnip1 (+979)
Anti-GFP.mLb.mkD.sorted_peak_14096	Ripk1 (-334)
Anti-GFP.mLb.mkD.sorted_peak_14113	Slc22a23 (+79)
Anti-GFP.mLb.mkD.sorted_peak_14123	Fam217a (+3237), Prpf4b (+41456)
Anti-GFP.mLb.mkD.sorted_peak_14125	Eci3 (-641)
Anti-GFP.mLb.mkD.sorted_peak_14132	Cdyl (+81802), Rpp40 (+164724)
Anti-GFP.mLb.mkD.sorted_peak_14139	Fars2 (-148638), Ppp1r3g (+9935)
Anti-GFP.mLb.mkD.sorted_peak_14140	Lyrm4 (-71), Fars2 (+185)
Anti-GFP.mLb.mkD.sorted_peak_14144	Lyrm4 (-612991), Nrn1 (+3960)
Anti-GFP.mLb.mkD.sorted_peak_14171	Rreb1 (+2975), Ssr1 (+164927)
Anti-GFP.mLb.mkD.sorted_peak_14180	Cage1 (-235), Riok1 (+163)
Anti-GFP.mLb.mkD.sorted_peak_14194	Bmp6 (+1183), Txndc5 (+182200)
Anti-GFP.mLb.mkD.sorted_peak_14206	Slc35b3 (+618)
Anti-GFP.mLb.mkD.sorted_peak_14224	Tfap2a (-744)
Anti-GFP.mLb.mkD.sorted_peak_14258	Mak (-35243), Gcm2 (+4471)
Anti-GFP.mLb.mkD.sorted_peak_14259	Gcm2 (-4010), Sycp2l (-114)
Anti-GFP.mLb.mkD.sorted_peak_14264	Elovl2 (+519)
Anti-GFP.mLb.mkD.sorted_peak_14268	Smim13 (+734)
Anti-GFP.mLb.mkD.sorted_peak_14272	Tmem170b (+249)
Anti-GFP.mLb.mkD.sorted_peak_14274	Hivep1 (-471)
Anti-GFP.mLb.mkD.sorted_peak_14314	Mcur1 (+329)
Anti-GFP.mLb.mkD.sorted_peak_14370	Dtnbp1 (+420)
Anti-GFP.mLb.mkD.sorted_peak_14393	Rbm24 (+171)
Anti-GFP.mLb.mkD.sorted_peak_14395	Cap2 (+515)
Anti-GFP.mLb.mkD.sorted_peak_14401	Fam8a1 (+204)
Anti-GFP.mLb.mkD.sorted_peak_14415	Nup153 (-199764), Kif13a (+2014)
Anti-GFP.mLb.mkD.sorted_peak_14423	Tpmt (-1653), Kdm1b (+1364)
Anti-GFP.mLb.mkD.sorted_peak_14466	Barx1 (+657)
Anti-GFP.mLb.mkD.sorted_peak_14483	Phf2 (+510)
Anti-GFP.mLb.mkD.sorted_peak_14499	Ninj1 (+142)
Anti-GFP.mLb.mkD.sorted_peak_14501	Card19 (-94)
Anti-GFP.mLb.mkD.sorted_peak_14514	Nutm2 (-2387)
Anti-GFP.mLb.mkD.sorted_peak_14601	Auh (-50092), Nfil3 (+1320)
Anti-GFP.mLb.mkD.sorted_peak_14635	Drd1 (+236)
Anti-GFP.mLb.mkD.sorted_peak_14645	Cplx2 (-68253), Hrh2 (+110967)
Anti-GFP.mLb.mkD.sorted_peak_14649	Cplx2 (+452)
Anti-GFP.mLb.mkD.sorted_peak_14656	Simc1 (-101)
Anti-GFP.mLb.mkD.sorted_peak_14663	Cltb (+947)
Anti-GFP.mLb.mkD.sorted_peak_14668	Rnf44 (+6095), Faf2 (+60215)
Anti-GFP.mLb.mkD.sorted_peak_14698	Hk3 (-1142)
Anti-GFP.mLb.mkD.sorted_peak_14723	Pfn3 (-5627), F12 (+5934)
Anti-GFP.mLb.mkD.sorted_peak_14727	Prr7 (+727)
Anti-GFP.mLb.mkD.sorted_peak_14736	Pdlim7 (-10478), Dok3 (+5372)
Anti-GFP.mLb.mkD.sorted_peak_14747	Caml (+260)
Anti-GFP.mLb.mkD.sorted_peak_14756	Pcbd2 (-10817), Txndc15 (+1901)
Anti-GFP.mLb.mkD.sorted_peak_14757	Pcbd2 (+884)
Anti-GFP.mLb.mkD.sorted_peak_14767	Pitx1 (+362)
Anti-GFP.mLb.mkD.sorted_peak_14779	H2afy (+567)
Anti-GFP.mLb.mkD.sorted_peak_14815	Smad5 (+933)
Anti-GFP.mLb.mkD.sorted_peak_14816	Gm45623 (+588)
Anti-GFP.mLb.mkD.sorted_peak_14841	Klhl3 (-11312), Hnrnpa0 (+14816)
Anti-GFP.mLb.mkD.sorted_peak_14842	Hnrnpa0 (-100)
Anti-GFP.mLb.mkD.sorted_peak_14854	Gkap1 (-250)
Anti-GFP.mLb.mkD.sorted_peak_14876	Slc28a3 (-4167)
Anti-GFP.mLb.mkD.sorted_peak_14884	Ntrk2 (+717)
Anti-GFP.mLb.mkD.sorted_peak_14898	Agtpbp1 (+896)
Anti-GFP.mLb.mkD.sorted_peak_14899	Naa35 (-68)
Anti-GFP.mLb.mkD.sorted_peak_14913	Isca1 (-152)
Anti-GFP.mLb.mkD.sorted_peak_14915	Zcchc6 (+527)
Anti-GFP.mLb.mkD.sorted_peak_14919	Gas1 (+22)
Anti-GFP.mLb.mkD.sorted_peak_14958	Zfp935 (-107), Zfp934 (-107)
Anti-GFP.mLb.mkD.sorted_peak_14965	Gm5141 (+242)
Anti-GFP.mLb.mkD.sorted_peak_14966	Gm5141 (-3549)
Anti-GFP.mLb.mkD.sorted_peak_14970	Gm5141 (-70776), Fbp2 (+1838)
Anti-GFP.mLb.mkD.sorted_peak_14973	Fbp1 (+209)
Anti-GFP.mLb.mkD.sorted_peak_14983	Fancc (+290)
Anti-GFP.mLb.mkD.sorted_peak_14990	Ptch1 (-598)
Anti-GFP.mLb.mkD.sorted_peak_14994	Ercc6l2 (+275)
Anti-GFP.mLb.mkD.sorted_peak_15011	Cdc14b (+22784), Habp4 (+90335)
Anti-GFP.mLb.mkD.sorted_peak_15015	Aaed1 (+120)
Anti-GFP.mLb.mkD.sorted_peak_15020	Cdk20 (+368)
Anti-GFP.mLb.mkD.sorted_peak_15031	Mfsd14b (-230)
Anti-GFP.mLb.mkD.sorted_peak_15041	Zfp369 (-795)
Anti-GFP.mLb.mkD.sorted_peak_15114	Mterf3 (+39), Ptdss1 (+219)
Anti-GFP.mLb.mkD.sorted_peak_15120	Zfp708 (+364)
Anti-GFP.mLb.mkD.sorted_peak_15132	Gm28044 (+135), Zfp953 (+204)
Anti-GFP.mLb.mkD.sorted_peak_15138	Zfp874a (-384)
Anti-GFP.mLb.mkD.sorted_peak_15139	Zfp874b (-470)
Anti-GFP.mLb.mkD.sorted_peak_15144	Zfp729b (+283)
Anti-GFP.mLb.mkD.sorted_peak_15145	Zfp729a (+80)
Anti-GFP.mLb.mkD.sorted_peak_15169	BC048507 (+94)
Anti-GFP.mLb.mkD.sorted_peak_15190	Srd5a1 (-756), Nsun2 (+182)
Anti-GFP.mLb.mkD.sorted_peak_15204	Adamts16 (+263)
Anti-GFP.mLb.mkD.sorted_peak_15212	Irx1 (+3183)
Anti-GFP.mLb.mkD.sorted_peak_15221	Irx4 (-630450), Irx2 (+1227)
Anti-GFP.mLb.mkD.sorted_peak_15242	Slc6a3 (-510)
Anti-GFP.mLb.mkD.sorted_peak_15252	Cep72 (+612)
Anti-GFP.mLb.mkD.sorted_peak_15253	Slc9a3 (-163)
Anti-GFP.mLb.mkD.sorted_peak_15255	Exoc3 (+267)
Anti-GFP.mLb.mkD.sorted_peak_15257	Ahrr (+91)
Anti-GFP.mLb.mkD.sorted_peak_15258	Pdcd6 (-26)
Anti-GFP.mLb.mkD.sorted_peak_15273	Zfp825 (-123272), Erap1 (-22326)
Anti-GFP.mLb.mkD.sorted_peak_15278	Cast (-257)
Anti-GFP.mLb.mkD.sorted_peak_15280	Cast (-4557)
Anti-GFP.mLb.mkD.sorted_peak_15292	Rhobtb3 (+296)
Anti-GFP.mLb.mkD.sorted_peak_15295	Gpr150 (+915)
Anti-GFP.mLb.mkD.sorted_peak_15301	2210408I21Rik (-170), Slf1 (+103)
Anti-GFP.mLb.mkD.sorted_peak_15317	Nr2f1 (+546)
Anti-GFP.mLb.mkD.sorted_peak_15337	Adgrv1 (+433)
Anti-GFP.mLb.mkD.sorted_peak_15342	Mblac2 (-398), Polr3g (+70)
Anti-GFP.mLb.mkD.sorted_peak_15353	Mef2c (-5736)
Anti-GFP.mLb.mkD.sorted_peak_15354	Mef2c (-658)
Anti-GFP.mLb.mkD.sorted_peak_15373	Ccnh (+693)
Anti-GFP.mLb.mkD.sorted_peak_15415	Ssbp2 (+643)
Anti-GFP.mLb.mkD.sorted_peak_15419	Acot12 (-109)
Anti-GFP.mLb.mkD.sorted_peak_15430	Zfyve16 (-509)
Anti-GFP.mLb.mkD.sorted_peak_15441	Homer1 (-3690)
Anti-GFP.mLb.mkD.sorted_peak_15443	Jmy (+530)
Anti-GFP.mLb.mkD.sorted_peak_15451	Bhmt2 (-107), Dmgdh (-24)
Anti-GFP.mLb.mkD.sorted_peak_15464	Scamp1 (+646)
Anti-GFP.mLb.mkD.sorted_peak_15482	Tbca (+777)
Anti-GFP.mLb.mkD.sorted_peak_15486	Otp (-3144)
Anti-GFP.mLb.mkD.sorted_peak_15491	Wdr41 (+283)
Anti-GFP.mLb.mkD.sorted_peak_15497	Zbed3 (-73827), Pde8b (-26719)
Anti-GFP.mLb.mkD.sorted_peak_15502	Crhbp (+179)
Anti-GFP.mLb.mkD.sorted_peak_15531	Sv2c (+573)
Anti-GFP.mLb.mkD.sorted_peak_15534	Ankdd1b (+148)
Anti-GFP.mLb.mkD.sorted_peak_15535	Polk (-792), Col4a3bp (+542)
Anti-GFP.mLb.mkD.sorted_peak_15540	Ankrd31 (+385)
Anti-GFP.mLb.mkD.sorted_peak_15552	Fam169a (+3013), Gm6169 (+28938)
Anti-GFP.mLb.mkD.sorted_peak_15629	Tmem171 (-113)
Anti-GFP.mLb.mkD.sorted_peak_15630	Fcho2 (+797)
Anti-GFP.mLb.mkD.sorted_peak_15636	Tnpo1 (+77)
Anti-GFP.mLb.mkD.sorted_peak_15652	Mrps27 (-631), Ptcd2 (+550)
Anti-GFP.mLb.mkD.sorted_peak_15662	Cartpt (+118)
Anti-GFP.mLb.mkD.sorted_peak_15684	Ocln (-61399), Marveld2 (+2805)
Anti-GFP.mLb.mkD.sorted_peak_15694	Cdk7 (-12664), Mrps36 (+1056)
Anti-GFP.mLb.mkD.sorted_peak_15712	Slc30a5 (-931690), Pik3r1 (+3100)
Anti-GFP.mLb.mkD.sorted_peak_15750	Sgtb (-227), Nln (+100)
Anti-GFP.mLb.mkD.sorted_peak_15767	Rnf180 (-1212)
Anti-GFP.mLb.mkD.sorted_peak_15769	Htr1a (+733)
Anti-GFP.mLb.mkD.sorted_peak_15807	Kif2a (-867752), Smim15 (-154623)
Anti-GFP.mLb.mkD.sorted_peak_15813	Smim15 (-778)
Anti-GFP.mLb.mkD.sorted_peak_15817	Elovl7 (+329)
Anti-GFP.mLb.mkD.sorted_peak_15825	Depdc1b (-6090), Elovl7 (+95838)
Anti-GFP.mLb.mkD.sorted_peak_15827	Depdc1b (-103)
Anti-GFP.mLb.mkD.sorted_peak_15867	Rab3c (-332)
Anti-GFP.mLb.mkD.sorted_peak_15877	Gpbp1 (+104)
Anti-GFP.mLb.mkD.sorted_peak_15886	Mier3 (+171)
Anti-GFP.mLb.mkD.sorted_peak_15894	Map3k1 (+1711), Mier3 (+121104)
Anti-GFP.mLb.mkD.sorted_peak_15919	Slc38a9 (-54)
Anti-GFP.mLb.mkD.sorted_peak_15933	Plpp1 (+241)
Anti-GFP.mLb.mkD.sorted_peak_15943	Cdc20b (-36467), Mcidas (+5067)
Anti-GFP.mLb.mkD.sorted_peak_15946	Cdc20b (-1403)
Anti-GFP.mLb.mkD.sorted_peak_15964	Hspb3 (+172)
Anti-GFP.mLb.mkD.sorted_peak_15987	Itga2 (+91)
Anti-GFP.mLb.mkD.sorted_peak_16000	Isl1 (-177)
Anti-GFP.mLb.mkD.sorted_peak_16024	Nnt (+110)
Anti-GFP.mLb.mkD.sorted_peak_16026	Paip1 (-1830)
Anti-GFP.mLb.mkD.sorted_peak_16041	Zfp131 (-45381), Tcstv1 (+58476)
Anti-GFP.mLb.mkD.sorted_peak_16064	2610042L04Rik (-110)
Anti-GFP.mLb.mkD.sorted_peak_16122	Dnase1l3 (-2592)
Anti-GFP.mLb.mkD.sorted_peak_16124	Abhd6 (-392)
Anti-GFP.mLb.mkD.sorted_peak_16140	Fam107a (-7855), Oit1 (+61122)
Anti-GFP.mLb.mkD.sorted_peak_16158	Fhit (+258)
Anti-GFP.mLb.mkD.sorted_peak_16184	Fezf2 (+2187), 3830406C13Rik (+59484)
Anti-GFP.mLb.mkD.sorted_peak_16185	Fezf2 (-4858)
Anti-GFP.mLb.mkD.sorted_peak_16192	Synpr (+91)
Anti-GFP.mLb.mkD.sorted_peak_16201	Thoc7 (-199)
Anti-GFP.mLb.mkD.sorted_peak_16202	Atxn7 (+475)
Anti-GFP.mLb.mkD.sorted_peak_16215	Nek10 (-99723), Slc4a7 (+1413)
Anti-GFP.mLb.mkD.sorted_peak_16229	Top2b (+201)
Anti-GFP.mLb.mkD.sorted_peak_16247	Ube2e1 (+2615), Nkiras1 (+58108)
Anti-GFP.mLb.mkD.sorted_peak_16260	Nid2 (+624)
Anti-GFP.mLb.mkD.sorted_peak_16312	Fut11 (+168)
Anti-GFP.mLb.mkD.sorted_peak_16322	Camk2g (-429)
Anti-GFP.mLb.mkD.sorted_peak_16325	Plau (-143)
Anti-GFP.mLb.mkD.sorted_peak_16337	Kat6b (-423789), Adk (+23422)
Anti-GFP.mLb.mkD.sorted_peak_16370	Comtd1 (-139481), Zfp503 (+1143)
Anti-GFP.mLb.mkD.sorted_peak_16376	Kcnma1 (+136)
Anti-GFP.mLb.mkD.sorted_peak_16387	Kcnma1 (-240710), Dlg5 (+1005)
Anti-GFP.mLb.mkD.sorted_peak_16400	Zmiz1 (-67)
Anti-GFP.mLb.mkD.sorted_peak_16408	Ppif (-86108), Zmiz1 (+148838)
Anti-GFP.mLb.mkD.sorted_peak_16412	Ppif (+98)
Anti-GFP.mLb.mkD.sorted_peak_16417	Zcchc24 (-550)
Anti-GFP.mLb.mkD.sorted_peak_16425	Anxa11 (+757)
Anti-GFP.mLb.mkD.sorted_peak_16457	Appl1 (+1041), Asb14 (+75634)
Anti-GFP.mLb.mkD.sorted_peak_16490	Ccdc66 (+250)
Anti-GFP.mLb.mkD.sorted_peak_16498	Lrtm1 (-509522), Wnt5a (+3936)
Anti-GFP.mLb.mkD.sorted_peak_16507	Cacna2d3 (-43)
Anti-GFP.mLb.mkD.sorted_peak_16532	Sfmbt1 (+189)
Anti-GFP.mLb.mkD.sorted_peak_16538	Spcs1 (+92), Glt8d1 (+141)
Anti-GFP.mLb.mkD.sorted_peak_16542	Nt5dc2 (-4137), Smim4 (-1823)
Anti-GFP.mLb.mkD.sorted_peak_16556	Dnah1 (-197)
Anti-GFP.mLb.mkD.sorted_peak_16557	Capn7 (+765)
