# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1110004E09Rik	peak_1985 (+30812)
Cnksr2	peak_5032 (-557597), peak_5031 (-69291)
Cnot2	peak_656 (-146767)
Cnot6l	peak_3710 (+41908)
Cnrip1	peak_718 (+47362)
Cntln	peak_3327 (+150880)
Cntn3	peak_4061 (-111712), peak_4060 (+531656)
Cntn4	peak_4064 (-215288), peak_4065 (-14755)
Cntn5	peak_4625 (-747291), peak_4624 (-512408), peak_4623 (-236084), peak_4622 (+346548), peak_4621 (+614120), peak_4620 (+680993)
Cntnap2	peak_3970 (-639539), peak_3971 (-500697), peak_3972 (-328668), peak_3973 (+426028)
Cntnap4	peak_4555 (-86676), peak_4556 (+81774), peak_4557 (+227696), peak_4558 (+262945)
Cntnap5a	peak_265 (-913748), peak_266 (-875534), peak_267 (+114797)
Cntnap5b	peak_232 (+51402), peak_233 (+863558)
Cntnap5c	peak_2154 (-110461), peak_2155 (-70568), peak_2156 (+204455), peak_2157 (+401518), peak_2158 (+555219)
Cobl	peak_710 (-914186), peak_709 (-851055), peak_708 (-441145)
Col11a1	peak_3027 (-183454)
Col12a1	peak_4747 (+315411), peak_4746 (+375918), peak_4745 (+464211)
Col15a1	peak_3220 (+36888)
Col17a1	peak_2457 (-13485), peak_2456 (+10428), peak_2455 (+22718)
Col19a1	peak_66 (+91091)
Col1a1	peak_863 (-19956)
Col26a1	peak_3855 (+46746)
Col3a1	peak_115 (-352367), peak_116 (-145653), peak_117 (-105716)
Col8a1	peak_1904 (-250570)
Colec10	peak_1724 (+40018)
Commd3	peak_2517 (-115333)
Cops8	peak_211 (-178209)
Coq8a	peak_388 (+54311)
Coro2b	peak_4719 (+15328), peak_4718 (+47950)
Cox15	peak_2438 (+18922)
Cox18	peak_3694 (-11603)
Cox6c	peak_1678 (-53933)
Cox7b2	peak_3649 (-8067), peak_3648 (+22840), peak_3647 (+158913)
Cox7c	peak_1347 (-543707), peak_1346 (-241508), peak_1345 (+111246), peak_1344 (+200764)
Cpa6	peak_27 (-85772), peak_26 (+24710)
Cpe	peak_4455 (+26395), peak_4454 (+129820)
Cpeb2	peak_3595 (-226689), peak_3596 (-162147), peak_3597 (+122241)
Cplx2	peak_1272 (-39364)
Cpm	peak_659 (-34659)
Cpn1	peak_2440 (+5817)
Cps1	peak_165 (+419851)
Cpsf1	peak_1755 (+12363)
Cpsf4l	peak_899 (-13497)
Cpvl	peak_3994 (-7727)
Cpxcr1	peak_4984 (-243818)
Cpz	peak_3582 (+36514)
Cradd	peak_612 (-28471), peak_611 (-7871)
Crb2	peak_2565 (-17736)
Crbn	peak_4068 (-340210), peak_4067 (-303015)
Creb3l1	peak_2661 (-17544), peak_2660 (+29077)
Creb3l2	peak_3964 (-22633)
Creb5	peak_3993 (-105078)
Crim1	peak_2192 (-967833), peak_2193 (-371017), peak_2194 (-124554), peak_2195 (+32413), peak_2196 (+79978)
Cript	peak_2215 (+37691)
Crisp1	peak_2117 (-52621)
Crisp4	peak_48 (+67670)
Crispld1	peak_44 (-41349), peak_45 (-21836), peak_46 (+176859), peak_47 (+195789)
Crispld2	peak_4567 (-36018), peak_4568 (+21234)
Crnkl1	peak_2728 (-110777)
Crocc2	peak_216 (+21688)
Crot	peak_3524 (-51689)
Crtc1	peak_4474 (+20567)
Cryaa	peak_2097 (+68942)
Crygf	peak_163 (+53337)
Cryl1	peak_1513 (+53563)
Csf1	peak_3018 (-52073)
Csl	peak_622 (+19450), peak_621 (+91498), peak_620 (+159712), peak_619 (+163911)
Csmd1	peak_4365 (-498759), peak_4364 (+36173), peak_4363 (+344918)
Csmd3	peak_1711 (-457036), peak_1710 (-323153), peak_1709 (-302297), peak_1708 (+394161)
Csnk2a1	peak_2737 (-29341)
Csnka2ip	peak_1923 (-93591), peak_1922 (+28966), peak_1921 (+176686)
Csrnp3	peak_2617 (+26332)
Cstl1	peak_2731 (+7007)
Ctag2	peak_4901 (+105839)
Ctcf	peak_4537 (-15233)
Ctdp1	peak_2352 (-97707)
Ctdspl	peak_4809 (+14259), peak_4810 (+34059)
Ctif	peak_2346 (+103113), peak_2345 (+133952)
Ctnna2	peak_4027 (-175979), peak_4026 (-47518)
Ctnna3	peak_534 (+205851)
Ctnnb1	peak_4818 (-177513)
Ctnnbl1	peak_2746 (+81621)
Ctnnd2	peak_1667 (-76633)
Cts3	peak_1289 (-15766)
Cts7	peak_1287 (-64126), peak_1286 (-38989)
Ctsc	peak_4252 (-277087)
Ctsm	peak_1288 (+78053)
Ctso	peak_2969 (-316300), peak_2970 (-220199), peak_2971 (-151521), peak_2972 (-96634)
Cttn	peak_4332 (+59874)
Cul1	peak_3976 (-877145), peak_3977 (-167940), peak_3978 (-21915)
Cul3	peak_192 (-43270)
Cux2	peak_3804 (-18753), peak_3803 (+67561)
Cuzd1	peak_4313 (+23820)
Cwc22	peak_2639 (-51408)
Cwc27	peak_1385 (+156234)
Cwf19l2	peak_4605 (-24227)
Cxcl12	peak_4093 (-81490)
Cxcl13	peak_3709 (-29895)
Cxcl15	peak_3696 (+24469)
Cxcl2	peak_3697 (+6039)
Cxcr4	peak_294 (-181034)
Cxcr5	peak_4678 (-6471)
Cxxc4	peak_3057 (+212787), peak_3058 (+261719)
Cyb5b	peak_4540 (+55172)
Cylc2	peak_3226 (-585675), peak_3227 (-516262), peak_3228 (-198100), peak_3229 (+82616), peak_3230 (+438348)
Cyld	peak_4512 (+116055)
Cyp11b2	peak_1753 (-6361)
Cyp2ab1	peak_1828 (+6160)
Cyp2c39	peak_2430 (+13025)
Cyp2c66	peak_2429 (+43490)
Cyp2d10	peak_1768 (-10299)
Cyp2s1	peak_4187 (-11802)
Cyp3a16	peak_3866 (-11889)
Cyp3a41a	peak_3867 (-13580)
Cyp4a29	peak_3398 (-41191), peak_3399 (+13409)
Cyp4a32	peak_3400 (-16947)
Cypt1	peak_4837 (-726537), peak_4838 (-613839), peak_4839 (-119973), peak_4840 (-82446)
Cypt12	peak_2831 (-762729), peak_2832 (-212954)
Cypt14	peak_4865 (-36601), peak_4864 (+57850), peak_4863 (+196221)
Cypt15	peak_4861 (-14167), peak_4862 (+248574)
Cysltr2	peak_1541 (+69783), peak_1540 (+100917)
Cystm1	peak_2277 (+43761)
Cyth3	peak_3862 (-13056)
Cyth4	peak_1760 (+14006)
D10Jhu81e	peak_576 (+6740)
D10Wsu102e	peak_586 (+44821)
D16Ertd472e	peak_1960 (+27554)
D1Ertd622e	peak_226 (+149185), peak_225 (+238536)
D1Pas1	peak_401 (+95367)
D330045A20Rik	peak_5007 (-16521)
D3Ertd751e	peak_2883 (+27420), peak_2884 (+373782), peak_2885 (+582255)
D430019H16Rik	peak_1118 (+14419)
D630036H23Rik	peak_981 (-103143)
Dab1	peak_3375 (-277949)
Dab2	peak_1621 (-329825), peak_1622 (-110861)
Dab2ip	peak_2562 (-17718), peak_2563 (+21513), peak_2564 (+98343)
Dach1	peak_1577 (-68666)
Dach2	peak_4978 (-47760), peak_4979 (+311427)
Dad1	peak_1507 (+117198)
Dagla	peak_2383 (+9478)
Dao	peak_3763 (+26531)
Dap	peak_1668 (-23397)
Dapk1	peak_1284 (-212069), peak_1285 (-176082)
Dapk2	peak_4728 (+62321)
Dapl1	peak_2604 (-76290)
Dbnl	peak_699 (-10729)
Dbr1	peak_4773 (+15008)
Dbx1	peak_4221 (+88741)
Dbx2	peak_1788 (+15934)
Dcaf4	peak_1076 (-14003)
Dcbld2	peak_1905 (-168801)
Dcc	peak_2334 (-225905), peak_2333 (-155420)
Dchs2	peak_2973 (+142781)
Dclk2	peak_2978 (+57484)
Dclk3	peak_4801 (-46944)
Dcst2	peak_2983 (-5689)
Dctd	peak_4421 (+165158)
Dcun1d4	peak_3655 (+22197)
Ddc	peak_707 (-68266), peak_706 (+24970), peak_705 (+41902)
Ddhd1	peak_1489 (-237682)
Ddit4l	peak_3062 (-23378), peak_3063 (+35280)
Ddost	peak_3458 (-15936)
Ddx10	peak_4700 (+255348)
Ddx18	peak_285 (-518501), peak_284 (-170116)
Ddx19a	peak_4552 (-10857), peak_4551 (+20999)
Ddx3x	peak_4832 (+84385)
Ddx43	peak_4742 (-6202)
Ddx58	peak_3201 (+34103)
Ddx6	peak_4679 (-17242)
Def6	peak_2083 (-6620)
Defa17	peak_4369 (-15039)
Defb14	peak_4368 (-13929)
Defb30	peak_1522 (+12397)
Defb38	peak_4367 (-18775)
Defb41	peak_49 (-393793)
Dennd1b	peak_316 (+159390)
Dennd4c	peak_3332 (-39911)
Dennd6a	peak_1458 (-13452)
Dgkb	peak_984 (-106469), peak_985 (-36027)
Dgkh	peak_1552 (+60835)
Dhdh	peak_4219 (-6158)
Dhrs3	peak_3480 (+107008)
Dhrs7	peak_1059 (-29038), peak_1058 (+36542)
Dhx15	peak_3610 (+217150)
Dhx35	peak_2751 (+551440)
Dhx37	peak_3822 (+14660)
Diaph2	peak_4996 (-346670), peak_4997 (-320822), peak_4998 (-136328), peak_4999 (+454244)
Diaph3	peak_1566 (+200563)
Dicer1	peak_1113 (+60851)
Dio1	peak_3384 (+13068)
Dio2	peak_1087 (-102819), peak_1086 (+656220)
Dip2a	peak_569 (-29597)
Dip2c	peak_1179 (-42383)
Dirc2	peak_1863 (+87360)
Disc1	peak_4594 (+33985), peak_4595 (+200291)
Dkk1	peak_2421 (-111252), peak_2420 (-55670)
Dlg2	peak_4257 (+657192)
Dlg3	peak_4962 (+97598)
Dlg5	peak_1453 (+102499)
Dlgap1	peak_2182 (-274745), peak_2183 (-100961)
Dlgap2	peak_4359 (+100477)
Dlgap3	peak_3429 (+20853)
Dll1	peak_2038 (+7463)
Dmd	peak_4928 (-710267), peak_4929 (-293902), peak_4930 (+28304)
Dmrt2	peak_2410 (+198040)
Dmrta1	peak_3340 (-69391), peak_3341 (+104666), peak_3342 (+188116)
Dmrta2	peak_3389 (+125880)
Dnah2	peak_821 (+19532), peak_820 (+56806)
Dnah5	peak_1666 (+55831)
Dnah7a	peak_136 (+93142)
Dnah7c	peak_120 (+24436)
Dnajb5	peak_3208 (-11948)
Dnajb9	peak_999 (-20789), peak_998 (+281112), peak_997 (+461458), peak_996 (+479595)
Dnajc1	peak_2516 (-84194)
Dnajc28	peak_1989 (+7116)
Dnajc5b	peak_2838 (-68268)
Dnase1	peak_1806 (-14216)
Dnase1l3	peak_1413 (+22683)
Dnm1l	peak_1822 (-40064)
Dnm3	peak_360 (-11752)
Dnmbp	peak_2439 (+10225)
Dnmt3a	peak_930 (+27291)
Doc2b	peak_834 (-48008)
Dock1	peak_4319 (+7833)
Dock11	peak_4855 (-66396)
Dock3	peak_4793 (+97274), peak_4792 (+141990)
Dok6	peak_2368 (-148213)
Dok7	peak_3581 (+22437)
Dopey2	peak_1998 (+42674)
Dpf1	peak_4193 (+83688)
Dpp10	peak_287 (+188379)
Dpy19l1	peak_4651 (+174814), peak_4650 (+200534)
Dpy19l3	peak_4202 (+6677)
Dpyd	peak_3032 (+151552)
Dpys	peak_1691 (-14863)
Drc1	peak_3573 (+60861)
Drd1	peak_1270 (+92341)
Drd5	peak_3585 (-19166)
Dsc3	peak_2248 (+140001), peak_2247 (+447664)
Dscam	peak_2010 (+190464)
Dscaml1	peak_4682 (+71957)
Dsel	peak_260 (-973640), peak_259 (-355874), peak_258 (+238773), peak_257 (+283609)
Dtnb	peak_929 (+53236)
Dtnbp1	peak_1245 (+49918)
Duox1	peak_2697 (+21498)
Dupd1	peak_1449 (+37378), peak_1448 (+44361)
Dusp14	peak_845 (+19994)
Dusp27	peak_369 (+27159)
Dusp5	peak_2475 (-52143)
Dusp6	peak_618 (+181575)
Dync1h1	peak_1133 (-20598), peak_1134 (+7978)
Dync2h1	peak_4612 (+119863)
Dynlrb2	peak_4561 (+82660)
Dynlt3	peak_4827 (+31029)
Dyrk1a	peak_2002 (+212821)
Dyrk2	peak_663 (+9473), peak_662 (+65300)
Dysf	peak_4037 (+31622)
Dzip3	peak_1891 (+31277)
E2f7	peak_642 (-117302), peak_643 (+15068)
ENSMUSG00000109903	peak_3540 (-35047), peak_3541 (+111662), peak_3542 (+247831)
ENSMUSG00000111448	peak_4666 (-28507)
Eapp	peak_1021 (-7972)
Ear2	peak_1484 (-35044)
Ebf3	peak_4322 (+88667)
Eci2	peak_1224 (-62658)
Edem1	peak_4074 (+125435), peak_4075 (+238534)
Edil3	peak_1349 (+335856)
Edn2	peak_3413 (-64870), peak_3414 (-28985)
Eef1akmt1	peak_1514 (+11875)
Eepd1	peak_4653 (-61053), peak_4654 (+156816), peak_4655 (+276887)
Efcab1	peak_1819 (-91018)
Efcab6	peak_1773 (+86504)
Efhb	peak_2143 (+280089), peak_2142 (+346072), peak_2141 (+355359)
Efhd1	peak_205 (+17396)
Efhd2	peak_3470 (+7568)
Efna5	peak_2164 (+488215), peak_2163 (+933280)
Efr3a	peak_1741 (-381020)
Egfem1	peak_2860 (+11900)
Egflam	peak_1625 (+31573), peak_1624 (+118723)
Egln3	peak_1019 (+57015)
Eif2b2	peak_1082 (-17720)
Eif3h	peak_1718 (+258113)
Eif4e	peak_3066 (+75821)
Eif4h	peak_3851 (-17318)
Elavl2	peak_3349 (-278488), peak_3348 (-264248), peak_3347 (+186480), peak_3346 (+397061)
Elavl4	peak_3391 (-35257), peak_3390 (+99586)
Elk3	peak_606 (+55728)
Elovl2	peak_1240 (+15802)
Emc2	peak_1699 (+115733)
Emcn	peak_3061 (+101165)
Eml4	peak_2207 (-66027), peak_2208 (+51472)
Eml6	peak_757 (-47683), peak_756 (+64647)
Emx1	peak_4039 (+64357)
Enah	peak_393 (-45814)
Endog	peak_2540 (-11656)
Enkur	peak_2521 (-41440)
Enox1	peak_1547 (-34494), peak_1548 (+142886)
Enpp4	peak_2127 (-8868)
Enpp5	peak_2126 (-134056)
Entpd4	peak_1531 (+54176)
Entpd7	peak_2437 (+21753)
Ep300	peak_1765 (-30492)
Epb41l3	peak_2176 (-36025), peak_2177 (+40636), peak_2178 (+90822), peak_2179 (+109336)
Epb41l4b	peak_3246 (-10430)
Epc1	peak_2234 (+9021)
Epha10	peak_3425 (+18875)
Epha3	peak_1920 (-139013), peak_1919 (-104507), peak_1918 (+136062), peak_1917 (+424728)
Epha5	peak_3683 (-336987), peak_3682 (+38543)
Epha6	peak_1915 (-764957), peak_1914 (-125530)
Epha7	peak_3175 (-351825), peak_3176 (-66148), peak_3177 (+938676)
Ephb1	peak_4779 (-69279)
Ephb2	peak_3454 (+64721)
Epm2a	peak_430 (+187993), peak_431 (+212134)
Eps8	peak_4123 (+27572)
Eps8l2	peak_4327 (+17814)
Eps8l3	peak_3019 (-8721)
Epx	peak_853 (+6689)
Eqtn	peak_3359 (+83154)
Erbb4	peak_170 (+483408), peak_169 (+509557), peak_168 (+518277), peak_167 (+638601), peak_166 (+702057)
Erbin	peak_1384 (-75635)
Erc2	peak_1461 (+52672)
Ercc4	peak_1814 (-513244), peak_1815 (-178241), peak_1816 (-48305), peak_1817 (-33000), peak_1818 (+72815)
Ercc6l2	peak_1291 (+103309), peak_1292 (+115254)
Ereg	peak_3698 (-13112)
Erg	peak_2005 (-70872)
Eri1	peak_4396 (-10454)
Esco1	peak_2238 (+68364)
Esd	peak_1542 (+51037)
Esp15	peak_2111 (+127910)
Esp24	peak_2110 (-147402)
Esp38	peak_2112 (-63785), peak_2113 (+39110)
Esp8	peak_2118 (-55681)
Esr2	peak_1065 (+82047)
Esx1	peak_5005 (-10973)
Esyt1	peak_686 (+8847)
Etaa1	peak_724 (-343494), peak_723 (-244660), peak_722 (-98541), peak_721 (-10139), peak_720 (+286156)
Etl4	peak_2520 (-142883)
Etnk1	peak_4132 (+256028)
Ets2	peak_2006 (+121400)
Etv1	peak_986 (-252531)
Etv3	peak_2980 (+10613)
Eva1a	peak_4031 (+59008), peak_4032 (+171089)
Evc2	peak_3584 (+161026)
Evl	peak_1127 (-45478), peak_1128 (+18906)
Evx2	peak_2635 (+67234)
Exoc1	peak_3664 (-25008)
Exoc6b	peak_4038 (-15017)
Exog	peak_4811 (+38603), peak_4812 (+46855)
Ext1	peak_1723 (-227993), peak_1722 (+199881)
Extl3	peak_1525 (+21573)
Eya1	peak_37 (+196843), peak_36 (+225057)
Eya4	peak_455 (-151049), peak_454 (-131163), peak_453 (-126021)
F11	peak_4416 (+82767)
F2r	peak_1362 (+34546)
F2rl3	peak_4480 (+83760), peak_4481 (+205906)
F9	peak_4891 (-149665), peak_4892 (+46456)
Faah	peak_3401 (+45500)
Faap24	peak_4201 (+24085)
Fabp12	peak_2814 (+8881)
Fabp5	peak_2813 (-16933)
Fabp7	peak_523 (-18637)
Fam102a	peak_2551 (-40064), peak_2552 (-10473)
Fam107b	peak_2496 (+128946)
Fam109a	peak_3802 (+30793)
Fam110b	peak_3104 (+175856)
Fam114a2	peak_801 (+172745)
Fam120a	peak_1258 (-83249)
Fam122a	peak_2406 (-25202)
Fam133b	peak_3512 (-70477)
Fam135a	peak_65 (+24329)
Fam135b	peak_1750 (+870371)
Fam13c	peak_553 (+66115)
Fam155a	peak_4350 (+412749)
Fam161a	peak_737 (+12157)
Fam167a	peak_1523 (+15840)
Fam169b	peak_4223 (+27249)
Fam172a	peak_1322 (-279982), peak_1323 (-170719), peak_1324 (-139217), peak_1325 (+90592)
Fam173b	peak_1670 (+100936)
Fam174a	peak_222 (-74642)
Fam180a	peak_3959 (-69852)
Fam181b	peak_4260 (+76340)
Fam186b	peak_1798 (+10455)
Fam189a2	peak_2403 (-80580)
Fam196a	peak_4320 (+20284)
Fam198b	peak_2961 (+134660), peak_2962 (+353443)
Fam19a3	peak_3013 (+23940), peak_3012 (+62773)
Fam19a4	peak_4050 (+90879), peak_4049 (+138404), peak_4048 (+437426)
Fam210a	peak_2327 (+105037)
Fam228a	peak_936 (+19287)
Fam240b	peak_1294 (-151465)
Fam43a	peak_1848 (+113071), peak_1849 (+188941)
Fam49a	peak_947 (+205548)
Fam49b	peak_1738 (-125493)
Fam53b	peak_4318 (+53831), peak_4317 (+76999), peak_4316 (+101371)
Fam60a	peak_4142 (-75243)
Fam69c	peak_2359 (+9978)
Fam78b	peak_371 (-88936), peak_372 (-61591), peak_373 (+45213)
Fam81b	peak_1320 (-40937)
Fam84a	peak_950 (-569862), peak_949 (-242577)
Fam92a	peak_3127 (-295498), peak_3126 (-259103), peak_3125 (-231235), peak_3124 (-153896)
Fam92b	peak_4570 (-130934), peak_4569 (+24414)
Fam98b	peak_2692 (-42723)
Fancb	peak_5037 (+108598)
Fancc	peak_1290 (-5742)
Fancl	peak_744 (+40205), peak_745 (+81409)
Farsb	peak_189 (+75416)
Fasl	peak_358 (+41690), peak_357 (+61093)
Fastk	peak_3564 (+9992)
Fat1	peak_4415 (-346127)
Fat3	peak_4630 (-105712)
Fat4	peak_2880 (-124250)
Fbln5	peak_1106 (-35171)
Fbln7	peak_2707 (+9460)
Fbrs	peak_4307 (+4488)
Fbrsl1	peak_3745 (+32062)
Fbxl17	peak_2167 (-172153), peak_2166 (-111497), peak_2165 (+252776)
Fbxl2	peak_4804 (-12573)
Fbxl7	peak_1663 (+213135)
Fbxo10	peak_3216 (+12855)
Fbxo11	peak_2218 (-14944)
Fbxo21	peak_3784 (-22539)
Fbxo33	peak_1035 (-278769)
Fbxo4	peak_1616 (+59087)
Fbxo40	peak_1866 (+20234)
Fbxo47	peak_870 (-19516)
Fbxo8	peak_4430 (+276807)
Fbxw11	peak_761 (-39352)
Fbxw15	peak_4799 (-17408), peak_4798 (-8410)
Fbxw27	peak_4800 (+15511)
Fbxw4	peak_2447 (-35095)
Fbxw7	peak_2976 (+371187)
Fcgbp	peak_4189 (+14210), peak_4190 (+22477)
Fem1b	peak_4720 (+43873)
Fer1l6	peak_1729 (+104034)
Fermt2	peak_1488 (-28009)
Fez1	peak_4664 (+135328)
Fez2	peak_2197 (+30655)
Fezf1	peak_3930 (-116706)
Fezf2	peak_1420 (-91102)
Fgd2	peak_2086 (+28256)
Fgf10	peak_1410 (+282171)
Fgf13	peak_4890 (-332169)
Fgf16	peak_4965 (-27561)
Fgf18	peak_762 (+120381)
Fgf4	peak_4333 (-9972)
Fgfr2	peak_4311 (+291248)
Fhad1	peak_3471 (+9880)
Fhit	peak_1418 (+553555)
Fhl2	peak_106 (-62438)
Fibin	peak_2684 (-72864), peak_2683 (+16966)
Fign	peak_2616 (+292304)
Fignl2	peak_1802 (+61848)
Fip1l1	peak_3658 (+72383)
Fli1	peak_4659 (+22149)
Flrt2	peak_1090 (-837200), peak_1091 (-444218), peak_1092 (-351591), peak_1093 (-106579), peak_1094 (-74465), peak_1095 (+818436)
Flrt3	peak_2719 (-869792), peak_2718 (-431707), peak_2717 (+131116)
Flt1	peak_3871 (+135991)
Flywch1	peak_2066 (+7800)
Flywch2	peak_2067 (+6347)
Fmo4	peak_361 (-6228)
Fmr1	peak_4906 (-338840)
Fnbp1	peak_2544 (+22226)
Fndc1	peak_2024 (+32307)
Fndc3a	peak_1539 (-82997)
Fndc3b	peak_2857 (-72517), peak_2856 (+121374)
Fnip2	peak_2960 (+18600)
Fosl2	peak_3577 (-147343), peak_3578 (-14609)
Foxc1	peak_1219 (+14441)
Foxd4	peak_2407 (+11431)
Foxg1	peak_1008 (-957530), peak_1009 (-372739), peak_1010 (-325240), peak_1011 (-189911)
Foxi1	peak_764 (-15203)
Foxj1	peak_910 (-19147)
Foxj2	peak_4100 (-26988)
Foxl1	peak_4577 (+145447), peak_4578 (+183256), peak_4579 (+206966)
Foxn4	peak_3766 (+62423)
Foxo1	peak_2902 (+123312), peak_2903 (+168970)
Foxo3	peak_491 (+25250)
Foxp1	peak_4052 (+45939), peak_4051 (+436133)
Foxq1	peak_1218 (-172796)
Fpr-rs3	peak_2056 (-14469)
Frem2	peak_2906 (-65054)
Frg1	peak_4410 (-855333), peak_4409 (-620865), peak_4408 (-96506)
Frk	peak_471 (+436949)
Frmd3	peak_3293 (+40557)
Frmd6	peak_1054 (-48706), peak_1055 (-25886)
Frmpd4	peak_5045 (+68512)
Frrs1	peak_3029 (-33624)
Frrs1l	peak_3245 (-26549)
Fryl	peak_3654 (+87994)
Fscb	peak_1046 (+565463), peak_1045 (+782957)
Fscn2	peak_926 (+7021)
Fshr	peak_2222 (-239897), peak_2221 (+46663)
Fsip2	peak_2644 (-54976), peak_2645 (+97957)
Ftcd	peak_571 (+20880)
Fthl17a	peak_4931 (-703836), peak_4932 (+20082)
Fubp3	peak_2547 (-43238)
Fuk	peak_4550 (+18476)
Fundc1	peak_4841 (+58538)
Fut8	peak_1066 (-95607), peak_1067 (-60562)
Fut9	peak_3173 (-258076)
Fzd1	peak_3513 (-185930)
Fzd10	peak_3830 (-64134)
Fzd5	peak_160 (-41988), peak_159 (-15896)
Fzd7	peak_148 (-9039)
Fzd8	peak_2236 (-518817), peak_2237 (-10564)
Fzd9	peak_3852 (-13050)
G2e3	peak_1013 (-180049)
G430095P16Rik	peak_4502 (+7809)
G6pd2	peak_3627 (-595848), peak_3628 (-30825), peak_3629 (+417900)
Gab2	peak_4265 (+65694)
Gabbr2	peak_3219 (+145661)
Gabra2	peak_3646 (-223602)
Gabra3	peak_4913 (-29308), peak_4912 (+77701)
Gabrb1	peak_3650 (+131721)
Gabrg1	peak_3645 (+80076), peak_3644 (+412189)
Gabrg2	peak_777 (+111058), peak_776 (+290440), peak_775 (+619420)
Gabrr1	peak_3185 (-14431)
Galc	peak_1099 (+439865), peak_1098 (+581106), peak_1097 (+875645)
Galnt13	peak_2595 (-51013)
Galnt6	peak_1799 (-6523)
Galnt7	peak_4436 (-333040), peak_4435 (-23477)
Galntl6	peak_4441 (-765155), peak_4440 (-737303), peak_4439 (-709239)
Galr1	peak_2356 (+279117)
Garem1	peak_2251 (-116645)
Gas8	peak_4591 (+9229)
Gatsl2	peak_3841 (-843003), peak_3842 (-630791), peak_3843 (-539659), peak_3844 (-257295)
Gbe1	peak_1941 (+669349), peak_1942 (+840047)
Gbp7	peak_3075 (-11730)
Gbp9	peak_3731 (+16519)
Gc	peak_3692 (+129992)
Gca	peak_2615 (+162680)
Gckr	peak_3575 (+23141)
Gdf10	peak_1466 (+8701)
Gdf6	peak_3117 (+321095)
Gdi2	peak_1161 (-316098), peak_1162 (-80663)
Gdpgp1	peak_4240 (+5961)
Gemin8	peak_5043 (-344086)
Gfod1	peak_1242 (+52521)
Gfra1	peak_2492 (+390268)
Gfra2	peak_1536 (+514638)
Gfral	peak_4740 (+24207)
Ggh	peak_3156 (+253650), peak_3157 (+318710)
Ggnbp1	peak_2077 (+21998)
Ggt5	peak_566 (+14927)
Ghitm	peak_1476 (-258661), peak_1475 (-62713)
Gigyf2	peak_206 (-17438)
Gimd1	peak_3053 (-216891)
Gins2	peak_4574 (-19246), peak_4573 (+32176)
Gins3	peak_4519 (-22253)
Gja10	peak_3183 (+40178)
Gli2	peak_281 (-90709)
Gli3	peak_1192 (-211963)
Glipr2	peak_3211 (-14571)
Glis1	peak_3385 (+23448), peak_3386 (+55004)
Glod5	peak_4825 (+12611), peak_4824 (+16289)
Glra1	peak_797 (-62745)
Glra2	peak_5042 (-373934), peak_5041 (-339597), peak_5040 (-307164), peak_5039 (-139109), peak_5038 (-83348)
Glrb	peak_2965 (-27619)
Glrx5	peak_1115 (+16904), peak_1116 (+21546)
Glt1d1	peak_3828 (+75393)
Glycam1	peak_1805 (-90465)
Gm10036	peak_2243 (+456318)
Gm10097	peak_419 (-157216)
Gm10110	peak_1569 (-447324), peak_1568 (+611)
Gm10118	peak_535 (+185663)
Gm10134	peak_2535 (+169)
Gm10184	peak_2223 (+94172)
Gm10197	peak_2474 (+20097)
Gm10198	peak_1402 (-12391)
Gm10260	peak_1366 (-170411), peak_1365 (+71)
Gm10282	peak_4478 (+563)
Gm10283	peak_4445 (+30331), peak_4444 (+446713), peak_4443 (+669089), peak_4442 (+721727)
Gm10306	peak_3356 (-432101), peak_3357 (-353642), peak_3358 (-79271)
Gm10330	peak_965 (+997349)
Gm10358	peak_4486 (+66958)
Gm10384	peak_1683 (-4989)
Gm10428	peak_808 (-2231)
Gm10479	peak_961 (-804843), peak_962 (-788648), peak_963 (-42125)
Gm10549	peak_2275 (+170992)
Gm10577	peak_3366 (+17764)
Gm10715	peak_4602 (+79475), peak_4603 (+108620), peak_4604 (+138579)
Gm10750	peak_2732 (-167862)
Gm10767	peak_1300 (-69675)
Gm10772	peak_1297 (-99246)
Gm10800	peak_2674 (-499988)
Gm10801	peak_2673 (-354701)
Gm10944	peak_428 (-13656)
Gm10985	peak_2907 (-42344), peak_2908 (-2827)
Gm10999	peak_4601 (+7522)
Gm11077	peak_4126 (+105652), peak_4127 (+140566)
Gm11084	peak_2632 (-61144), peak_2631 (-7453)
Gm11146	peak_1959 (-316191), peak_1958 (-213057)
Gm11214	peak_3260 (+10506)
Gm11232	peak_3284 (-151208), peak_3283 (+323806)
Gm1140	peak_4905 (+222180), peak_4904 (+313110)
Gm11487	peak_3290 (+110659)
Gm11639	peak_877 (-28)
Gm11733	peak_917 (+7824)
Gm11758	peak_3292 (+41468)
Gm12666	peak_3351 (-45306)
Gm12689	peak_3362 (+109479), peak_3363 (+137292)
Gm12728	peak_3377 (-164138), peak_3378 (-54732)
Gm12794	peak_3370 (-12598)
Gm12845	peak_3408 (+4816)
Gm12887	peak_3417 (-401095)
Gm12888	peak_3416 (+29803)
Gm13083	peak_3476 (-29823)
Gm13090	peak_3497 (+211081), peak_3498 (+312379)
Gm13691	peak_2649 (+96702), peak_2650 (+204538)
Gm14444	peak_2791 (-91874)
Gm14569	peak_4856 (+31576)
Gm15091	peak_5020 (+78175), peak_5021 (+177660)
Gm15130	peak_2685 (-27496)
