# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (+139545)
peak_840	Gm9964 (-10248)
peak_841	Rab11fip4 (+14119)
peak_842	Rab11fip4 (+99325)
peak_843	Utp6 (+155573)
peak_844	Ccl9 (+10973)
peak_845	Dusp14 (+19994)
peak_846	Aatf (+99223)
peak_847	Lhx1 (-38537)
peak_848	Mrm1 (+110900)
peak_849	Ppm1d (-13605)
peak_850	Brip1 (+144878)
peak_851	Rnft1 (-16156)
peak_852	Ypel2 (+19639)
peak_853	Epx (+6689)
peak_854	Ankfn1 (+26705)
peak_855	Pctp (+92491)
peak_856	Car10 (-404944)
peak_857	Utp18 (+147625)
peak_858	Utp18 (+90499)
peak_859	Tob1 (-35501)
peak_860	Cacna1g (+40184)
peak_861	Xylt2 (+7298)
peak_862	Cdc34b (+373)
peak_863	Col1a1 (-19956)
peak_864	Ngfr (-23656)
peak_865	Zfp652 (-14230)
peak_866	Phospho1 (-14497)
peak_867	Ttll6 (+19070)
peak_868	Snx11 (+17141)
peak_869	Mrpl45 (-13431)
peak_870	Fbxo47 (-19516)
peak_871	Stac2 (+10060)
peak_872	Grb7 (+38751)
peak_873	Krt16 (+15403)
peak_874	Stat5a (+14220)
peak_875	Asb16 (-8845)
peak_876	Itgb3 (+35935)
peak_877	Gm11639 (-28)
peak_878	Mrc2 (+47976)
peak_879	Tanc2 (+121840)
peak_880	Prr29 (-10196)
peak_881	Pecam1 (+24385)
peak_882	Nol11 (-103308)
peak_883	Pitpnc1 (+104677)
peak_884	Pitpnc1 (+100436)
peak_885	Pitpnc1 (+94139)
peak_886	Axin2 (+15206)
peak_887	Axin2 (+21031)
peak_888	Axin2 (+28511)
peak_889	Arsg (-18448)
peak_890	Abca6 (-14926)
peak_891	Abca5 (-16749)
peak_892	Kcnj16 (-218196)
peak_893	Kcnj16 (-172194)
peak_894	Sox9 (+339758)
peak_895	Slc39a11 (+274539)
peak_896	Slc39a11 (+170572)
peak_897	Slc39a11 (+44365)
peak_898	Sstr2 (-7476)
peak_899	Cpsf4l (-13497)
peak_900	Cdc42ep4 (-77107)
peak_901	Cdc42ep4 (-104761)
peak_902	Cdc42ep4 (-152124)
peak_903	Sdk2 (-127828)
peak_904	Rpl38 (-114180)
peak_905	Rpl38 (-49503)
peak_906	Rpl38 (-40043)
peak_907	Myo15b (-7901)
peak_908	Smim5 (-19831)
peak_909	Unk (+17481)
peak_910	Foxj1 (-19147)
peak_911	Rnf157 (+29504)
peak_912	Mgat5b (+20878)
peak_913	Sec14l1 (-85995)
peak_914	Sec14l1 (+8394)
peak_915	Sec14l1 (+14467)
peak_916	Sept9 (+91718)
peak_917	Gm11733 (+7824)
peak_918	Tmc6 (+30821)
peak_919	Socs3 (+46758)
peak_920	Socs3 (+13536)
peak_921	Rbfox3 (+180577)
peak_922	Cbx4 (-42896)
peak_923	Nptx1 (-24709)
peak_924	Aatk (+45943)
peak_925	Bahcc1 (+53888)
peak_926	Fscn2 (+7021)
peak_927	Aspscr1 (+14113)
peak_928	Zfp750 (-25378)
peak_929	Dtnb (+53236)
peak_930	Dnmt3a (+27291)
peak_931	Pomc (-48918)
peak_932	Adcy3 (+39794)
peak_933	Ptrhd1 (-39346)
peak_934	Ncoa1 (+46105)
peak_935	Ncoa1 (-47187)
peak_936	Fam228a (+19287)
peak_937	Klhl29 (+165821)
peak_938	Klhl29 (-109742)
peak_939	Klhl29 (-859361)
peak_940	Apob (-866180)
peak_941	Apob (-175985)
peak_942	Ldah (-84085)
peak_943	Hs1bp3 (+12364)
peak_944	Osr1 (+109152)
peak_945	Kcns3 (+118968)
peak_946	Rad51ap2 (+92542)
peak_947	Fam49a (+205548)
peak_948	Mycn (+99725)
peak_949	Fam84a (-242577)
peak_950	Fam84a (-569862)
peak_951	Trib2 (+790798)
peak_952	Trib2 (+438533)
peak_953	Trib2 (+393376)
peak_954	Lpin1 (+174194)
peak_955	Odc1 (+23633)
peak_956	Hpcal1 (-28961)
peak_957	Hpcal1 (+411079)
peak_958	5730507C01Rik (+302536)
peak_959	5730507C01Rik (+629278)
peak_960	5730507C01Rik (+729902)
peak_961	Gm10479 (-804843)
peak_962	Gm10479 (-788648)
peak_963	Gm10479 (-42125)
peak_964	Asap2 (-156471)
peak_965	Gm10330 (+997349)
peak_966	Mboat2 (-54514)
peak_967	Id2 (-650434)
peak_968	Sox11 (-561110)
peak_969	Tmem18 (+102180)
peak_970	Slc26a4 (+27589)
peak_971	Ccdc71l (+39655)
peak_972	Cdhr3 (-71371)
peak_973	Atxn7l1 (-58322)
peak_974	Twistnb (+21029)
peak_975	Hdac9 (-204762)
peak_976	Ahr (+30685)
peak_977	Agr3 (-70847)
peak_978	Lrrc72 (+19137)
peak_979	Sostdc1 (-28830)
peak_980	Sostdc1 (+29120)
peak_981	D630036H23Rik (-103143)
peak_982	Meox2 (-156554)
peak_983	Meox2 (+52707)
peak_984	Dgkb (-106469)
peak_985	Dgkb (-36027)
peak_986	Etv1 (-252531)
peak_987	Arl4a (+498260)
peak_988	Arl4a (+471484)
peak_989	Arl4a (+208728)
peak_990	Arl4a (+137740)
peak_991	NONE
peak_992	NONE
peak_993	NONE
peak_994	NONE
peak_995	NONE
peak_996	Dnajb9 (+479595)
peak_997	Dnajb9 (+461458)
peak_998	Dnajb9 (+281112)
peak_999	Dnajb9 (-20789)
peak_1000	Nrcam (+154253)
peak_1001	Stxbp6 (+337060)
peak_1002	Stxbp6 (-121536)
peak_1003	Nova1 (+856189)
peak_1004	Nova1 (+773983)
peak_1005	Nova1 (-766705)
peak_1006	NONE
peak_1007	NONE
peak_1008	Foxg1 (-957530)
peak_1009	Foxg1 (-372739)
peak_1010	Foxg1 (-325240)
peak_1011	Foxg1 (-189911)
peak_1012	Gm43517 (+316849)
peak_1013	G2e3 (-180049)
peak_1014	Hectd1 (-47737)
peak_1015	Nubpl (+18479)
peak_1016	Akap6 (+19944)
peak_1017	Akap6 (+164301)
peak_1018	Npas3 (-215192)
peak_1019	Egln3 (+57015)
peak_1020	Sptssa (+88602)
peak_1021	Eapp (-7972)
peak_1022	Cfl2 (-27205)
peak_1023	Ppp2r3c (-8583)
peak_1024	Ppp2r3c (-41669)
peak_1025	Nfkbia (+21021)
peak_1026	Brms1l (+80808)
peak_1027	Nkx2-9 (+28681)
peak_1028	Sstr1 (-269649)
peak_1029	Sstr1 (-55155)
peak_1030	Sstr1 (-17687)
peak_1031	Clec14a (-230679)
peak_1032	Sec23a (+242111)
peak_1033	Sec23a (+153261)
peak_1034	Pnn (+14529)
peak_1035	Fbxo33 (-278769)
peak_1036	NONE
peak_1037	NONE
peak_1038	Lrfn5 (-369300)
peak_1039	Lrfn5 (-154019)
peak_1040	Lrfn5 (+104886)
peak_1041	Lrfn5 (+181519)
peak_1042	Lrfn5 (+239649)
peak_1043	Lrfn5 (+652732)
peak_1044	NONE
peak_1045	Fscb (+782957)
peak_1046	Fscb (+565463)
peak_1047	Mdga2 (-765564)
peak_1048	Rps29 (+752616)
peak_1049	Rps29 (+717955)
peak_1050	Vcpkmt (+92963)
peak_1051	Vcpkmt (+45351)
peak_1052	Vcpkmt (-12418)
peak_1053	Tmx1 (+87047)
peak_1054	Frmd6 (-48706)
peak_1055	Frmd6 (-25886)
peak_1056	Actr10 (-44057)
peak_1057	Gpr135 (+81909)
peak_1058	Dhrs7 (+36542)
peak_1059	Dhrs7 (-29038)
peak_1060	Snapc1 (-11055)
peak_1061	Syt16 (+55602)
peak_1062	Gphb5 (+37366)
peak_1063	Ppp2r5e (-35229)
peak_1064	Wdr89 (-32319)
peak_1065	Esr2 (+82047)
peak_1066	Fut8 (-95607)
peak_1067	Fut8 (-60562)
peak_1068	Gm6657 (-418683)
peak_1069	Gm6657 (-413752)
peak_1070	Zfp36l1 (+248183)
peak_1071	Actn1 (-79218)
peak_1072	Susd6 (-11979)
peak_1073	Slc10a1 (-22330)
peak_1074	Pcnx (+58586)
peak_1075	Rgs6 (+172636)
peak_1076	Dcaf4 (-14003)
peak_1077	Zfyve1 (+27699)
peak_1078	Pnma1 (-14393)
peak_1079	Ptgr2 (-27029)
peak_1080	Ltbp2 (+18074)
peak_1081	Pgf (-15266)
peak_1082	Eif2b2 (-17720)
peak_1083	Jdp2 (-26852)
peak_1084	Batf (+11500)
peak_1085	Nrxn3 (+465439)
peak_1086	Dio2 (+656220)
peak_1087	Dio2 (-102819)
peak_1088	Cep128 (+106350)
peak_1089	Gtf2a1 (-57702)
peak_1090	Flrt2 (-837200)
peak_1091	Flrt2 (-444218)
peak_1092	Flrt2 (-351591)
peak_1093	Flrt2 (-106579)
peak_1094	Flrt2 (-74465)
peak_1095	Flrt2 (+818436)
peak_1096	NONE
peak_1097	Galc (+875645)
peak_1098	Galc (+581106)
peak_1099	Galc (+439865)
peak_1100	Ptpn21 (+45467)
peak_1101	Ttc8 (+8967)
peak_1102	Nrde2 (+21550)
peak_1103	Gpr68 (+29468)
peak_1104	Gpr68 (-37629)
peak_1105	Ppp4r3a (-21751)
peak_1106	Fbln5 (-35171)
peak_1107	Lgmn (+70547)
peak_1108	Lgmn (+26596)
peak_1109	Btbd7 (+10929)
peak_1110	Serpina3f (-12714)
peak_1111	Gsc (+25253)
peak_1112	Gsc (-111208)
peak_1113	Dicer1 (+60851)
peak_1114	Syne3 (+19753)
peak_1115	Glrx5 (+16904)
peak_1116	Glrx5 (+21546)
peak_1117	Tcl1b3 (-78323)
peak_1118	D430019H16Rik (+14419)
peak_1119	Bdkrb1 (-11988)
peak_1120	Ak7 (-9072)
peak_1121	Vrk1 (+52978)
peak_1122	Vrk1 (+60531)
peak_1123	Vrk1 (+97576)
peak_1124	Vrk1 (+155450)
peak_1125	Bcl11b (-8595)
peak_1126	Ccnk (+35465)
peak_1127	Evl (-45478)
peak_1128	Evl (+18906)
peak_1129	Wdr25 (+78412)
peak_1130	Begain (-163262)
peak_1131	Rtl1 (-12888)
peak_1132	Rtl1 (-149582)
peak_1133	Dync1h1 (-20598)
peak_1134	Dync1h1 (+7978)
peak_1135	Ankrd9 (-29318)
peak_1136	Rcor1 (-11005)
peak_1137	Amn (-34493)
peak_1138	Amn (+30904)
peak_1139	Cdc42bpb (+24587)
peak_1140	Trmt61a (+14979)
peak_1141	Xrcc3 (+18894)
peak_1142	Rd3l (-17427)
peak_1143	Rd3l (-32105)
peak_1144	Aspg (-45709)
peak_1145	Kif26a (+15442)
peak_1146	Kif26a (+27901)
peak_1147	Cep170b (+16775)
peak_1148	Jag2 (+19898)
peak_1149	Adam6a (+328363)
peak_1150	Adam6a (+787136)
peak_1151	Adam6a (+835022)
peak_1152	Zfp386 (-623390)
peak_1153	Zfp386 (-58046)
peak_1154	Ptprn2 (+61944)
peak_1155	Ptprn2 (+77777)
peak_1156	Ptprn2 (+90943)
peak_1157	Sp4 (-87125)
peak_1158	Abcb5 (-45479)
peak_1159	Macc1 (-46061)
peak_1160	Macc1 (+128079)
peak_1161	Gdi2 (-316098)
peak_1162	Gdi2 (-80663)
peak_1163	Net1 (+8026)
peak_1164	Akr1c14 (+27071)
peak_1165	Akr1c13 (-7661)
peak_1166	Akr1e1 (-191433)
peak_1167	Akr1e1 (-204875)
peak_1168	Akr1e1 (-333706)
peak_1169	Akr1e1 (-373562)
peak_1170	Akr1e1 (-454978)
peak_1171	Akr1e1 (-489465)
peak_1172	Klf6 (-164097)
peak_1173	Pitrm1 (-112273)
peak_1174	Pfkp (-54383)
peak_1175	Pfkp (-86943)
peak_1176	Pfkp (-129704)
peak_1177	Pfkp (-235564)
peak_1178	Pfkp (-482258)
peak_1179	Dip2c (-42383)
peak_1180	Zmynd11 (+74424)
peak_1181	Chrm3 (+58714)
peak_1182	Mtr (+31056)
peak_1183	Lgals8 (-16931)
peak_1184	Gpr137b (-21773)
peak_1185	Nid1 (+23374)
peak_1186	Lyst (-60834)
peak_1187	Gng4 (-62187)
peak_1188	B3galnt2 (+10373)
peak_1189	Hecw1 (-41877)
peak_1190	AW209491 (+178975)
peak_1191	AW209491 (+396947)
peak_1192	Gli3 (-211963)
peak_1193	Inhba (+88839)
peak_1194	Inhba (+379870)
peak_1195	Inhba (+488230)
peak_1196	Sugct (+754957)
peak_1197	Sugct (+335991)
peak_1198	Cdk13 (-32878)
peak_1199	Vps41 (-29176)
peak_1200	Amph (+117007)
peak_1201	Aoah (-257526)
peak_1202	Aoah (+66243)
peak_1203	Vmn1r204 (-6785)
peak_1204	Vmn1r220 (+7870)
peak_1205	Zfp322a (+24179)
peak_1206	Scgn (-36887)
peak_1207	Aldh5a1 (+25832)
peak_1208	Nrsn1 (+27797)
peak_1209	Hdgfl1 (+524079)
peak_1210	Hdgfl1 (-53640)
peak_1211	Hdgfl1 (-67718)
peak_1212	Prl2c1 (-18912)
peak_1213	Prl4a1 (-32557)
peak_1214	Sox4 (-60690)
peak_1215	Mboat1 (-12728)
peak_1216	Agtr1a (-69821)
peak_1217	Gm5447 (+17806)
peak_1218	Foxq1 (-172796)
peak_1219	Foxc1 (+14441)
peak_1220	Serpinb6d (+22000)
peak_1221	Tubb2b (-9843)
peak_1222	Slc22a23 (-125710)
peak_1223	Pxdc1 (+132317)
peak_1224	Eci2 (-62658)
peak_1225	Nrn1 (+70852)
peak_1226	Ly86 (-81958)
peak_1227	Ly86 (+123035)
peak_1228	Ly86 (+197878)
peak_1229	Ssr1 (+34999)
peak_1230	Snrnp48 (-9407)
peak_1231	Slc35b3 (+70432)
peak_1232	Slc35b3 (+25042)
peak_1233	Slc35b3 (-583988)
peak_1234	Ofcc1 (+349066)
peak_1235	Ofcc1 (-174371)
peak_1236	Tfap2a (+146334)
peak_1237	Tfap2a (+107401)
peak_1238	Mak (+11986)
peak_1239	Sycp2l (+38529)
peak_1240	Elovl2 (+15802)
peak_1241	Hivep1 (+78349)
peak_1242	Gfod1 (+52521)
peak_1243	Jarid2 (-321504)
peak_1244	Jarid2 (+116044)
peak_1245	Dtnbp1 (+49918)
peak_1246	Rbm24 (+10604)
peak_1247	Cap2 (+74168)
peak_1248	Nup153 (-24304)
peak_1249	Kdm1b (+12876)
peak_1250	Id4 (-521181)
peak_1251	Id4 (-242590)
peak_1252	Id4 (+35811)
peak_1253	A830005F24Rik (+38688)
peak_1254	A830005F24Rik (+52505)
peak_1255	Barx1 (+31721)
peak_1256	Phf2 (+88086)
peak_1257	Phf2 (+22137)
peak_1258	Fam120a (-83249)
peak_1259	Gm906 (+228774)
peak_1260	Gm906 (+166292)
peak_1261	Gm906 (+131013)
peak_1262	Nutm2 (+61319)
peak_1263	Spin1 (-77872)
peak_1264	Sema4d (+21824)
peak_1265	Auh (+76605)
peak_1266	Auh (+53502)
peak_1267	Auh (+49708)
peak_1268	Nfil3 (-88070)
peak_1269	Ror2 (+84265)
peak_1270	Drd1 (+92341)
peak_1271	Hrh2 (+20433)
peak_1272	Cplx2 (-39364)
peak_1273	Thoc3 (-13173)
peak_1274	Tspan17 (+35235)
peak_1275	H2afy (+69643)
peak_1276	Gm45623 (-11695)
peak_1277	Trpc7 (+7819)
peak_1278	Trpc7 (-88157)
peak_1279	Trpc7 (-312449)
peak_1280	Trpc7 (-476948)
peak_1281	Klhl3 (+91646)
peak_1282	Slc28a3 (+43749)
peak_1283	Ntrk2 (+300929)
peak_1284	Dapk1 (-212069)
peak_1285	Dapk1 (-176082)
peak_1286	Cts7 (-38989)
peak_1287	Cts7 (-64126)
peak_1288	Ctsm (+78053)
peak_1289	Cts3 (-15766)
peak_1290	Fancc (-5742)
peak_1291	Ercc6l2 (+103309)
peak_1292	Ercc6l2 (+115254)
peak_1293	Hsd17b3 (+68504)
peak_1294	Fam240b (-151465)
peak_1295	Spata31 (+56035)
peak_1296	Spata31d1c (-35512)
peak_1297	Gm10772 (-99246)
peak_1298	2410141K09Rik (+22029)
peak_1299	2410141K09Rik (-100944)
peak_1300	Gm10767 (-69675)
peak_1301	Zfp708 (+8191)
peak_1302	Zfp458 (+34707)
peak_1303	Zfp457 (+7764)
peak_1304	Mtrr (+66847)
peak_1305	Adcy2 (+99627)
peak_1306	Adcy2 (-159593)
peak_1307	Adcy2 (-171241)
peak_1308	Ice1 (+242017)
peak_1309	8030423J24Rik (+467475)
peak_1310	Irx1 (+535325)
peak_1311	Irx1 (+472135)
peak_1312	Irx1 (+83983)
peak_1313	Irx1 (-158583)
peak_1314	Irx2 (-236246)
peak_1315	Mrpl36 (+34786)
peak_1316	Zfp72 (-15656)
peak_1317	Cast (-28245)
peak_1318	Pcsk1 (+82055)
peak_1319	Rhobtb3 (-10245)
peak_1320	Fam81b (-40937)
peak_1321	2210408I21Rik (+237489)
peak_1322	Fam172a (-279982)
peak_1323	Fam172a (-170719)
peak_1324	Fam172a (-139217)
peak_1325	Fam172a (+90592)
peak_1326	Pou5f2 (-73755)
peak_1327	Nr2f1 (+60352)
peak_1328	Nr2f1 (-746134)
peak_1329	Nr2f1 (-766079)
peak_1330	Arrdc3 (-859605)
peak_1331	Arrdc3 (-319036)
peak_1332	Arrdc3 (-200083)
peak_1333	Adgrv1 (+180334)
peak_1334	Adgrv1 (+47082)
peak_1335	Cetn3 (+542581)
peak_1336	Cetn3 (+552421)
peak_1337	Cetn3 (+745969)
peak_1338	Mef2c (-830077)
peak_1339	Mef2c (-703990)
peak_1340	Mef2c (-337469)
peak_1341	Tmem161b (+218906)
peak_1342	Tmem161b (+267868)
peak_1343	Ccnh (-354546)
peak_1344	Cox7c (+200764)
peak_1345	Cox7c (+111246)
peak_1346	Cox7c (-241508)
peak_1347	Cox7c (-543707)
peak_1348	NONE
peak_1349	Edil3 (+335856)
peak_1350	Tmem167 (-46490)
peak_1351	Atp6ap1l (+312439)
peak_1352	Atp6ap1l (+241544)
peak_1353	Atg10 (+57742)
peak_1354	Atg10 (+54217)
peak_1355	Acot12 (-12883)
peak_1356	Zcchc9 (-7317)
peak_1357	Lhfpl2 (+5409)
peak_1358	Scamp1 (+60741)
peak_1359	Tbca (-180740)
peak_1360	Tbca (-106990)
peak_1361	Wdr41 (+56386)
peak_1362	F2r (+34546)
peak_1363	Iqgap2 (-68939)
peak_1364	Hmgcr (-37287)
peak_1365	Gm10260 (+71)
peak_1366	Gm10260 (-170411)
peak_1367	Arhgef28 (+69418)
peak_1368	Tmem174 (+6304)
peak_1369	Zfp366 (+6009)
peak_1370	Zfp366 (+44445)
peak_1371	Map1b (-41613)
peak_1372	Mccc2 (+6630)
peak_1373	Naip6 (-62534)
peak_1374	Marveld2 (+27823)
peak_1375	Slc30a5 (-94728)
peak_1376	Slc30a5 (-216072)
peak_1377	Pik3r1 (-16935)
peak_1378	Cd180 (-272101)
peak_1379	Cd180 (-201441)
peak_1380	Cd180 (+195544)
peak_1381	Mast4 (-66561)
peak_1382	Srek1 (+191764)
peak_1383	Srek1 (+182186)
peak_1384	Erbin (-75635)
peak_1385	Cwc27 (+156234)
peak_1386	Htr1a (+349712)
peak_1387	Ipo11 (+645699)
peak_1388	Ipo11 (+304013)
peak_1389	Ipo11 (+286680)
peak_1390	Kif2a (-410131)
peak_1391	Smim15 (-368061)
peak_1392	Smim15 (+22416)
peak_1393	Pde4d (-144514)
peak_1394	Pde4d (+142158)
peak_1395	Pde4d (+755738)
peak_1396	Rab3c (+511619)
peak_1397	Rab3c (+364326)
peak_1398	Rab3c (+273807)
peak_1399	Rab3c (-29962)
peak_1400	Actbl2 (-180250)
peak_1401	Actbl2 (+71505)
peak_1402	Gm10198 (-12391)
peak_1403	Map3k1 (+33005)
peak_1404	Il6st (+39932)
peak_1405	Il6st (+47339)
peak_1406	Plpp1 (-24522)
peak_1407	Itga1 (-489536)
peak_1408	Mrps30 (+63693)
peak_1409	Mrps30 (-135186)
peak_1410	Fgf10 (+282171)
peak_1411	Nnt (+286171)
peak_1412	Tcstv3 (-26691)
peak_1413	Dnase1l3 (+22683)
peak_1414	Rpp14 (+7628)
peak_1415	Oit1 (+20298)
peak_1416	4930452B06Rik (-75935)
peak_1417	NONE
peak_1418	Fhit (+553555)
peak_1419	Ptprg (+100661)
peak_1420	Fezf2 (-91102)
peak_1421	Synpr (-167548)
peak_1422	Sntn (-30858)
peak_1423	Sntn (+22768)
peak_1424	Gm281 (-19531)
peak_1425	Olfr721-ps1 (+21143)
peak_1426	Slc4a7 (-81955)
peak_1427	Lrrc3b (-71022)
peak_1428	Lrrc3b (-98464)
peak_1429	Ngly1 (-397294)
peak_1430	Ngly1 (-191710)
peak_1431	Ngly1 (-138735)
peak_1432	Rarb (-149058)
peak_1433	Rarb (-228079)
peak_1434	Rarb (-398568)
peak_1435	Rarb (-430671)
peak_1436	Rarb (-450082)
peak_1437	Ube2e1 (-190006)
peak_1438	Gm21738 (+237885)
peak_1439	Gm21738 (+114883)
peak_1440	Gm21738 (+107171)
peak_1441	Saysd1 (-36939)
peak_1442	Kcnk5 (+25473)
peak_1443	Kcnk16 (+18480)
peak_1444	Kcnk16 (+11514)
peak_1445	Zswim8 (+6889)
peak_1446	Ndst2 (-23476)
peak_1447	Plau (+9307)
peak_1448	Dupd1 (+44361)
peak_1449	Dupd1 (+37378)
peak_1450	Lrmda (+816445)
peak_1451	Kcnma1 (+882488)
peak_1452	Kcnma1 (+594204)
peak_1453	Dlg5 (+102499)
peak_1454	Rps24 (+436119)
peak_1455	Zmiz1 (-350837)
peak_1456	Zcchc24 (+29947)
peak_1457	Anxa11 (-32712)
peak_1458	Dennd6a (-13452)
peak_1459	Arhgef3 (-55310)
peak_1460	Arhgef3 (-36869)
peak_1461	Erc2 (+52672)
peak_1462	Wnt5a (+116208)
peak_1463	Cacna1d (-14448)
peak_1464	Arhgap22 (-11105)
peak_1465	Arhgap22 (+111554)
peak_1466	Gdf10 (+8701)
peak_1467	Gprin2 (+6721)
peak_1468	Mmrn2 (+23477)
peak_1469	Grid1 (+387226)
peak_1470	4930596D02Rik (+408023)
peak_1471	4930596D02Rik (+379657)
peak_1472	4930474N05Rik (-76461)
peak_1473	Ccser2 (+423253)
peak_1474	Ccser2 (+372246)
peak_1475	Ghitm (-62713)
peak_1476	Ghitm (-258661)
peak_1477	Nrg3 (+930135)
peak_1478	Nrg3 (-624089)
peak_1479	Sh2d4b (+709502)
peak_1480	Sh2d4b (+229360)
peak_1481	Sh2d4b (-19873)
peak_1482	Mat1a (-13835)
peak_1483	Gm8165 (+7926)
peak_1484	Ear2 (-35044)
peak_1485	Gm8247 (+19646)
peak_1486	Ptgdr (+14767)
peak_1487	Ptger2 (+32664)
peak_1488	Fermt2 (-28009)
peak_1489	Ddhd1 (-237682)
peak_1490	Gm15217 (-270161)
peak_1491	Gm15217 (-167684)
peak_1492	Cdkn3 (-15029)
peak_1493	Samd4 (+85145)
peak_1494	Mapk1ip1l (+2402)
peak_1495	Ktn1 (+172361)
peak_1496	Otx2 (+76816)
peak_1497	Otx2 (-42611)
peak_1498	Naa30 (-29940)
peak_1499	Olfr722 (+16983)
peak_1500	Olfr725 (+31548)
peak_1501	Olfr731 (-7574)
peak_1502	Pnp2 (+22848)
peak_1503	Gm7247 (+21183)
peak_1504	Vmn2r89 (-16734)
peak_1505	Gm5622 (-36510)
peak_1506	Olfr1507 (-61003)
peak_1507	Dad1 (+117198)
peak_1508	Olfr49 (-12047)
peak_1509	Rem2 (+16700)
peak_1510	Ngdn (+6559)
peak_1511	Carmil3 (+7798)
peak_1512	B020004C17Rik (-16269)
peak_1513	Cryl1 (+53563)
peak_1514	Eef1akmt1 (+11875)
peak_1515	Zdhhc20 (-30731)
peak_1516	Atp8a2 (-68886)
peak_1517	Amer2 (-50579)
peak_1518	Spata13 (+21339)
peak_1519	Spata13 (+57229)
peak_1520	Mipep (+90723)
peak_1521	Gucy1b2 (-8875)
peak_1522	Defb30 (+12397)
peak_1523	Fam167a (+15840)
peak_1524	Prss55 (+38704)
peak_1525	Extl3 (+21573)
peak_1526	Pnoc (+20209)
peak_1527	Adam2 (+32891)
peak_1528	Nefl (-45116)
peak_1529	Nkx2-6 (-62022)
peak_1530	Slc25a37 (+35746)
peak_1531	Entpd4 (+54176)
peak_1532	Chmp7 (-16889)
peak_1533	Ppp3cc (-27183)
peak_1534	Bmp1 (+30124)
peak_1535	Xpo7 (+38664)
peak_1536	Gfra2 (+514638)
peak_1537	Gm9195 (+434658)
peak_1538	Gm9195 (-34772)
peak_1539	Fndc3a (-82997)
peak_1540	Cysltr2 (+100917)
peak_1541	Cysltr2 (+69783)
peak_1542	Esd (+51037)
peak_1543	Lrch1 (+33050)
peak_1544	Spert (+67178)
peak_1545	Tpt1 (+10096)
peak_1546	Kctd4 (-23658)
peak_1547	Enox1 (-34494)
peak_1548	Enox1 (+142886)
peak_1549	Gm1587 (+291898)
peak_1550	Tnfsf11 (+99470)
peak_1551	Akap11 (-67518)
peak_1552	Dgkh (+60835)
peak_1553	Vwa8 (+147987)
peak_1554	Kbtbd7 (-6165)
peak_1555	Olfm4 (+184901)
peak_1556	Olfm4 (+355388)
peak_1557	NONE
peak_1558	NONE
peak_1559	NONE
peak_1560	NONE
peak_1561	NONE
peak_1562	NONE
peak_1563	NONE
peak_1564	NONE
peak_1565	NONE
peak_1566	Diaph3 (+200563)
peak_1567	Pcdh20 (-142139)
peak_1568	Gm10110 (+611)
peak_1569	Gm10110 (-447324)
peak_1570	NONE
peak_1571	NONE
peak_1572	NONE
peak_1573	NONE
peak_1574	Pcdh9 (-951743)
peak_1575	4921530L21Rik (+313848)
peak_1576	Klhl1 (-331348)
peak_1577	Dach1 (-68666)
peak_1578	Mzt1 (+7073)
peak_1579	Klf5 (-36605)
peak_1580	Klf12 (+274737)
peak_1581	Klf12 (+94674)
peak_1582	Klf12 (-235586)
peak_1583	Klf12 (-239934)
peak_1584	Klf12 (-506133)
peak_1585	Kctd12 (-13061)
peak_1586	Acod1 (-13457)
peak_1587	Mycbp2 (-67239)
peak_1588	Slain1 (+52109)
peak_1589	Spry2 (+21281)
peak_1590	Trim52 (+11508)
peak_1591	NONE
peak_1592	Slitrk1 (-431628)
peak_1593	Slitrk5 (+757892)
peak_1594	Tpm3-rs7 (+271435)
peak_1595	Tpm3-rs7 (+485023)
peak_1596	Gpc5 (-616072)
peak_1597	Gpc5 (-425288)
peak_1598	Gpc5 (-189092)
peak_1599	Gpc6 (-600067)
peak_1600	Gpc6 (-460050)
peak_1601	Gpc6 (-284050)
peak_1602	Gpc6 (-136897)
peak_1603	Gpc6 (-23472)
peak_1604	Gpc6 (+332751)
peak_1605	Oxgr1 (-19370)
peak_1606	Mbnl2 (+91961)
peak_1607	Rap2a (-8286)
peak_1608	Rap2a (+170743)
peak_1609	Stk24 (+135673)
peak_1610	Stk24 (+12301)
peak_1611	Slc15a1 (-86124)
peak_1612	Ubac2 (-30255)
peak_1613	Tmtc4 (-83794)
peak_1614	Itgbl1 (+63300)
peak_1615	Itgbl1 (+151088)
peak_1616	Fbxo4 (+59087)
peak_1617	Plcxd3 (-88986)
peak_1618	C6 (-54437)
peak_1619	C6 (+48980)
peak_1620	Ptger4 (-22488)
peak_1621	Dab2 (-329825)
peak_1622	Dab2 (-110861)
peak_1623	Rictor (-53802)
peak_1624	Egflam (+118723)
peak_1625	Egflam (+31573)
peak_1626	Wdr70 (+124231)
peak_1627	2410089E03Rik (+101099)
peak_1628	2410089E03Rik (+110979)
peak_1629	Slc1a3 (+42543)
peak_1630	Ugt3a2 (+20858)
peak_1631	Spef2 (+10729)
peak_1632	Prlr (-185665)
peak_1633	Rai14 (+17799)
peak_1634	Adamts12 (+109778)
peak_1635	Adamts12 (+159254)
peak_1636	Zfr (-19183)
peak_1637	Zfr (-10613)
peak_1638	Golph3 (+63403)
peak_1639	Golph3 (+103891)
peak_1640	6030458C11Rik (+28366)
