# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610030E20Rik	unnamed (-872)
Dkk1	unnamed (+179)
Dkk2	unnamed (+706)
Dkk3	unnamed (-67100), unnamed (+448)
Dkkl1	unnamed (+181)
Dlc1	unnamed (+219861)
Dlg3	unnamed (+117)
Dlgap1	unnamed (-454881), unnamed (+91504)
Dlgap2	unnamed (+953)
Dlk1	unnamed (+984)
Dlk2	unnamed (+68)
Dll1	unnamed (-946)
Dlx1	unnamed (+2766)
Dlx2	unnamed (+15875)
Dlx3	unnamed (+2113)
Dlx4	unnamed (-4335), unnamed (+24031)
Dlx5	unnamed (+2208)
Dlx6	unnamed (-907), unnamed (+16543)
Dmbx1	unnamed (+27466)
Dmgdh	unnamed (-24)
Dmpk	unnamed (+3339)
Dmrt3	unnamed (-2474)
Dmrta1	unnamed (+267)
Dmrtb1	unnamed (-545)
Dmrtc2	unnamed (-8)
Dnah1	unnamed (-197)
Dnah10	unnamed (+110)
Dnah11	unnamed (+304), unnamed (+354378)
Dnah17	unnamed (-73093)
Dnah2	unnamed (+2039)
Dnah7a	unnamed (+31)
Dnah7b	unnamed (+633)
Dnah7c	unnamed (-102)
Dnah9	unnamed (+247)
Dnaic2	unnamed (+453)
Dnaja4	unnamed (-315)
Dnajc12	unnamed (-4719)
Dnajc22	unnamed (-4064)
Dnajc6	unnamed (-54194), unnamed (-41745), unnamed (+416)
Dner	unnamed (+595)
Dnhd1	unnamed (+127)
Dnm3	unnamed (+477)
Dnmt3l	unnamed (+643)
Doc2b	unnamed (-1382)
Dock10	unnamed (+516)
Dock8	unnamed (+692)
Dok5	unnamed (+24)
Dok6	unnamed (+352)
Dok7	unnamed (+613)
Dpep2	unnamed (+5720)
Dpep3	unnamed (-11274)
Dpf3	unnamed (+554)
Dpp10	unnamed (-334)
Dpp6	unnamed (-231263), unnamed (+387), unnamed (+212288)
Dpy19l2	unnamed (-52)
Dpyd	unnamed (+95)
Dpys	unnamed (-34)
Dpysl3	unnamed (+133)
Dram1	unnamed (+369)
Drc1	unnamed (-158)
Drd1	unnamed (+236)
Drd2	unnamed (-54)
Drd4	unnamed (+1678)
Drd5	unnamed (-149)
Dsc2	unnamed (+384)
Dscaml1	unnamed (-21961)
Dsp	unnamed (+616)
Dtna	unnamed (-104732), unnamed (+337423)
Duox1	unnamed (-1668)
Duoxa1	unnamed (-311)
Dusp10	unnamed (-424), unnamed (+694927)
Dusp12	unnamed (-22435)
Dusp15	unnamed (-11)
Dusp23	unnamed (+309)
Dusp26	unnamed (+476)
Dync2h1	unnamed (+7167)
Dync2li1	unnamed (+49447)
Dysf	unnamed (+51), unnamed (+567471)
Dytn	unnamed (+72341)
Dzip1l	unnamed (+237)
E130114P18Rik	unnamed (+399)
ENSMUSG00000111410	unnamed (+1625)
Ebag9	unnamed (+128825)
Ebf1	unnamed (+1954)
Ebf2	unnamed (+187)
Ebf3	unnamed (-2433)
Ecel1	unnamed (+1578), unnamed (+28892)
Echdc3	unnamed (+385)
Eci3	unnamed (-641)
Ecm1	unnamed (+2765)
Ecsit	unnamed (+9043)
Edaradd	unnamed (+67)
Edc3	unnamed (-11747)
Edil3	unnamed (+1099)
Edn3	unnamed (+394)
Ednra	unnamed (+188)
Ednrb	unnamed (-366)
Eef1a2	unnamed (-15)
Eef1b2	unnamed (+35064)
Eef2kmt	unnamed (-629441)
Efcab12	unnamed (+354)
Efcab8	unnamed (-1508)
Efcc1	unnamed (+681)
Efemp1	unnamed (+582)
Efhc1	unnamed (+1430)
Efna1	unnamed (-149)
Efna5	unnamed (+165)
Efr3b	unnamed (+1043)
Egf	unnamed (+30270)
Egfem1	unnamed (+10)
Egflam	unnamed (-346)
Egfr	unnamed (+454)
Egln3	unnamed (+873), unnamed (+953491)
Egr2	unnamed (+142)
Egr3	unnamed (+534)
Egr4	unnamed (+1193)
Ehd3	unnamed (+242)
Ehhadh	unnamed (+349)
Ei24	unnamed (-24452)
Eif4e3	unnamed (+49), unnamed (+145441)
Elavl3	unnamed (+1694)
Elavl4	unnamed (-64458)
Elf4	unnamed (-9663), unnamed (+111314)
Elfn2	unnamed (-1325), unnamed (+5633)
Elmo1	unnamed (+1422)
Elmod1	unnamed (+417)
Eln	unnamed (-262)
Elovl2	unnamed (+519)
Elovl3	unnamed (+4377)
Elovl4	unnamed (+745)
Elovl6	unnamed (+192660)
Emilin2	unnamed (+729)
Emilin3	unnamed (+337)
Eml1	unnamed (+529)
Emp2	unnamed (+517)
Emp3	unnamed (-2800), unnamed (+1479)
Emx1	unnamed (+1067)
Emx2	unnamed (+1424)
En1	unnamed (+1438)
Endod1	unnamed (+715)
Engase	unnamed (+431608)
Enho	unnamed (+805)
Enpep	unnamed (+112416)
Enpp1	unnamed (-21)
Enpp2	unnamed (+5678)
Enpp6	unnamed (+301491)
Entpd3	unnamed (+427)
Eomes	unnamed (+772)
Epb41l3	unnamed (-317289), unnamed (-80424), unnamed (+486)
Epha10	unnamed (+1575)
Epha4	unnamed (+948)
Epha5	unnamed (+10)
Epha6	unnamed (-372)
Ephb1	unnamed (+1544)
Ephx3	unnamed (+571)
Ephx4	unnamed (+653)
Epm2a	unnamed (-725)
Epo	unnamed (+9498)
Eps8l1	unnamed (+6521)
Erap1	unnamed (+405)
Erbb4	unnamed (+1017)
Ercc2	unnamed (-5241)
Ereg	unnamed (-63)
Erg	unnamed (-55640)
Erich2	unnamed (+171)
Erich5	unnamed (+381)
Erich6	unnamed (+850)
Ern2	unnamed (-4715)
Espn	unnamed (+34796)
Esr1	unnamed (+100176)
Esr2	unnamed (-268), unnamed (+357324)
Esrrg	unnamed (-390396), unnamed (+140)
Esx1	unnamed (+771)
Etfb	unnamed (-181)
Ethe1	unnamed (-1044)
Ets1	unnamed (+192)
Ets2	unnamed (-116070)
Etv2	unnamed (+912)
Eva1a	unnamed (+826)
Eva1c	unnamed (-290)
Evi5l	unnamed (+48948)
Evx2	unnamed (+968)
Exoc7	unnamed (+24552)
Exph5	unnamed (+303)
Ext2	unnamed (+177781)
Extl1	unnamed (-19595)
Eya1	unnamed (-450)
Eya2	unnamed (-59299)
Eya4	unnamed (+721)
F12	unnamed (+5934)
F2rl3	unnamed (-5225)
F7	unnamed (-77839)
F9	unnamed (-432125)
Fa2h	unnamed (+549)
Fabp2	unnamed (-164731)
Fabp5	unnamed (-273)
Faim2	unnamed (+180)
Fam105a	unnamed (+653)
Fam107a	unnamed (-7855)
Fam110c	unnamed (+696)
Fam114a1	unnamed (+112)
Fam124a	unnamed (+274)
Fam131a	unnamed (+14)
Fam131b	unnamed (+405)
Fam131c	unnamed (+520)
Fam135b	unnamed (-300)
Fam149a	unnamed (+687)
Fam159a	unnamed (+698)
Fam159b	unnamed (-79)
Fam160b1	unnamed (-46331)
Fam161a	unnamed (+23)
Fam163a	unnamed (+1196)
Fam163b	unnamed (+572)
Fam167a	unnamed (-60)
Fam171a2	unnamed (-19371)
Fam171b	unnamed (+350)
Fam173a	unnamed (-2700)
Fam174b	unnamed (+698)
Fam181b	unnamed (+778)
Fam184a	unnamed (+573)
Fam184b	unnamed (+119)
Fam187a	unnamed (+8575)
Fam189a1	unnamed (+627)
Fam196a	unnamed (+482)
Fam19a1	unnamed (+3813)
Fam19a2	unnamed (+1194)
Fam19a4	unnamed (+210)
Fam19a5	unnamed (-80578)
Fam20a	unnamed (+584)
Fam213a	unnamed (+154), unnamed (+65769)
Fam214a	unnamed (-112013), unnamed (-633)
Fam214b	unnamed (-5528)
Fam217a	unnamed (+3237)
Fam229a	unnamed (-20)
Fam234b	unnamed (+233)
Fam26f	unnamed (-265)
Fam43b	unnamed (+779)
Fam46a	unnamed (+124)
Fam46c	unnamed (+267)
Fam46d	unnamed (-535)
Fam69a	unnamed (-73376)
Fam69c	unnamed (-31), unnamed (+118474)
Fam71e2	unnamed (-5366)
Fam81b	unnamed (-79507)
Fam83b	unnamed (+80)
Fam83d	unnamed (-99691)
Fam83f	unnamed (+353), unnamed (+34371)
Fam84a	unnamed (+1460)
Fancg	unnamed (-10326)
Fancm	unnamed (-396)
Far2	unnamed (+146)
Farp1	unnamed (+484)
Fars2	unnamed (-148638)
Fat3	unnamed (+103)
Fat4	unnamed (-571)
Faxc	unnamed (+125)
Fbf1	unnamed (+5727)
Fbll1	unnamed (+730)
Fbln5	unnamed (+123)
Fbln7	unnamed (+1448)
Fbn1	unnamed (+1674)
Fbn2	unnamed (-273)
Fbp1	unnamed (+209)
Fbxl16	unnamed (+9367)
Fbxl21	unnamed (+67)
Fbxl7	unnamed (-385)
Fbxo32	unnamed (+90)
Fbxo39	unnamed (-701)
Fbxo4	unnamed (+246)
Fbxo41	unnamed (-9510)
Fbxo43	unnamed (-170)
Fbxo47	unnamed (+570)
Fcrlb	unnamed (+4966)
Fdft1	unnamed (+10837)
Ferd3l	unnamed (+264)
Fermt1	unnamed (+367)
Fez1	unnamed (-10959), unnamed (+254)
Fezf2	unnamed (+2187)
Ffar1	unnamed (-12246), unnamed (+672)
Ffar3	unnamed (-4714)
Ffar4	unnamed (+433), unnamed (+27000)
Fgd2	unnamed (-5152)
Fgd5	unnamed (+390)
Fgf10	unnamed (+289)
Fgf12	unnamed (-308060), unnamed (-119376), unnamed (-847)
Fgf13	unnamed (-432903)
Fgf14	unnamed (+1591), unnamed (+484413)
Fgf15	unnamed (+515)
Fgf16	unnamed (+274)
Fgf18	unnamed (+653)
Fgf2	unnamed (+162)
Fgf20	unnamed (+458)
Fgf3	unnamed (-92)
Fgf5	unnamed (-68352), unnamed (+525)
Fgf9	unnamed (+1304)
Fgl2	unnamed (+388)
Fhad1	unnamed (+193)
Fhdc1	unnamed (+396), unnamed (+175629)
Fhit	unnamed (+258)
Fhl2	unnamed (-196)
Fibcd1	unnamed (+102)
Fibin	unnamed (+368)
Fign	unnamed (-368)
Fignl2	unnamed (+28111)
Fkbp3	unnamed (-1203)
Fkbp6	unnamed (-3396)
Fli1	unnamed (-1260)
Flnc	unnamed (-30038)
Flrt2	unnamed (+2382)
Flt1	unnamed (+276)
Flt3	unnamed (-10)
Flt4	unnamed (+743)
Fmn1	unnamed (-431), unnamed (+113513)
Fmnl1	unnamed (-30744), unnamed (+1110)
Fmo5	unnamed (+109)
Fndc1	unnamed (-22271)
Fndc5	unnamed (-352)
Fosl2	unnamed (-557)
Foxa2	unnamed (+459)
Foxb1	unnamed (+451)
Foxb2	unnamed (-434)
Foxc1	unnamed (+446)
Foxc2	unnamed (+674)
Foxd1	unnamed (+503)
Foxd2	unnamed (+264)
Foxd4	unnamed (+1803)
Foxe1	unnamed (+1765)
Foxe3	unnamed (+737)
Foxf2	unnamed (-1505)
Foxg1	unnamed (+608)
Foxi2	unnamed (+821)
Foxl1	unnamed (+801)
Foxl2	unnamed (-159)
Foxp1	unnamed (-85985)
Foxp2	unnamed (-886)
Foxr1	unnamed (+293)
Fras1	unnamed (+307)
Frem2	unnamed (+604)
Frem3	unnamed (+563)
Frmd3	unnamed (+405)
Frmd4a	unnamed (+249167)
Frmd4b	unnamed (-129075)
Frmpd1	unnamed (-19136)
Frmpd3	unnamed (+80)
Frmpd4	unnamed (+453764)
Frrs1l	unnamed (-113)
Fry	unnamed (-125)
Fryl	unnamed (+243393)
Frzb	unnamed (+807)
Fsip1	unnamed (+185)
Fstl4	unnamed (+157)
Fuca2	unnamed (-27228), unnamed (+177)
Fut2	unnamed (+22167)
Fut4	unnamed (+823)
Fxyd2	unnamed (+5192)
Fxyd4	unnamed (-74395)
Fxyd5	unnamed (+174)
Fxyd6	unnamed (+378)
Fxyd7	unnamed (-866)
Fyb2	unnamed (+234)
Fzd6	unnamed (+168)
Fzd8	unnamed (+67549)
G430095P16Rik	unnamed (-17395)
Gab1	unnamed (+1019)
Gab2	unnamed (+1288)
Gabra1	unnamed (+705)
Gabra2	unnamed (-74)
Gabra4	unnamed (+776)
Gabrb1	unnamed (+993)
Gabrb2	unnamed (+428)
Gabrg3	unnamed (+159)
Gad1	unnamed (-427)
Gad2	unnamed (-489)
Gadd45b	unnamed (+69194)
Gadd45g	unnamed (-94), unnamed (+683409)
Gal	unnamed (-13)
Gal3st1	unnamed (-187)
Galk1	unnamed (-5468)
Galm	unnamed (+723)
Galnt12	unnamed (+281)
Galnt13	unnamed (+368)
Galnt14	unnamed (-128)
Galnt16	unnamed (+524)
Galnt18	unnamed (+363)
Galnt3	unnamed (+588), unnamed (+193287)
Galnt9	unnamed (+587)
Galr1	unnamed (+685)
Galr2	unnamed (+1243)
Gap43	unnamed (+702)
Garem1	unnamed (-352444)
Gars	unnamed (+79664)
Gas2	unnamed (+263)
Gas2l2	unnamed (+1036)
Gata2	unnamed (+987)
Gata3	unnamed (-84)
Gata4	unnamed (-6147)
Gata5	unnamed (-112)
Gata6	unnamed (-1086)
Gatm	unnamed (+103)
Gbp7	unnamed (+377)
Gcat	unnamed (-2503)
Gcc1	unnamed (+23749)
Gcc2	unnamed (+115720)
Gch1	unnamed (+985), unnamed (+305283)
Gchfr	unnamed (-92)
Gcm2	unnamed (-4010), unnamed (+31211)
Gcnt1	unnamed (+700)
Gcnt4	unnamed (+111)
Gcsam	unnamed (+43662)
Gda	unnamed (+452)
Gdap1	unnamed (+308)
Gdap1l1	unnamed (+188)
Gdf10	unnamed (+253)
Gdf5	unnamed (+2531)
Gdf6	unnamed (+774)
Gdf7	unnamed (+1343)
Gdnf	unnamed (+1668)
Gdpd1	unnamed (-578)
Gdpd4	unnamed (+191449)
Gem	unnamed (+499)
Gemin8	unnamed (+68950)
Gfap	unnamed (+3387)
Gfi1	unnamed (+1873)
Gfra1	unnamed (+452)
Gfra3	unnamed (-146)
Gfra4	unnamed (+739)
Gfy	unnamed (+3114)
Ggh	unnamed (+5)
Ggt7	unnamed (-3506)
Ggta1	unnamed (-120207)
Ghsr	unnamed (+619)
Gigyf1	unnamed (+4866)
Gimap5	unnamed (-3463)
Gins3	unnamed (+44315)
Gip	unnamed (-6705)
Gipr	unnamed (+5542)
Gja3	unnamed (+377)
Gja4	unnamed (+880)
Gjb2	unnamed (+70)
Gjb6	unnamed (-267)
Gjd2	unnamed (-487)
Gjd3	unnamed (+37)
Gjd4	unnamed (+2404)
Glb1l2	unnamed (-139), unnamed (+50493)
Gldn	unnamed (-320)
Gli3	unnamed (-224)
Glis3	unnamed (+755)
Glra1	unnamed (+47)
Glrb	unnamed (+208)
Glt28d2	unnamed (-465)
Gltpd2	unnamed (+958)
Gm10036	unnamed (-72893), unnamed (+975133)
Gm10053	unnamed (+23820)
Gm10065	unnamed (+336)
Gm10097	unnamed (-357027)
Gm10139	unnamed (-160445)
Gm10160	unnamed (-3572)
Gm10184	unnamed (-544792)
Gm10283	unnamed (-3206)
Gm10308	unnamed (-633252), unnamed (+146)
Gm10406	unnamed (+137434)
Gm10447	unnamed (-423)
Gm10647	unnamed (-1884)
Gm10944	unnamed (+399690)
Gm10961	unnamed (-34976)
Gm11127	unnamed (-52462)
Gm11444	unnamed (+13415)
Gm11992	unnamed (+212)
Gm12248	unnamed (-4199)
Gm13283	unnamed (-3241)
Gm15091	unnamed (+499930)
Gm15155	unnamed (-1163)
Gm15557	unnamed (+2108)
Gm15821	unnamed (+8966)
Gm16485	unnamed (-70606)
Gm1661	unnamed (+71)
Gm1673	unnamed (-11)
Gm17087	unnamed (+41510)
Gm19410	unnamed (-176537)
Gm1979	unnamed (-2254)
Gm20425	unnamed (+156)
Gm20441	unnamed (+233)
Gm20696	unnamed (+75)
Gm2115	unnamed (+116)
Gm266	unnamed (-260)
Gm27027	unnamed (+40132)
Gm28036	unnamed (+44927)
Gm28230	unnamed (-760)
Gm35911	unnamed (+320)
Gm3642	unnamed (-49704)
Gm37240	unnamed (-465)
Gm37388	unnamed (-1126)
Gm42517	unnamed (-287)
Gm43517	unnamed (-1683)
Gm4353	unnamed (+50311)
Gm45233	unnamed (-226)
Gm45623	unnamed (+588)
Gm45711	unnamed (+305)
Gm45837	unnamed (-37430)
Gm4881	unnamed (+253)
Gm4952	unnamed (-3529)
Gm5093	unnamed (-45890)
Gm5114	unnamed (-74690), unnamed (-36399)
Gm525	unnamed (+227172)
Gm5294	unnamed (-1)
Gm6034	unnamed (-708)
Gm6525	unnamed (+85965)
Gm694	unnamed (+3229), unnamed (+10081)
Gm7030	unnamed (-163), unnamed (+18592)
Gm7102	unnamed (+168)
Gm7276	unnamed (+263)
Gm7361	unnamed (+560245)
Gm815	unnamed (-279259)
Gm8888	unnamed (-285453)
Gm9573	unnamed (+57136)
Gm960	unnamed (+173)
Gm9747	unnamed (+56906)
Gm9805	unnamed (-15156)
Gm9821	unnamed (-418)
Gm9913	unnamed (+1230)
Gm9945	unnamed (-1096)
Gm9949	unnamed (-471)
Gmip	unnamed (+6005)
Gmnc	unnamed (+21951)
Gmpr	unnamed (+515)
Gna14	unnamed (+1167)
Gnal	unnamed (-270), unnamed (+45302)
Gnao1	unnamed (+519)
Gnat1	unnamed (-3830), unnamed (+2442)
Gnb1	unnamed (-21230)
Gng10	unnamed (+348)
Gng11	unnamed (+386)
Gng12	unnamed (+588)
Gng13	unnamed (-302)
Gng4	unnamed (+804)
Gng7	unnamed (+2098)
Gns	unnamed (-13855)
Golim4	unnamed (+711)
Got1l1	unnamed (-24502), unnamed (-4248)
Gp1bb	unnamed (-176)
Gp5	unnamed (+1745)
Gpat3	unnamed (+816742)
Gpatch1	unnamed (+48552)
Gpatch2	unnamed (+391920)
Gpc5	unnamed (-47)
Gpc6	unnamed (+1128)
Gpd1l	unnamed (-44529)
Gpm6b	unnamed (-105247)
Gpnmb	unnamed (+261)
Gpr1	unnamed (+2654)
Gpr101	unnamed (-16)
Gpr12	unnamed (+691)
Gpr139	unnamed (+195)
Gpr143	unnamed (-393)
Gpr146	unnamed (-33414)
Gpr149	unnamed (+1401)
Gpr150	unnamed (+915)
Gpr151	unnamed (-319193)
Gpr155	unnamed (-99191), unnamed (+225)
Gpr156	unnamed (+237)
Gpr157	unnamed (+877)
Gpr17	unnamed (+11317)
Gpr176	unnamed (-146)
Gpr182	unnamed (+981)
Gpr25	unnamed (+970)
Gpr37	unnamed (+927)
Gpr37l1	unnamed (+6206)
Gpr45	unnamed (-322)
Gpr50	unnamed (+1156)
Gpr6	unnamed (+938)
Gpr65	unnamed (+306173)
Gpr68	unnamed (+9459)
Gpr75	unnamed (+16)
Gpr83	unnamed (+56)
Gpr84	unnamed (+4128)
Gpr85	unnamed (+818)
Gpr88	unnamed (+1711)
Gprc5a	unnamed (+44)
Gprc5c	unnamed (+259)
Gprin3	unnamed (-162)
Gpx7	unnamed (-336)
Gramd1b	unnamed (-75774), unnamed (+468)
Grb14	unnamed (+72)
Greb1l	unnamed (+372)
Grem1	unnamed (+112), unnamed (+317351)
Grem2	unnamed (+247)
Gria4	unnamed (+357)
Grid1	unnamed (+450)
Grid2	unnamed (+744)
Grid2ip	unnamed (-2), unnamed (+15710)
Grifin	unnamed (-3223)
Grik1	unnamed (+452)
Grik2	unnamed (+86), unnamed (+5464)
Grik4	unnamed (+1171)
Grin1	unnamed (+6718), unnamed (+28046)
Grin2a	unnamed (+876)
Grin2b	unnamed (+344)
Grin2c	unnamed (-377)
Grin2d	unnamed (+5026)
Grin3a	unnamed (+207)
Grin3b	unnamed (+9423)
Grip1	unnamed (-365954)
Grm1	unnamed (+1318)
Grm3	unnamed (-108)
Grm4	unnamed (+320)
Grm6	unnamed (+211)
Grm7	unnamed (+282)
Grm8	unnamed (+172)
Grp	unnamed (+1014), unnamed (+64970)
Grwd1	unnamed (-31159)
Gsap	unnamed (+193)
Gsc	unnamed (-61)
Gsg1	unnamed (-4942)
Gsg1l	unnamed (-299)
Gsk3a	unnamed (+11936)
Gsn	unnamed (-25284)
Gstk1	unnamed (+491)
Gstm4	unnamed (-81)
Gstm5	unnamed (+299)
Gsto2	unnamed (-632)
Gstt1	unnamed (+878)
Gstt3	unnamed (+693)
Gtdc1	unnamed (-248280)
Gtpbp10	unnamed (-14577)
Gtsf1l	unnamed (-116400)
Gucy1a3	unnamed (-63)
Gucy1b3	unnamed (+344)
Gucy2e	unnamed (+278)
Gucy2g	unnamed (+22119)
Gulo	unnamed (+39456)
Gulp1	unnamed (+682)
Gxylt2	unnamed (+521)
Gypc	unnamed (-132)
Gzme	unnamed (+4883)
H1f0	unnamed (+159)
H1foo	unnamed (+48559)
H2-Ab1	unnamed (+947)
H2-Eb1	unnamed (+3907)
H2-Eb2	unnamed (-15881)
H2-M3	unnamed (+347)
H2-T22	unnamed (+452)
H2-T23	unnamed (+786)
H2-T3	unnamed (-632)
H3f3b	unnamed (+9775)
Haao	unnamed (-3753)
Habp4	unnamed (+86420)
Hacd4	unnamed (+408)
Hadha	unnamed (+41815)
Hal	unnamed (+46189)
Hand2	unnamed (+1189)
Hapln1	unnamed (-717186), unnamed (+61)
Hapln2	unnamed (+3663)
Has1	unnamed (+5784)
Has2	unnamed (+1024)
Haus3	unnamed (-16993)
Hbq1a	unnamed (+336)
Hbq1b	unnamed (+275)
Hck	unnamed (-36384)
Hcn1	unnamed (+423)
Hcrtr1	unnamed (+345)
Hdac7	unnamed (-5358)
Hdgfl3	unnamed (+385)
Hdx	unnamed (+205)
Heatr4	unnamed (-3565)
Hebp2	unnamed (+30)
Hecw1	unnamed (+684)
Hecw2	unnamed (-562)
Heg1	unnamed (+1004)
Helt	unnamed (+508)
Hexim2	unnamed (+7018)
Hey2	unnamed (-699)
Heyl	unnamed (-273), unnamed (+5613)
Hfe	unnamed (+69)
Hfe2	unnamed (+2035)
Hfm1	unnamed (-306)
Hgd	unnamed (+3988)
Hgh1	unnamed (-11917)
Hhat	unnamed (+53)
Hhipl1	unnamed (+457)
Hic1	unnamed (-39)
Hif3a	unnamed (-163)
Hils1	unnamed (-30367)
Hist1h2aa	unnamed (-402)
Hist1h2ah	unnamed (+12017)
Hist1h2ba	unnamed (+96)
Hist3h2ba	unnamed (+401)
Hivep2	unnamed (-293)
Hlx	unnamed (-77260), unnamed (+3311)
Hmcn1	unnamed (-32)
Hmga2	unnamed (+496)
Hmgcll1	unnamed (-80)
Hmgn3	unnamed (+441)
Hmx1	unnamed (-109168), unnamed (+1604)
Hnf1b	unnamed (-233)
Hnrnpa0	unnamed (+14816)
Hnrnpa2b1	unnamed (+35997)
Hnrnph1	unnamed (-7757)
Hook2	unnamed (-3046), unnamed (+17629)
Hopx	unnamed (-132), unnamed (+20440)
Hormad2	unnamed (+5)
Hoxa13	unnamed (+128)
Hoxb1	unnamed (+377)
Hoxb2	unnamed (-2032)
Hoxb5	unnamed (-2645)
Hoxb7	unnamed (-1452)
Hoxb9	unnamed (-82)
Hoxc10	unnamed (-10640)
Hoxc11	unnamed (+1729)
Hoxc4	unnamed (+631), unnamed (+6172)
Hoxc5	unnamed (-499)
Hoxc8	unnamed (-8513), unnamed (+935)
Hoxc9	unnamed (-603), unnamed (+5062)
Hoxd1	unnamed (+41)
Hoxd10	unnamed (-33473)
Hoxd11	unnamed (-23872)
Hoxd12	unnamed (-16562)
Hoxd13	unnamed (-9859), unnamed (+29884), unnamed (+43865), unnamed (+57658), unnamed (+94711)
Hoxd3	unnamed (+248)
Hoxd9	unnamed (+467)
Hpca	unnamed (+933)
Hpcal4	unnamed (-263)
Hpgd	unnamed (-193)
Hpse	unnamed (+577)
Hr	unnamed (+785)
Hrasls	unnamed (-46)
Hrasls5	unnamed (+201)
Hrh1	unnamed (-116)
Hrh2	unnamed (+302)
Hrh4	unnamed (+964531)
Hs3st1	unnamed (+111203)
Hs3st2	unnamed (+401)
Hs3st3a1	unnamed (+489)
Hs3st3b1	unnamed (+789933)
Hs3st5	unnamed (+430)
Hsd11b2	unnamed (-1839)
Hsd17b7	unnamed (+345)
Hsdl2	unnamed (-584)
Hspa1a	unnamed (+1542)
Hspa1l	unnamed (-2089)
Hspa2	unnamed (+516)
Hspa4l	unnamed (+3)
Hspb2	unnamed (+484)
Hspb7	unnamed (+5245), unnamed (+12097)
Hspbap1	unnamed (+99303)
Htatip2	unnamed (+565)
Htr1a	unnamed (+733)
Htr1b	unnamed (+448)
Htr1d	unnamed (+858)
Htr4	unnamed (-234)
Htr5b	unnamed (+587)
Htr6	unnamed (+666)
Htra1	unnamed (+509)
Htra3	unnamed (+461)
Htra4	unnamed (+401)
Hydin	unnamed (+60)
Ica1	unnamed (+805)
Ica1l	unnamed (+108)
Icam5	unnamed (+1518)
Ido1	unnamed (+1229)
Ido2	unnamed (-19447)
Ifi47	unnamed (+11844)
Ifih1	unnamed (+68)
Ifitm10	unnamed (+1291)
Ifnlr1	unnamed (-634)
Igdcc3	unnamed (+67670)
Igf1	unnamed (+1326)
Igf2	unnamed (+89)
Igf2bp1	unnamed (-11900)
Igfbp2	unnamed (+48594)
Igfbp3	unnamed (+49)
Igfbp4	unnamed (+29)
Igfbp5	unnamed (+1787)
Igfbp7	unnamed (-233)
Igfbpl1	unnamed (-97)
Igfn1	unnamed (-1074)
Iglon5	unnamed (+116), unnamed (+24436)
Igsf10	unnamed (+312)
Igsf11	unnamed (+533)
Igsf23	unnamed (+1001)
Igsf5	unnamed (-81012)
Igsf8	unnamed (+13681)
Igtp	unnamed (+807)
Ikzf1	unnamed (-319)
Ikzf2	unnamed (-2042)
Ikzf3	unnamed (-243)
Il10ra	unnamed (+23)
Il10rb	unnamed (-56)
Il11	unnamed (+1473)
Il12a	unnamed (-116851)
Il12b	unnamed (-1167)
Il12rb1	unnamed (-10657)
Il13	unnamed (-2205)
Il13ra1	unnamed (+127)
Il15	unnamed (+713)
Il15ra	unnamed (-200)
Il17rb	unnamed (-623)
Il1r1	unnamed (-139189), unnamed (+41931)
Il1r2	unnamed (+1193)
Il1rap	unnamed (+13), unnamed (+386319)
Il1rl1	unnamed (-113627)
Il1rl2	unnamed (-57679), unnamed (+1310)
Il20ra	unnamed (+172)
Il22ra1	unnamed (-737)
Il27ra	unnamed (-747)
Il33	unnamed (+2796)
Il3ra	unnamed (+12)
Il4ra	unnamed (+444)
Il6ra	unnamed (-98)
Il7	unnamed (+802)
Inhba	unnamed (-2)
Ino80d	unnamed (+409188)
Inpp1	unnamed (-243)
Inpp4b	unnamed (-240)
Inpp5f	unnamed (+77270)
Inpp5j	unnamed (+2375)
Insc	unnamed (-237)
Insig2	unnamed (+724168)
Insm1	unnamed (-464)
Insm2	unnamed (-109)
Insrr	unnamed (-1310)
Ints4	unnamed (-27292)
Intu	unnamed (+122)
Ipo9	unnamed (-153555)
Iqgap2	unnamed (-3)
Iqsec3	unnamed (+312)
Irak2	unnamed (-100)
Irak4	unnamed (+316)
Irf2	unnamed (-55)
Irf4	unnamed (+917)
Irf7	unnamed (-3043)
Irf8	unnamed (+233)
Irgc1	unnamed (+12487)
Irgm2	unnamed (+745)
Irs1	unnamed (+1398)
Irs4	unnamed (+573)
Irx1	unnamed (+3183)
Irx3	unnamed (-490)
Irx4	unnamed (+2089)
Irx6	unnamed (+1804)
Isl1	unnamed (-177)
Islr2	unnamed (+600)
Ism2	unnamed (-383)
Ispd	unnamed (-64283), unnamed (+141)
Itfg1	unnamed (+140336)
Itga11	unnamed (-36)
Itga2	unnamed (+91)
Itga2b	unnamed (+2830)
Itga4	unnamed (-328)
Itga8	unnamed (+639)
Itgb3	unnamed (+470)
Itgb8	unnamed (+139)
Itgbl1	unnamed (+532743)
Itih5	unnamed (-42)
Itpka	unnamed (+16481)
Itpr2	unnamed (+90)
Iws1	unnamed (+66022)
Izumo4	unnamed (-740)
Jakmip3	unnamed (+24)
Jazf1	unnamed (+417)
Jcad	unnamed (+607)
Jhy	unnamed (+46), unnamed (+85775)
Jph1	unnamed (+318)
Jph3	unnamed (-52)
